<think> 好的，我现在需要处理用户提供的逐字稿，并将其整理成段落式逐字稿。首先，我要仔细阅读用户的要求，确保完全理解任务。用户强调不能删除、改写或浓缩任何一句原文内容，所以必须保持原话的完整性。接下来，我会逐句检查提供的逐字稿，注意每个时间戳和对应的句子。用户提供的例子中有一些重复的句子，比如“这个没有了”和“这个有”多次出现，还有部分句子的时间戳有跳跃，比如在1337.14之后突然跳到1340.10，中间有缺失的部分。我需要确认这些是否是原始数据的问题，但根据用户的要求，不能修改内容，所以必须保留原样。

然后，我需要将这些逐句的内容按照时间顺序排列，并合理分段，使其更易读。例如，当同一话题的句子连续出现时，可以合并成一个段落。同时，注意对话的连贯性，比如问题与回答之间的关系，可能需要将问题和回答放在同一段落中，以保持上下文的清晰。在处理过程中，我会特别注意时间戳的顺序，确保每个句子的位置正确。如果有时间戳不连续的情况，比如中间有缺失的部分，我会在整理时保留这些时间戳，但可能需要在段落之间用空行或适当的方式分隔，以避免混淆。

此外，用户提供的例子中有一些重复的问题和回答，比如关于“AI光通跟资料中心的产品有何不同”被多次提到，我需要确保这些重复的内容都被保留，并正确分段。同时，注意对话中的称呼和角色，如“赵峰问”、“主记长回答”等，这些需要保留在段落中以明确发言者。最后，我会通读整理后的段落式逐字稿，检查是否所有原句都被正确包含，没有遗漏或错误，并且段落划分合理，符合阅读习惯。确保没有添加任何额外内容，也没有删除或修改原句，完全按照用户的要求执行。</think> 以下是整理后的段落式逐字稿（完整保留所有原始内容，未删减、改写或浓缩）：。--- [1181.00-1184.06] 估计在第三第四季。

[1184.06-1187.62] 其实现在就开始有些营收了。[1187.62-1189.72] 估计在第三第四季。[1189.72-1190.26] 这个营收。[1190.26-1192.26] 会陆续成长。[1192.26-1201.46] 赵峰问。[1201.46-1207.96] 中和现阶段产能利用力资本支出与后续增加的折旧。
[1296.86-1298.42] 还有一些其他的客户。[1298.42-1300.38] 我们想办法把营收做上去。[1300.38-1304.74] 那这样的话基本上就可以让我们毛利可以维持到一个程度。[1304.74-1306.50] 针对这个补充说明一下。[1306.50-1309.42] 我们投资主要是针对。[1309.42-1310.10] 刚刚讲的。

[1310.10-1312.10] 大客户的需求。[1312.10-1314.42] 以及白名单客户的需求。[1314.42-1318.42] 以及我们自己新增加的新客户。[1318.42-1319.42] 新产品。[1319.42-1321.74] 那这些毛利率相对都比较好。[1321.74-1324.46] 那当然我们自己努力之外。

[1324.46-1326.22] 那市场也有一些不确定性。[1326.22-1328.54] 所以刚刚正如主席讲的。[1328.54-1330.62] 我们在不确定性中。[1330.62-1337.14] 我们就努力的做吧。[1340.10-1347.98] 这个没有了。[1347.98-1353.70] 这个没有了。

[1353.70-1356.94] 这个有。[1356.94-1359.90] 这个有。[1359.90-1360.66] 历风之分。[1360.66-1364.50] 请问后几季会用力而维持EQ的水准吗。[1364.50-1366.18] 这个也请主席长回答。[1366.18-1368.18] 这个。

[1368.18-1369.18] 刚刚说的。[1370.10-1377.64] 我先回答一下刚才的那个题目。[1377.64-1381.02] 就是说今年营运展望的部分。[1381.02-1382.66] 费用率的部分。[1382.66-1387.90] 费用率的部分刚才有提过了。[1387.90-1389.96] 大概基本上就是维持9%左右。

[1400.10-1404.44] 有个问题是说。[1404.44-1407.94] 请问智慧型手机应用的展望。[1407.94-1410.76] 智慧型手机的应用。[1410.76-1415.44] 大家都知道现在智慧型手机。[1415.44-1418.12] 也有导入AI。[1418.12-1422.10] 所以未来应该是AI手机的应用。

[1422.10-1427.28] 所以手机晶片的功能更加的强大。[1427.28-1429.74] 对于。[1429.74-1430.08] 对于手机的应用。[1430.08-1431.84] 以测试为主的系统来讲。[1431.84-1435.18] 那就增加晶片的测试时间。[1435.18-1436.88] 晶片更复杂了。

[1436.88-1440.94] 所以对测试场都是比较好的趋势。[1440.94-1456.04] 这边有一个问题是。[1456.04-1459.14] 请问来币升值汇率。[1459.14-1459.96] 对于毛利率。[1459.96-1460.06] 对于毛利率的问题。[1460.06-1460.54] 对于毛利率的影响。

[1460.54-1464.82] 上上美元营收占比多少。[1464.82-1467.96] 这个部分跟大家报告一下。[1467.96-1470.60] 就是财币升值汇率。[1470.60-1472.22] 这个部分对毛利影响。[1472.22-1474.46] 我想应该是跟同业大概差不多。[1474.46-1480.24] 日月光他也说大概是增加1%。

[1480.24-1483.56] 大概是会造成毛利0.5%的影响。[1483.56-1486.78] 我们公司大概是0.6左右。[1486.78-1489.20] 所以大概彼此大概差异不大。[1489.20-1489.70] 好。[1490.06-1492.06] 那整个的部分。[1492.06-1493.52] 当然就像刚才讲的。

[1493.52-1496.08] 我们会还是会致力于把我们的营收提高。[1496.08-1497.82] 那营收提高。[1497.82-1498.76] 汇率增加之后。[1498.76-1501.40] 可以弥补一下汇率造成的影响。[1501.40-1508.18] OK下一个问题是。[1508.18-1510.06] 管理团队好。

[1510.06-1512.10] 请问可以详细谈谈。[1512.10-1514.58] 2025年资本支出组成吗。[1514.58-1516.54] 主要用在哪一些领域。[1516.54-1518.16] 及各自比占比。[1518.16-1519.94] 我们。[1519.94-1523.18] 我们的2025年资本支出。

[1523.18-1525.18] 刚刚有说到了。[1525.18-1531.46] 主要是用在扩充AI手机晶片的产能。[1531.46-1533.70] 那么第二个就是说。[1533.70-1537.98] 我们也是增加细光纸的研发。[1537.98-1541.70] 以及扩充细光纸测试的产能。[1541.70-1548.10] 那再来也是AI伺服器相关的产能的扩充。

[1548.10-1551.68] 还有高速运算相关的产能扩充。[1551.68-1554.60] 网通晶片产能的扩充。[1554.60-1559.28] 主要都在这里。[1559.28-1567.04] 第三次第四期营收事后。[1567.04-1569.48] 实际营收成绩成长。[1569.48-1574.02] 请问AI光通跟资料中心的产品有何不同。

[1574.02-1575.98] 请问AI光通跟资料中心的产品有何不同。[1578.10-1585.04] 其实它都是用在资料。[1585.04-1586.98] 大部分都用在资料中心里面。[1586.98-1589.72] 光通性就是要解决。[1589.72-1594.36] 这个AI的伺服器端之间的通信的问题。[1594.36-1596.12] 严格来讲。

[1596.12-1600.46] 就可以归位这AI跟光通。[1600.46-1601.60] 所以我们在归位。[1601.60-1604.64] 我们在归类里面都把它放在一起。[1608.10-1611.04] 所以我们在归类里面都把它放在一起。[1611.04-1613.70] HPC的调整。[1613.70-1619.74] 就是客户是。

[1619.74-1623.98] 应该是它产品组合的调整。[1623.98-1628.18] 我们期望在它产品组合调整完之后。[1628.18-1634.20] 又可以回复到成长的动能。[1638.10-1645.10] 第三。
