**段落式逐字稿（保留所有原句）**。[1992.82-2001.82] 我相信應該是還是要回歸到說對於整個房地產的一個景氣來講的話的影響性是怎麼樣。[2001.82-2005.82] 所以我們接下來幾個題目交給曾經麗來回答。[2005.82-2006.82] 好。[2006.82-2007.82] 那對於長期來講的話。[2008.82-2011.82] 長期台幣升值對臺灣房地產的影響。

[2011.82-2016.82] 那這一次的升值的速度很快。[2016.82-2018.82] 有點那種兩天到位的一個跡象。[2018.82-2020.82] 所以對於國人來講的話。[2020.82-2024.82] 可能一些外幣的資產都來不及去做一些應變。[2024.82-2027.82] 所以原則上最近的台幣的升值。[2027.82-2033.82] 可能對於我們的房地產市場上來講沒有太大的一些加分。
[2352.82-2356.82] 那在我們這個過程當中就是。[2356.82-2358.82] 我們強調所謂的開班不開除嘛。[2358.82-2360.82] 所以我們在。[2360.82-2361.82] 在那個日後的培訓喔。[2361.82-2363.82] 即便他是張浪店長。[2363.82-2364.82] 我們還是持續的去做培訓。

[2364.82-2366.82] 所以我們有所謂的。[2366.82-2368.82] 區主管的這個角色。[2368.82-2370.82] 各其他的一些人職單位的。[2370.82-2373.82] 這些各種的一個工具。[2373.82-2375.82] 管理工具上面的提供。[2375.82-2377.82] 然後去培育他們。

[2377.82-2379.82] 成為一個更好的一個店長。[2379.82-2382.82] 那現在的一個狀況是。[2382.82-2384.82] 整個大環境不好。[2384.82-2387.82] 所以難免就是會有。[2387.82-2389.82] 遭遇到逆風的狀況。[2389.82-2391.82] 那我們的重點是。

[2391.82-2393.82] 應該是在於說怎麼樣把。[2393.82-2397.82] 那個只是短時間遭遇到逆風的。[2397.82-2398.82] 這樣的一個店長。[2398.82-2401.82] 幫他好好的去支持他們。[2401.82-2403.82] 那當然如果說。[2403.82-2407.82] 有那種長期表現不佳的店長的話。

[2407.82-2409.82] 那當然就是要考慮說。[2409.82-2411.82] 要去做一個。[2411.82-2413.82] 那個職務上的調整這樣子。[2413.82-2415.82] 所以倒也沒有說。[2415.82-2418.82] 現在的合格店長難找的這種情形。[2418.82-2420.82] 這是一併的做一個回答。

[2421.82-2422.82] 好的。[2426.82-2428.82] 然後有投資朋友問到說。[2428.82-2432.82] 那個的家品家學的。[2432.82-2433.82] 這個完工時間。[2433.82-2437.82] 總銷跟育菇的毛利。[2437.82-2438.82] 家品的。

[2438.82-2440.82] 我先講家品。[2440.82-2441.82] 家品因為已經快要。[2441.82-2444.82] 今年的部分應該就差不多。[2444.82-2446.82] 都會筆定。[2446.82-2449.82] 包含說我們預計在。[2449.82-2451.82] 就我同意回覆。

[2451.82-2452.94] 另外一个议题。[2452.94-2455.80] 就是家屏大概是始照的话。[2455.80-2460.72] 会在今年的六月份。[2460.72-2462.74] 去申请始照。[2462.74-2467.76] 那所以大概完工的。[2467.76-2468.78] 完工时间点。

[2468.
