[0.00-6.40] 說明會,我們很榮幸邀請到龍城店的呂谷欽董事長以及IR Rita來到看核證券
[6.40-10.50] 以各位投資經紀人分享公司的經營時機以及未來展望
[171.78-173.64] 和通通建立策略合作關係
[173.64-175.24] 在歐洲設立維修中心
[175.24-176.34] 逐進服務歐洲客戶
[176.34-180.32] 提供各級時的銷售與售後維修服務
[180.32-183.42] 在財務表現方面
[183.42-187.20] 營收從2021年的第一季開始成長
[187.20-189.80] 因為賓士跟哈尼威爾的出貨
[189.80-193.00] 毛利率從前年2023年開始到40%
[193.00-203.30] 第四季的營收為8.33億元
[203.30-206.78] 季增6% 年增38%
[206.78-208.86] 創單季歷史新高
[208.86-212.22] 茅例率為38.7%
[212.22-214.62] 第四季的費用多了3000萬
[214.62-219.06] 主要來自於併購案一次性實地查核的調查費用
[219.06-223.10] 與國外公司的年增費用與研發費用
[223.10-225.90] 所以第四季的費用比較高一些
[233.90-236.30] 去年的營收30.58億元
[236.30-237.82] 續創新高紀錄
[237.82-241.94] 公司今年受惠於Honeywell新增訂單的出貨
[241.94-247.06] 倉儲物流的營收倍增與電腦控制機器人的需求強勁
[247.06-248.76] 在國防軍工
[248.76-251.32] 無人機控制面的佔比持續提高
[251.32-253.36] 茅例率可維持高檔
[253.36-256.96] 另外也受惠於瑞士兩家併購案
[256.96-259.64] 除了增加瑞士地區的營收之外
[259.64-262.30] 也將拓展其他地區業務
[262.30-266.42] 預期今年的營運與獲利將續創新高
[266.42-273.72] 第四季的資產負債表部分
[273.72-277.52] 我們的流動資產有27.72億元
[277.52-278.72] 第四季的資產負債表部分
[278.72-281.02] 我們的流動資產有27.72億元
[281.02-284.86] 現金與約當現金的部分約有7.19億
[284.86-288.70] 每股淨值的部分有42元
[288.70-294.34] 剩餘的部分請大家自行參考
[294.34-298.94] 今年配包5.5元的現金股利
[298.94-302.02] 股利發放率79%
[308.72-312.82] 在歷年的股利政策公司都採高股利政策
[312.82-315.76] 有幾年的股利發放率超過100%
[315.76-323.06] 將持續維持高股利政策
[323.06-324.84] 在營運掌控方面
[324.84-328.94] 農程伴隨企業行動化的趨勢加速成長
[328.94-331.76] 營收成長來自於強勁的汽車產業
[331.76-334.84] 長期復留
[334.84-336.88] 醫療保健
[336.88-338.68] 醫療保健經驗通訊的發展和發展的成長
[338.72-341.80] 在公司佔有羅邦整理歐大快速成長的產業
[341.80-344.60] 市場勝負包含強固型筆電
[344.60-348.44] 電腦控制機器人的地面控制站
[348.44-351.26] 與特殊車輛行動載具整合應用
[351.26-359.96] 公司聚焦於AI與機器人為主的應用
[359.96-364.06] 再來全球強固型設備包含螢幕
[364.06-366.62] 平板電腦筆電與PDA
[366.62-368.68] 全球強固型顯示器
[368.68-370.72] 大小約75億美金
[370.72-373.04] 每年成長6-7%
[373.04-375.60] 平板規模是10億美金
[375.60-377.38] 筆電16-20億美金
[377.38-378.92] 整體來說
[378.92-384.80] 平板電腦成長最快
[384.80-389.68] 另外電腦控制機器人的應用也是公司專注的重點
[389.68-394.80] 電腦控制機器人地面控制站是一個複雜的物體軟體系統
[394.80-398.64] 可實現對機器人無人機或無人機的遠端監控和控制的效果
[398.68-402.78] 提供即時的參數數據和目標資訊
[402.78-406.88] 地面控制站滿足國防安全工廠自動化
[406.88-408.40] 農業收救
[408.40-409.68] 環境監測等
[409.68-412.50] 預估地面控制站到2030年
[412.50-417.36] 每年成長12-14%
[417.36-418.64] 另外
[418.64-422.74] 汽車倉儲物流與醫療保健三大產業
[422.74-425.04] 公司超過5成的營收
[425.04-428.12] 在車檢與監控車方面3-21%
[428.68-429.70] 美其林市長
[429.70-431.76] 獨立分配
[431.76-434.18] 仍進入
[434.18-435.66] 客戶來自於
[435.66-438.76] 賓士全球維修用的平板電腦訂單
[438.76-443.44] 豪華汽車品牌客戶與全球車檢設備龍頭Porsche的一個
[443.44-446.30] 汽車維修檢測平板訂單
[446.30-449.32] 在倉儲物流部分佔比23%
[449.32-451.28] 包含Honeywell跟Chrome
[451.28-453.50] 醫療保健部分佔比12%
[453.50-457.00] 包括angesian Martini、美德尼
[457.00-458.58] 剩餘部分是
[458.58-466.88] 44%包含地面控制站、石油、天然氣、公共安全、工業自動化、船舶、航空等應用
[469.80-475.26] 在2025-2026年受惠於企業行動化趨勢
[475.26-479.96] 市佔率不斷提升,每年營收可維持穩定成長
[479.96-485.88] 另外,農程受惠於地面控制站、GCS電腦控制機器人應用的到來
[485.88-488.82] 加速公司第二次數位轉型
[515.88-524.86] 想請教中康喜三五年的策略和看好的產業和產品
[524.86-527.86] 三五年的策略應該是這樣講
[527.86-531.86] 我們這次宣布要併購瑞士這個公司
[531.86-538.36] 但是他這個應該未來一年,完整年他可以貢獻差不多
[538.36-540.58] 我認為應該有到十億的營收
[540.58-542.98] 所以當然我們營收會增加
[542.98-544.48] 只是說他的獲利
[544.48-545.88] 因為我們去經營的之後
[545.88-548.88] 可能想辦法讓他的獲利會更好
[548.88-552.88] 因為他現在的Net Profit比例差不多8%左右
[552.88-560.86] 那我們是希望說我們來主導經營可以變成至少10%以上
[560.86-562.86] 那這個還有一個重點是
[562.86-564.86] 因為其實跟我們一起投資這家
[564.86-568.86] 就把這家買下來的公司是一個歐洲的Partner
[568.86-570.86] 他是門大的
[570.86-573.86] 所以他也會帶生意來給未來這家公司
[573.86-575.88] 所以我們
[575.88-578.88] 是蠻期待說這樣子的組合之後
[578.88-580.88] 但是我們公司占超過五成
[580.88-581.88] 理論上是這樣的
[581.88-584.88] 我們投資協議上是這樣著名的
[584.88-588.88] 所以現在是在最後的SPA的Contract的階段
[588.88-590.88] 但他是有一定的程序的
[590.88-594.88] 所以到最後完成可能會接近六月
[594.88-597.88] 那我們是希望說能夠五月如果早一點
[597.88-599.88] 那我們就可以增加營收跟獲利
[599.88-600.88] 這是這樣子
[600.88-601.88] 那長期來講
[601.88-604.88] 因為這次我們並沒有花很多錢嘛
[605.88-607.88] 那以我們公司現在的資產
[607.88-609.88] 因為我們現在新蓋的這棟大樓
[609.88-611.88] 市值就差不多三四十億嘛
[611.88-613.88] 那我們未來可能
[613.88-614.88] 就是說我自己在思考
[614.88-616.88] 就是我們未來要讓RO還更高對不對
[616.88-619.88] 我們要用三四十億再去變一家公司
[619.88-622.88] 這是全球很大的類似這個領域的功能
[622.88-623.88] 但現在不能講
[623.88-625.88] 現在等於說在談階段就對
[625.88-626.88] 讓大家了解
[626.88-628.88] 那他沒有那麼快啦
[628.88-630.88] 他可能會差不多一年多的Process
[630.88-633.88] 我們希望說我們在這個領域裡面
[633.88-634.88] 我們能夠
[634.88-636.88] 做到最便宜
[636.88-637.88] 而且速度最快
[637.88-638.88] 因為我發現
[638.88-640.88] 現在全世界
[640.88-641.88] 就比如說歐洲
[641.88-644.88] 歐洲現在在軍工產業蠻
[644.88-645.88] 蠻盛行的
[645.88-647.88] 所以我們就有一個客
[647.88-648.88] 應該算以前也是客人
[648.88-649.88] 也是競爭對手
[649.88-650.88] 一直在跟他合作
[650.88-653.88] 他有跟台灣的同業合作
[653.88-655.88] 他去年十月就宣布
[655.88-658.88] 他公司再也不做營大水產品
[658.88-661.88] 他現在全部Focus在軍用產品
[661.88-663.88] 就是因為配合那個NATO的
[663.88-668.88] 未來的國防預算的增加
[668.88-670.88] 所以他這個宣布之後
[670.88-672.88] 我們就看他的股票
[672.88-674.88] 他也是上市公司
[674.88-676.88] 他也買了一家德國的公司
[676.88-679.88] 他的股票就從七八十塊漲到現在
[679.88-680.88] 兩百多塊
[680.88-681.88] 每天都在漲
[681.88-684.88] 所以表示說這個市場未來是看
[684.88-685.88] 但是布格弗認識說
[685.88-686.88] 我去看他的彩票
[686.88-687.88] 因為我們都是朋友
[687.88-688.88] 都認識
[688.88-689.88] 所以我看了他的彩票
[689.88-690.88] 我就問他說
[690.88-691.88] 你不錯
[691.88-692.88] 你手上竟然有差不多
[692.88-693.88] 差不多
[693.88-696.88] 應該他是兩百個million的
[696.88-698.88] 的project在手上
[698.88-699.88] 未來要delivery
[699.88-700.88] 所以他不錯
[700.88-702.88] 本來他是在我們這裡
[702.88-703.88] 應該說
[703.88-705.88] 因為假設我們都算強固的電腦
[705.88-707.88] 就我們講Penasone可能第一
[707.88-709.88] GTEC神技可能第二
[709.88-710.88] 那我們應該是第三
[710.88-711.88] 現在三
[711.88-712.88] 但他現在又買了一家
[712.88-713.88] 我們就變第四
[713.88-714.88] 所以第三
[714.88-715.88] 等於說本來三四五
[715.88-717.88] 這是我們在Misako
[717.88-718.88] 他突然間他都跑出來了
[718.88-720.88] 所以我們就發現說
[720.88-722.88] 我們產生很大的危機感
[722.88-723.88] 所以我們未來可能會
[723.88-725.88] 比較更積極的在做這個
[725.88-727.88] 併購這個動作了
[727.88-728.88] 那三五年之內當然
[728.88-730.88] 我覺得國防產品是很重要
[730.88-734.88] 再來就是船舶的IT是很重要
[734.88-736.88] 如果大家之前有去看過我們公司
[736.88-738.88] 就是說我們在船上的航椅設備
[738.88-740.88] 就是說我們在這個領域
[740.88-744.88] 在全球應該是前五名以內就對了
[744.88-746.88] 所以我們現在新一代的產品
[746.88-748.88] 已經去花更多錢
[748.88-749.88] 更遠方的費用
[749.88-752.88] 去做整個船上的推廣
[752.88-754.88] 所以我們現在是在做
[754.88-755.88] 我們在船舶的IT的嘛
[755.88-756.88] 那我們希望說
[756.88-758.88] 這個在未來配合
[758.88-760.88] 就是美國他們要造船
[760.88-761.88] 我覺得我們應該有機會
[761.88-763.88] 而且像韓國那個漢華
[763.88-764.88] 也是我們的客人
[764.88-765.88] 所以我們也在跟他談
[765.88-768.88] 讓我們的產品可以比較大規模的
[768.88-771.88] Deploy在他的船的系統上
[771.88-774.88] 那我們最近在這個船舶的應用的IT
[774.88-775.88] 我覺得做得還不錯
[775.88-778.88] 而且那個出貨量也還好
[778.88-779.88] 所以大概是這樣
[779.88-780.88] 所以我們我是認為
[780.88-781.88] 我們應該說
[781.88-783.88] 我們應該做機器人嘛
[783.88-784.88] 那因為機器人就是說
[784.88-786.88] 我們公司是做controller
[786.88-789.88] 基本上我們不會去做機器人這個結構啦
[789.88-790.88] 因為我覺得台灣廠商
[790.88-791.88] 應該都沒辦法做嘛
[791.88-794.88] 這個現在可能就是NVIDIA啦
[794.88-796.88] 或是宇順這種大陸公司
[796.88-798.88] 或是誰他們比較厲害
[798.88-800.88] 我覺得台灣廠商想要做整機的
[800.88-801.88] 整台會動的機器人
[801.88-802.88] 可能有些困難
[802.88-804.88] 但是我覺得我們在
[804.88-806.88] 他的心臟或是腦力上
[806.88-807.88] 我們可以加強
[807.88-808.88] 甚至眼睛啊
[808.88-810.88] 所以我們也在做那種
[810.88-812.88] 我們自己的研發在做
[812.88-814.88] 所以這個本來是要做回無人機的
[814.88-815.88] 我們發現說
[815.88-817.88] 這個雷射跟紋外線這個現象
[817.88-819.88] 再加上一般CAM整合起來
[819.88-823.88] 這對我們在做這種機器人的這種
[823.88-824.88] 那種行動啊
[824.88-827.88] 或自動操作也不錯
[827.88-828.88] 所以未來我們應該是會
[828.88-831.88] 在這幾個領域來整合
[831.88-832.88] 再來就是說
[832.88-834.88] 因為我們現在強調Age
[834.88-835.88] Age AI嘛
[835.88-836.88] Age Computer嘛
[836.88-837.88] Age AI Age Computer
[837.88-839.88] 所以這個對我們來講
[839.88-840.88] 未來就是說
[840.88-842.88] 以現在我們是很多客人
[842.88-843.88] 他都在談啦
[843.88-846.88] 但是真正有大的專案的不多
[846.88-848.88] 但是我們現在因為最近我們
[848.88-851.88] 我們也把傑森的這種Nano的這種
[851.88-852.88] 比較Light的平台
[852.88-854.88] 整到我們的平板
[854.88-856.88] 所以我們也跟滿多客人在談
[856.88-857.88] 他們覺得這樣子的
[857.88-858.88] 的solution啊
[858.88-860.88] 對他們的應用很不錯
[860.88-862.88] 所以我們會在這一個領域
[862.88-865.88] 會花更多的軟體的
[865.88-867.88] 跟硬體的能力來整合
[867.88-868.88] 所以我覺得
[868.88-869.88] 應該在這裡面
[869.88-870.88] 我們應該會有一席之地啦
[870.88-871.88] 就是說怎麼樣透過
[871.88-874.88] 去跟機器人的操控啦
[874.88-876.88] 再來就是自動駕駛
[876.88-877.88] 這樣子我就會慢慢會有這樣
[877.88-880.88] 所以未來應該就是這幾個方面啦
[880.88-881.88] 至於我們的客人
[881.88-882.88] 每個客人都會
[882.88-884.88] 因為我的客人都是特殊產業嘛
[884.88-887.88] 特殊產業他就是要一個Platform
[887.88-889.88] 那我們現在基本上都是在開發Platform
[889.88-890.88] 給他們用
[890.88-892.88] 所以理論上
[892.88-894.88] 我覺得未來假設我們的客戶
[894.88-895.88] 越來越多
[895.88-897.88] 那個接觸面越來越多
[897.88-898.88] 我們就可以提供客戶
[898.88-900.88] 更多的Friendly
[900.88-902.88] 友善的Solution給他們
[902.88-903.88] 大概是這樣
[903.88-904.88] 好謝謝
[906.88-907.88] 我剛剛講那個
[907.88-910.88] 三日十一這個BIN這間公司
[910.88-913.88] 可以講它大概是什麼樣的產業嗎
[913.88-914.88] 還有資金來源
[914.88-916.88] 我們是把新大樓做售後租回
[916.88-919.88] 還是限徵或是CV這些
[919.88-921.88] 這個我覺得未來
[921.88-923.88] 我應該是會做比較
[923.88-925.88] 就售後租也是個方式啦
[925.88-926.88] 就是說我也可以租嗎
[926.88-927.88] 就永久租了嘛
[927.88-928.88] 再來就是說我們
[928.88-929.88] 可能有
[929.88-931.88] 就資金的Portofolia會有蠻多的
[931.88-933.88] 因為我們現在只有8億的股本而已嘛
[933.88-935.88] 那如果增加這樣的營收
[935.88-938.88] 一定會產生EPS會很高嘛
[938.88-941.88] 所以我覺得適當的增加的那個
[941.88-944.88] 增值也不是一個不好的事
[944.88-945.88] 但是這是未來
[945.88-946.88] 他也在談這個沒有那麼快
[946.88-948.88] 只是說先你講未來Platform
[948.88-949.88] 我就跟你講說未來我們是希望說
[949.88-950.88] 透過這樣子
[950.88-952.88] 在每一個領域裡面
[952.88-956.88] 我們的Leadership的位置比較Mature
[956.88-958.88] 因為現在你不是T1 T2的
[958.88-959.88] 你就沒機會了
[959.88-961.88] 所以大概是這樣
[966.88-967.88] 這個不能講
[967.88-968.88] 這個現在因為坦白說
[968.88-970.88] 因為我們裡面有的好會寫喔
[970.88-971.88] 把它寫一大堆
[971.88-972.88] 我的客人都會看到
[972.88-973.88] 競爭對手會看到
[973.88-974.88] 就很討厭
[974.88-976.88] 現在我覺得國際化在太嚴重了
[976.88-978.88] 就不小心他們就看到了
[988.88-991.88] 這是我們aming的力量
[991.88-992.88] 因為我還沒有igation
[992.88-994.88] 那我們剪輯好
[994.88-995.88] 熟悉於哪主要是
[995.88-996.88] 誰的瀏覽
[996.88-997.88] 我們 fucked
[997.88-998.88] 我們是瀏覽
[998.88-999.88] 都是1是 verdäs
[999.88-1012.88] 我們是 ses
[1012.88-1013.88] 我們是 po HI
[1013.88-1016.88] 我們都還在電 revelation
[1016.88-1018.52] 現在是一個月我們產能
[1018.52-1020.52] 我們平板至少超過兩萬台以上
[1020.52-1022.26] 現在差不多兩萬五千台
[1022.26-1023.12] 但差不多
[1023.12-1024.58] 我覺得它現在比例不多
[1024.58-1026.46] 它差不多一千台左右這種比例
[1026.46-1027.86] 自己單價這可能是
[1027.86-1029.40] 我覺得單價我覺得比較不好講
[1029.40-1030.36] 因為講了我們的對手
[1030.36-1031.60] 又知道怎麼去扣別
[1031.60-1032.52] 現在我發現
[1032.52-1034.36] 我在講話大家都會給我研究
[1034.36-1035.04] 這樣不行
[1035.04-1036.36] 就是我們還是要保有一些精力
[1036.36-1037.40] 因為我們很多競爭對手
[1037.40-1038.54] 他都會去學
[1038.54-1040.14] 學我們這樣子的商業模式
[1040.14-1040.78] 但是
[1040.78-1042.50] 但是我覺得我們走得比較快
[1042.50-1044.40] 但是也要適當的要保持一些
[1044.40-1046.08] 那個我們的那個隱私
[1046.08-1049.68] 才能夠那個保持我們的商業模式
[1049.68-1051.48] 這比較能夠長期的
[1051.48-1052.06] 就是說
[1052.06-1052.96] 那基本上
[1052.96-1054.82] 它現在量我是可以講越來越多
[1054.82-1056.46] 而且我們現在控制的不管
[1056.46-1058.56] 應該講說我們在講說
[1058.56-1059.56] 這種無人機
[1059.56-1061.36] 我現在比較不會跟大家講說
[1061.36-1062.70] 它純粹是無人機
[1062.70-1064.30] 它可能是無人船
[1064.30-1066.60] 它可能是無人的裝甲車
[1066.60-1067.56] 小小台的
[1067.56-1069.40] 甚至無人的車子
[1069.40-1070.38] 就是說我們現在這個
[1070.38-1071.54] 都已經混合在一起了
[1071.54-1072.58] 所以我統稱這個叫
[1072.58-1073.60] Robotic
[1073.60-1075.34] 它已經不再叫做Drum了
[1075.34-1076.08] 因為Drum就是
[1076.08-1077.82] 有點太Nano
[1077.82-1080.08] 那我們現在有很多Drum的應用
[1080.08-1081.72] 它是用在農業應用
[1081.72-1082.72] 農業監控
[1082.72-1084.72] 就是這個應用蠻廣的
[1084.72-1086.06] 蠻多的這樣子的應用
[1086.06-1086.56] 對
[1086.56-1087.76] 所以這個對我們來講
[1087.76-1089.06] 這未來等於說
[1089.06-1090.12] 天上飛的
[1090.12-1091.00] 地上跑的
[1091.00-1092.56] 還有海上跑的
[1092.56-1093.50] 都有就對了
[1093.50-1095.06] 所以它這個的控制是比較多
[1095.06-1095.94] 但是我認為
[1095.94-1097.60] 這個Controller就是說
[1097.60-1099.30] 大家會覺得說你為什麼要用Controller
[1099.30-1100.14] 因為你基本上
[1100.14-1101.00] 如果全部都自駕
[1101.00-1102.00] 你都能自己做
[1102.00-1103.70] 那某種程度Controller就是說
[1103.70-1105.58] 它可以提供任何一個人
[1105.58-1106.82] 你可以影像
[1106.82-1108.02] 你隨時可以看
[1108.02-1109.92] 所以它裡面的效率要很高
[1109.92-1111.52] 而且它要Tops也要高
[1111.52-1113.22] 你現在像之前MPK
[1113.22-1115.36] 它的只有六個Tops就
[1115.36-1116.82] 基本上就跑不動
[1116.82-1117.92] 像Intel的
[1117.92-1119.20] 像Core i7的
[1119.20-1121.60] 像13世代的也太少
[1121.60-1124.46] 但是它太耗電又撐不了
[1124.46-1127.16] 所以這個就是說
[1127.16-1129.20] 像NVIDIA是比較可行的
[1129.20-1130.50] 就是說但是它也是耗電
[1130.50-1132.08] 也是有一種這種
[1132.08-1134.00] 因為它跟Core i的耗電是一樣的
[1134.00-1135.58] 所以我們現在也比較期待
[1135.58-1138.18] 說那Core i當然是比較好
[1138.18-1139.98] 它最高用的就是十幾個Tops
[1139.98-1140.82] OK它是可以用
[1140.82-1141.92] 只是它貴
[1141.92-1144.32] 那我們是比較期待那個MPK
[1144.32-1144.92] 它下一代
[1144.92-1145.86] 它現在
[1145.86-1147.70] 它好像這個禮拜參戰
[1147.70-1148.62] 它有跟我們合作嗎
[1148.62-1149.70] 它下一代
[1149.70-1150.90] 它6月份要release
[1150.90-1152.94] 新的它就是十幾個Tops
[1152.94-1155.44] 可以做NPU的GPU的簡單的音箱
[1155.44-1158.36] 我覺得會比較適合我們來用
[1158.36-1158.94] 就是這樣
[1158.94-1160.08] 那重點就是說
[1160.08-1161.80] 我們可以看前端的
[1161.80-1163.34] 就是說你前端在跑的
[1163.34-1164.78] 你這邊都看得到
[1164.78-1165.58] 而且它也會自動
[1165.58-1167.18] 那個辨識
[1167.18-1168.82] 也會自動躲來躲去
[1168.82-1170.48] 就自動走它的路
[1170.48-1171.38] 它不會去撞到別人
[1171.38-1173.62] 我這次我也來應用比較多
[1173.62-1175.32] 但是長期來講
[1175.32-1177.26] 其實這種控制器
[1177.26-1178.10] 我現在在
[1178.10-1180.30] 在未來5年之後
[1180.30-1181.46] 它就不需要了
[1181.46-1183.04] 就是說每一個都是自己獨立的
[1183.04-1183.80] 然後在自己來保護
[1183.80-1184.94] 這就是我們下一代
[1184.94-1186.74] 要趕快再去開發新的
[1186.74-1188.14] 以後就全部都是
[1188.14-1189.30] 類似人在自己走
[1189.30-1190.30] 它不需要控制器
[1190.30-1192.20] 因為控制器畢竟以後都是監控而已
[1192.20-1194.38] 它只是把資料傳到社會網路而已
[1194.38-1194.88] 大概是這樣
[1194.88-1195.48] 所以它的應用
[1195.48-1197.24] 我覺得它有一個時間性
[1197.24-1198.48] 所以我們才會講說
[1198.48-1201.06] 我們在這個產業的應用上
[1201.06-1201.48] 我們
[1201.48-1202.58] 我覺得客人就很重要
[1202.58-1203.26] 所以為什麼說
[1203.26-1204.56] 現在買空是重要的
[1204.56-1205.72] 因為你要買到好的客人
[1205.72-1209.42] 跟他做比較深切的連結
[1209.42-1210.16] 你才能夠做到
[1210.16-1211.52] 他比較多的項目跟專利
[1211.52-1213.20] 因為他會比較創意化
[1213.20-1216.06] 去推給他的客人好的產品跟應用
[1216.06-1217.56] 那我們就可以參與其中
[1217.56-1218.40] 大概是這樣
[1223.04-1224.44] 我剛剛投影片
[1224.44-1225.48] 第14頁有那個
[1225.48-1227.48] 產品營收戰
[1227.48-1229.12] 2025年的目標
[1229.12-1232.48] 我想問2024年的狀況是什麼
[1232.48-1235.16] 我覺得我們今年不會差太多
[1235.16-1237.56] 就是說我們比較多的會是在
[1237.56-1239.06] 其他的會比較多
[1239.06-1239.80] 因為其他就是
[1239.80-1242.16] 因為我們把軍用產品都放在這裡
[1242.16-1245.36] 但是我們車輛檢測的會下降
[1245.36-1246.24] 因為車輛檢測
[1246.24-1249.40] 它現在在一個很成熟的時期
[1249.40-1251.60] 所以它的產品的單價也在下降
[1251.60-1253.18] 所以我們新一代的訂單
[1253.18-1255.48] 它的單價都少很多
[1255.48-1257.48] 那為了要維持我們的毛利
[1257.48-1259.96] 所以我們就盡量就做比較做國防的
[1259.96-1260.72] 但是我們國防
[1260.72-1263.48] 我們現在沒有很獨立的把它弄出來
[1263.48-1264.36] 在這個裡面
[1264.36-1267.92] 但多個否認的國防的應用的IT
[1267.92-1268.66] 就是電腦
[1268.66-1270.40] Logic Computer
[1270.40-1272.60] 對我們未來的成長性是最高的
[1272.60-1273.66] 以現在來看
[1273.66-1275.20] 那Medical我覺得是還要
[1275.20-1276.80] 因為隨著我們營收的增加
[1276.80-1278.00] Medical也在增加
[1278.00-1279.48] 就是我們主要的Key Account
[1279.48-1280.60] 它都有在增加
[1280.60-1282.34] 那物流業因為我們最近
[1282.34-1284.14] 又有一個新的物流的客戶
[1284.14-1285.08] 給我們簽了ODM
[1285.08-1285.48] 所以
[1285.48-1287.38] 所以這個也是在增加當中
[1287.38-1287.68] 對
[1287.68-1289.88] 所以我是反而是覺得說
[1289.88-1292.46] 汽車的檢測這個應用
[1292.46-1294.62] 我覺得它比較趨向
[1294.62-1296.42] 已經工具類成熟化了
[1296.42-1297.72] 所以它未來
[1297.72-1300.36] 它的成長性的金額就不會那麼高
[1300.36-1301.56] 但是它數量可能會增加
[1301.56-1304.06] 所以說重點是它的單價已經在
[1304.06-1305.14] 很大幅度的下降
[1305.14-1306.30] 這個就是重點是
[1306.30-1307.90] 在因為德國汽車產業
[1307.90-1309.74] 已經不像以前那麼有競爭力了
[1309.74-1311.50] 它們的車子都不好賣
[1311.50-1312.88] 它不可能讓我賺錢
[1312.88-1315.48] 所以大概我們會有這樣子的結構的調整
[1315.48-1317.14] 好 謝謝
[1345.48-1346.68] 好 還有負債
[1346.68-1348.12] 然後要有AI功能
[1348.12-1350.56] 那這一點我們國內的晶片
[1350.56-1353.02] IC設計其實並沒有開發出來
[1353.02-1355.46] 而且開發時間至少要兩年以上
[1355.46-1357.12] 那針對國防部
[1357.12-1361.10] 國防部下個月可能的招標
[1361.10-1363.26] 那我們這邊是有沒有什麼樣的機會
[1363.26-1364.74] 而且新的招標
[1364.74-1366.66] 很可能會搶掉飛鴻公立電
[1366.66-1370.20] 那我們的產品其實已經做到全台制
[1370.20-1373.44] 那這個部分可以請余董發表一下嗎
[1373.44-1375.48] 這個問題還是要問的
[1375.48-1377.98] 就是現在我們有牽涉到預算的問題
[1377.98-1379.46] 事實上有一些是delivery
[1379.46-1380.42] 有delay啦
[1380.42-1382.88] 就是說那個大量的都有delay
[1382.88-1384.22] 少量的基本上我看
[1384.22-1385.32] 因為我們都交了
[1385.32-1387.66] 所以不要比算少量那些的
[1387.66-1390.72] 而且它有一些是unprocessed order
[1390.72-1391.60] 那個backlog order
[1391.60-1393.00] 已經在我們的系統上
[1393.00-1396.20] 所以我覺得少的都沒有變
[1396.20-1397.46] 就是大的有少
[1397.46-1399.60] 大的少就是說它可能預算
[1399.60-1401.38] 它可能真的是有deploy
[1401.38-1404.40] 就是說有一些分配的問題
[1404.40-1405.48] 應該沒有取消
[1405.48-1406.18] 應該沒有
[1406.18-1408.22] 只是說分配的問題它就多多少
[1408.22-1408.72] 對
[1408.72-1410.08] 那未來就是你講的沒有錯
[1410.08-1412.02] 就未來就是因為國防部的傾向
[1412.02-1415.76] 就是說你當初有被approved的那幾家
[1415.76-1417.86] 他們都可以直接去議價
[1417.86-1419.50] 所以他們現在就是一對一
[1419.50-1421.26] 假設我現在找A公司
[1421.26-1422.36] 那你之前沒有得標
[1422.36-1423.24] 但是你也是在歷史的
[1423.24-1424.30] 我也可以找你議
[1424.30-1425.64] 所以他們每一個人就互相議
[1425.64-1427.10] 說他會跟他出價嘛
[1427.10-1429.20] 就出說這個總價
[1429.20-1430.78] 我可能20萬台幣我就要了
[1430.78-1432.38] 你不要像以前那麼貴的
[1432.38-1433.98] 五六萬六七萬美金
[1433.98-1435.34] 所以它現在就比較便宜
[1435.48-1436.48] 所以他們就是為了
[1436.48-1437.84] 所以他們要求的
[1437.84-1439.62] 像我們這個control也是比較便宜
[1439.62-1441.36] 所以我們公司就有那種
[1441.36-1443.38] 那種三十百塊美金的那種
