[0.00-4.28] 现在武汉建大工业股份有限公司的发言会正式开始
[849.66-854.02] 比如说以台湾来讲好了现在目前的对等关税是32%
[854.26-857.08] 那从台湾生产的产品
[857.34-858.10] 自行车胎
[858.62-859.14] 出口到
[859.44-861.22] 美国去的话呢
[861.74-863.78] 美国的进口商就必须要支付
[864.04-867.12] 42%再加上32%的一个对等
[867.38-869.16] 一个Total的一个税率
[869.68-870.70] 那在
[871.22-872.74] 中国地区生产的话呢
[873.00-874.54] 就除了所谓的
[874.80-875.82] 基础关税
[876.34-877.62] 对等关税之外呢
[878.12-880.94] 他还会被课证原本就有的
[881.20-882.48] 所谓的301
[882.74-883.76] 条款的关税
[884.02-885.80] 这个部分的话是25%
[887.08-889.14] 摩托车胎及工业用车胎
[889.44-891.48] 和自行车胎的状况
[891.74-893.02] 是一样的
[893.28-897.38] 也就是在中国以外的地区如果去课证这个
[897.88-901.98] 去生产这些产品的话呢也是会被
[902.24-903.00] 课证
[903.26-905.30] 所谓的基础关税及对等关税
[905.56-909.14] 那在中国地区生产的话呢还要再加上一个
[909.40-910.94] 301法条的25%关税
[911.70-914.78] 叫车胎的情形就比较复杂一点
[915.04-916.58] 主要是因为
[916.82-919.14] 在过去的几年之间
[919.44-920.46] 美国的商务
[920.72-924.82] 针对各个地区生产的轿车胎都或多或少
[925.06-926.34] 有反补贴以及反
[926.86-928.66] 反倾销的调查
[928.90-934.02] 所以呢我们生产的我们有生产轿车胎区域或多或少都有
[934.28-935.56] 这些反补贴及反
[936.08-938.12] 反倾销及反补贴关税的
[938.38-939.14] 被课证
[939.40-941.20] 比如说以越南来讲的话
[941.70-944.26] 除了原本就有的基础关税之外呢
[944.52-948.62] 还有一个贸易扩张法的232条款的这个25%
[948.88-950.42] 这里还要再另外说明一下
[950.66-952.20] 我们后来有去确认
[953.48-955.54] 这个贸易扩张法232条
[955.78-961.94] 这个25%针对汽车针对汽车零组件还有对于那个钢铁铝的这些课征呢
[962.44-965.52] 基本上只要是被这个232条款
[965.78-966.80] 这些产品呢
[967.06-969.86] 是不需要再受到对等关税的
[970.12-971.40] 课征喔
[971.66-974.48] 所以说我们的轿车胎被纳入232条款
[974.74-976.26] 就不需要再受到
[976.52-978.58] 就不需要再缴交对等关税的这个
[978.88-979.38] 部分喔
[979.64-980.42] 所以便说
[980.66-983.74] 比如说以越南生产的轿车胎来讲的话
[984.00-987.06] 他会受到的关税就会是基础关税
[987.32-988.10] 232条款
[988.34-989.88] 以及原本就有的
[990.14-991.16] 前几年
[991.68-993.98] 就是被调查所需要去
[994.24-997.30] 特征的这个6%多的这个反补贴的关税
[998.58-1000.12] 台湾的话就会是
[1000.38-1002.18] 基础关税232条款
[1002.42-1003.70] 再加上
[1004.48-1007.80] 上一次也是一样跟越南一样就是受到调查的那个
[1008.06-1008.58] 被课证的那个
[1008.88-1009.90] 88%的
[1010.16-1011.18] 反倾销的关税
[1011.70-1014.26] 如果以中国生产来讲的话呢
[1014.76-1015.02] 他的
[1015.28-1016.56] 税务费比较多他就会是
[1016.82-1018.34] 基础的关税232条款
[1018.60-1019.38] 301条款
[1019.62-1021.16] 再加上反倾销的关税喔
[1022.44-1022.96] 好
[1023.22-1023.72] 那
[1025.00-1028.58] 所以说我们公司目前生产的各种胎变如果有
[1028.84-1031.92] 销售到美国去的话呢那主要的
[1032.18-1035.50] 会受到的关税的整理就是如目前的
[1036.02-1037.04] 图面所示喔
[1037.54-1038.32] 那当然
[1038.62-1041.18] 我们也是非常的
[1041.44-1045.54] 积极的要去因应说如果我们这些关税
[1045.78-1046.30] 比如说
[1046.82-1050.40] 比如说以对的关税如果未来我们真的有被施行的话
[1050.66-1052.44] 那我们该怎么处理喔
[1052.96-1057.56] 那第一个短期策略一定是我们会先提高我们终端市场的售价
[1058.08-1059.86] 那比如说以轿车他来讲
[1060.38-1063.20] 目前232条款的25%已经
[1063.70-1064.48] 已经
[1064.74-1065.76] 施行了
[1066.02-1068.58] 那我们也已经在美国的市场那边
[1069.14-1069.64] 有
[1070.92-1073.74] 怎么讲就是提升我们终端售价的一个动作
[1074.00-1077.58] 那我们希望就是涨价的动作我们希望就是这个
[1079.12-1080.90] 这个涨价的状况能够
[1081.16-1085.00] 尽量降低我们受到这个232条款就是这次受到这些
[1085.26-1086.80] 关税
[1087.56-1089.10] 被课证的这些冲击喔
[1089.36-1091.66] 那未来我们也会持续的观察
[1091.92-1095.24] 对等关税未来实行的情形
[1095.50-1097.80] 我们在美国有一个team专门就是在
[1098.06-1098.58] 在
[1098.88-1101.44] 在看这些关税目前变化的状况
[1101.70-1102.72] 那我们也会
[1103.74-1105.02] 积极的去应对
[1105.28-1106.56] 不管是在终端市场
[1107.32-1110.66] 售价的提升呢或者是我们扩充各个
[1110.90-1111.42] 开别
[1112.70-1116.28] 轮圈啊或是轮胎的规格或品相等等相关的措施
[1116.54-1118.08] 我们都会积极的去对应
[1119.36-1122.42] 那以上的话就是
[1123.20-1126.02] 美国关税对于我们影响的说明
[1126.26-1127.80] 那另外还要再讲一下
[1128.06-1130.10] 这个部分都是轮胎的部分
[1130.36-1136.24] 轮圈的部分呢其实目前施行的这个232条款刚刚讲的那个钢铁铝的部分
[1136.50-1138.80] 其实对我们来讲算是比较有利的
[1139.06-1141.12] 因为我们在美国呢是有
[1141.36-1142.90] 轮圈的生产工厂
[1143.42-1143.92] 那
[1144.18-1147.26] 在美国其实也有一些
[1147.52-1149.82] 比如说铁的制造等等
[1150.08-1155.20] 所以对这个232条款对于我们的美国轮圈的制造来讲的话呢
[1155.44-1157.76] 就是相对来讲是比较有利的
[1158.06-1159.84] 那就是以上说明
[1160.10-1161.64] 在供各位参考
[1164.46-1169.06] 那接下来呢我会花一点时间讲一下我们现在各个台
[1169.32-1172.64] 各个产品别各个台别目前的产品开发状况
[1173.16-1175.72] 首先讲的是我们的汽车台的部分
[1175.98-1179.04] 那之前有讲过说在今年的时候
[1179.30-1180.84] 算是我们汽车台的
[1181.10-1182.38] 电动车台元年
[1182.88-1184.68] 我们在今年度的时候呢
[1184.94-1186.22] 应该说从去年开始
[1186.48-1187.76] 我们就一直在准备很多
[1188.06-1188.82] 电动车台的
[1189.08-1189.84] 上市
[1190.10-1191.64] 在今年的第1季呢
[1191.90-1193.18] 我们的
[1193.68-1196.76] 这个616 EV呢也已经顺利的在
[1197.02-1199.32] 大陆地区在亚洲地区呢已经
[1199.58-1200.86] 开始开卖了
[1201.36-1202.90] 那这个616 EV呢是
[1203.16-1208.80] 我们在亚洲市场开发的一个属于高阶市场的Aftermarket的一个产品
[1209.04-1211.10] 那这个也是我们
[1211.36-1212.12] 第一个
[1212.38-1213.66] 推动的一个
[1213.92-1215.96] 电动车的专用轮胎
[1215.96-1220.56] 那在北美地区呢我们也有推动类似
[1220.82-1223.12] 像这种
[1223.38-1226.96] 电动车高阶车胎的一个产品
[1227.22-1229.02] 就是我们的Vesta的
[1229.28-1233.12] AS的那个EV Tire
[1233.36-1235.16] 那它的那个Testing Vehicle
[1235.42-1238.24] 它的target是Tesla Model 3
[1238.48-1242.84] 那目前我们预计在去年2024年年底的那个
[1243.10-1243.86] 美国的
[1244.12-1245.14] 汽车台展
[1245.40-1245.92] 汽车
[1246.22-1248.00] 基本上我们这个它已经亮相了
[1248.26-1249.54] 那我们也是预计在
[1249.80-1250.82] 2026年的
[1251.08-1254.16] 第一季和第二季上半年的时候呢我们也就会上市了
[1255.18-1259.78] 那以上的话是我们汽车胎的一个简短的一些产品的
[1260.04-1261.58] 开发的介绍
[1261.84-1264.90] 那接下来的话是我们的自行车胎
[1266.70-1270.02] 自行车胎在我们这次的欧展呢
[1270.28-1271.30] 我们会有一个
[1272.58-1275.66] 很亮眼的产品会出现就是我们的K1271
[1276.22-1278.52] 那这个K1271
[1278.78-1280.56] 有一个很重要的开发是
[1280.82-1281.84] 它也是一条
[1282.10-1283.12] 自行
[1283.38-1285.68] 电动自行车的专用车胎
[1286.46-1291.06] 它有通过我们在欧洲的ECER75的一个认证
[1291.32-1293.12] 那这个75的认证呢
[1293.36-1294.64] 特别之处就是说
[1294.90-1298.24] 通常我们的自行车胎都是属于慢速车胎
[1298.74-1299.52] 但是这个
[1299.76-1302.08] 这条胎呢它有通过因为它
[1302.32-1303.36] 用在
[1303.86-1304.88] 电动自行车胎
[1304.88-1307.96] 在速度比较快的时候它也是可以使用
[1308.20-1310.52] 就是说它可以用在比较高速行驶的状态
[1310.76-1311.80] 那这个东西也是
[1312.04-1313.32] 也是有得到认证的
[1313.84-1315.12] 再加上说
[1315.38-1319.22] 它是一个非常适合就是它现在目前的台文设计是非常适合于
[1319.48-1321.00] 都市骑行的状况
[1321.52-1323.82] 所以说我们在
[1324.08-1328.44] 全系列的这个K1271的产品都有加装所谓的反光条
[1328.68-1333.30] 能够加深在都市骑行的时候的舒适度还有安全度
[1334.88-1338.72] 那这个产品也是我们今年在欧展的部分会
[1339.24-1340.00] 会
[1340.26-1340.76] 亮相
[1341.02-1342.30] 然后我们会
[1342.82-1343.32] 一个
[1343.58-1345.88] 很亮点的我们的欧展的时候必须要
[1346.14-1348.96] 就是欧洲自行车展的时候会推出的产品
[1349.98-1350.50] 好
[1351.52-1352.28] 那
[1352.54-1354.60] 接下来的话是我们的
[1354.84-1356.12] 汽车胎的部分
[1357.66-1359.46] 在上一次的
[1359.96-1362.02] 法车会的时候呢我有提过
[1362.28-1362.78] 我们这个
[1363.80-1364.84] 今年我们主推的
[1365.14-1369.74] TRADE TRACK MASTER DTR-K6342的这个系列
[1370.00-1371.54] 那这个汽车胎很特别是
[1371.80-1377.42] 我们在这个系列之中呢我们同时开发了所谓的斜胶胎BIAS的
[1377.68-1380.24] 部分然后还有RADIO就是子舞胎的部分
[1380.50-1381.52] 那在
[1381.78-1385.88] 就是斜胶胎的部分呢我们全系列都已经开发完了
[1386.12-1390.74] 在子舞胎的部分呢也是在预计在下个月的时候我们就会
[1391.24-1391.76] 完成了
[1392.28-1393.30] 那这个也是
[1393.80-1394.84] 在我们这个
[1395.14-1399.24] 近期的产品之中在我们的机车胎的产品之中呢
[1399.48-1402.56] 算是一个比较全功能性的轮胎
[1402.82-1404.10] 也是我们近期的
[1404.36-1405.64] 亮点的产品
[1407.68-1411.00] 那工业用车胎的话呢目前的话就是维持着
[1411.26-1414.08] 我们原本的产品线去进行
[1414.34-1417.66] 推动包含原本的高尔夫球车胎
[1417.92-1418.94] 还有
[1419.20-1422.28] 先前讲过的免充气轮胎等等
[1422.52-1423.80] 那都是我们现在目前
[1424.06-1424.84] 还是持续的
[1425.14-1427.44] 在推动的产品之中
[1429.48-1435.12] 那以上呢就是简单说明一下我们各个胎别目前的营运状况
[1435.38-1437.16] 还有我们的产品开发的情形
[1437.68-1443.32] 接下来就会讲一下我们上半年营运成果
[1448.18-1453.56] 那画面上现在看到的是我们每个季的合并综合损益表
[1454.08-1456.38] 可以看到的是2025年的第1季
[1456.88-1459.44] 我们的营业收入啊
[1459.70-1461.24] 是
[1461.76-1465.84] 88亿左右大概88亿新台币的部分
[1466.10-1471.22] 那这个88亿新台币的部分呢其实是一个非常亮眼的表现
[1471.48-1475.58] 相对于2024年第1季相比我们上升了5%
[1475.84-1478.14] 相较于2024年的第4季
[1478.40-1480.44] 79万来比我们也上升了10%
[1480.96-1482.74] 所以其实就是就如我们
[1483.56-1487.40] 之前预测的就是今年其实销售的状况
[1488.68-1489.44] 在
[1489.70-1494.06] 没有关税的影响之前的话其实我们是有预测说今年的
[1494.32-1496.36] 销售状况其实应该是来的
[1496.62-1499.44] 比往年算是一个比较好的状况
[1500.20-1502.76] 那营业毛利来讲呢
[1503.02-1506.08] 和2024年的Q4也是
[1506.34-1510.70] 差不多的情形都是大概19% 20%左右
[1511.20-1513.52] 那唯一比较大的差异是
[1513.82-1515.60] 在业外收支的部分
[1516.38-1522.52] 在第4季2024年第4季的时候我们的业外收支大概是
[1522.78-1527.12] 1亿7但是到了2025年的第1季只占2000万
[1527.64-1531.74] 这里的主要的原因是在还是在汇率的差异
[1532.24-1536.60] 在2024年的季底的时候呢那个汇率大概是
[1537.12-1541.72] 33块左右但是到第3季的时候已经降到32块了
[1542.74-1543.52] 那在这个部分
[1543.82-1545.86] 就会有一个比较大的差异
[1546.12-1547.92] 所以就算是所以说
[1548.16-1550.72] 结算下来的话算说营业净利的部分
[1550.98-1552.78] 2025年的第1季
[1553.04-1554.56] 2024年的第1季
[1554.82-1556.88] 是营业净利是有上升的情形
[1557.12-1559.68] 但是因为业外收支差异比较大
[1559.94-1562.24] 以至于税前净利的
[1562.50-1564.56] 部分呢就
[1564.80-1566.86] 就是有大概有1%的差异
[1567.12-1572.24] 所以最后我们结算的第1季的美国EPS是0.07
[1573.56-1578.16] 那现在画面上的是年的综合损益表
[1578.42-1582.78] 那这个部分的话就是供各位参考在2024年的时候
[1583.04-1585.08] 我们的美国盈余来到了1.3
[1585.34-1588.16] 算是从2017年之后最好的
[1588.40-1591.48] 最好的一年最好的EPS的表现
[1592.50-1594.04] 那就是供各位参考
[1596.60-1598.64] 集团合并收入的部分
[1598.90-1600.18] 2025年
[1600.44-1601.72] 就如先前讲的
[1601.98-1603.26] 表现其实算是
[1603.26-1604.28] 蛮亮眼的
[1604.80-1606.08] 到了
[1606.58-1610.68] 2025年的4月的时候呢我们的营收来到31亿
[1610.94-1612.48] 月营收来到31亿
[1612.74-1616.06] 相较于去年同月份2024年的4月份呢
[1617.34-1618.36] 也是有上升的
[1618.62-1622.46] 然后再加上刚刚有提到2025年Q1的营收
[1622.72-1625.02] 其实叫2024年的Q1来的
[1625.28-1626.30] 状况来得还要好
