[0.00-5.56] 各位投资生计大家午安
[635.74-637.28] 未来展望的一个
[637.28-638.30] 功能
[638.30-642.14] 那新产品线方面我们主要的也是
[642.14-644.70] 用到这个发酵或合成的
[644.70-646.48] 其实我们现在有一些
[646.48-649.04] 那个生态类F-type的这个产品
[649.04-650.08] 都是用到我们
[650.08-652.64] 存化的这样的一个基础
[652.64-653.66] 那这个产品
[653.66-655.20] 有像
[655.24-657.28] 上面的
[657.28-659.60] 一部分是P4跟P3产品
[659.60-661.90] 简单的说明这些就是比较是
[661.90-664.20] 可能5到10年约是P4产品
[664.20-666.00] 是一个独特的一个定位
[666.00-668.30] 可是它的时间来讲要比较长
[668.30-673.42] 那其中的第五个产品就是我们刚才也提过的这个Semaglutime
[673.42-676.48] 现在在那个包括美国欧洲市场
[676.48-679.56] 这家新药公司也是取得非常大的成功
[679.56-680.58] 我们现在已经在
[680.58-683.66] 布局但是我们是用比较特别的方法
[683.66-684.68] 因为大多数的
[684.68-685.20] 同业
[685.24-686.52] 当然是采用
[686.52-689.34] 比较传统的那个化学合成的方式
[689.34-691.38] 是用我们自己新的一个技术
[691.38-692.40] 不能说新啦
[692.40-693.68] 就是说是一个
[693.68-695.48] 有非常有竞争力
[695.48-697.52] 用生物发酵的一个技术
[697.52-699.58] 而不是用化石合成的技术
[699.58-701.36] 来切入这样的市场
[701.36-702.14] 那我们
[702.14-708.02] 可以了解到在这个过程中我们来到这个产品的那个成本是优于
[708.02-708.80] 合成
[708.80-710.08] 这一类的一个制程
[710.08-711.86] 所以这是我们重要的布局
[711.86-713.14] 刚才也说明了
[713.14-715.20] 进行了这样的一个投资的
[715.24-717.54] 放大就是我们也非常看好
[717.54-718.82] 的比较
[718.82-719.60] 应该说是
[719.60-722.40] 未来的潜力最大的一个产品
[722.40-727.52] 那其他在往下看的话是说这个P3是布局在比较短期之内
[727.52-729.32] 可以上市的产品
[729.32-730.34] 包括
[730.34-734.96] 最明确的在今年都会有一些客户投入
[734.96-737.76] 做研发的一个
[737.76-739.82] 准备送件做BABE
[739.82-742.12] 所以这些development的量如果他们
[742.12-743.92] 买了以后去做了
[743.92-744.68] BABE就是所谓生物化的产品
[744.68-746.72] 就是所谓生物相等性的试验
[746.72-748.78] 送那个学名药的ENDA
[748.78-751.08] 就是说学名药的药针申请的话
[751.08-754.16] 同样就是说要去变更供应商
[754.16-755.44] 就会相对
[755.44-756.46] 门槛高
[756.46-759.52] 所以今年应该是有机会就其中的
[759.52-761.06] 至少
[761.06-762.60] 两三个
[762.60-763.88] 客户
[763.88-765.92] 多个产品来进行
[765.92-771.30] 他们进行这样的一个等于可以绑定未来的一个投入
[771.30-772.58] 这是我们今年
[772.58-774.12] 预期有这样的一个
[774.68-777.50] 收入可以贡献到我们的虽然只是一个研发
[777.50-780.06] 但还没有上市他们也会对我们的一个
[780.06-781.34] 今年的一个
[781.34-782.88] 收入有帮助
[782.88-784.66] 这是主要的未来展望
[784.66-786.46] 下一页就是我们的简单的缩写
[786.46-788.50] 让大家参考一下
[788.50-791.58] 那今天的那个就我们公司原先的部分
[791.58-793.62] 我们就说明到这
[793.62-797.20] 再请各位投资先进看看有什么样的问题
[797.20-798.48] 可以再做
[798.48-801.30] 进一步的说明
[801.30-803.60] 谢谢陈副总的简报
[803.60-804.64] 那接下来我们就来看我们的新的项目了
[804.68-809.04] 开放意见交流时间线上投资先进如果有几乎的问题想要提出
[809.04-810.82] 跟管理层这边做讨论
[810.82-812.10] 您可以直接
[812.10-816.46] 接触基因提出您的问题谢谢
[834.68-839.80] 请问一下那个鱼油原料的部分
[839.80-843.90] 我们市场上可以有任何的
[843.90-846.72] 描述或期待吗还是说
[846.72-849.28] 大概就维持目前的状况
[849.28-851.84] 谢谢
[851.84-853.88] 对这个目前我们
[853.88-858.24] 正在谈一张新的一个订单
[858.24-863.36] 我们其实每一回其实当然都会有介绍到这样产品的一个状况
[863.36-864.38] 那大家其实从
[864.38-868.22] 财报还有我们先前的说明应该也了解到现在这个
[868.22-872.06] 状况是比较低迷就是说相对于那个最高峰来讲
[872.06-872.82] 因为这个
[872.82-876.66] 产品到尤其是到这个去年的时候他的那个
[876.66-880.00] 就是衰退算是最大的衰退他也影响到我们
[880.00-881.02] 甚至在
[881.02-885.88] 美国原来市场的占比就是说我本来美国是占我们市场
[885.88-886.90] 我们的营收有
[886.90-888.18] 成以上
[888.18-889.72] 去年因为这样的
[889.72-894.34] 的一个衰退单一产品的衰退他就下滑了那的确是在这个
[894.38-902.06] 市场的方面在包括价格跟量的方面都不如原现在最高峰的一个时期
[902.06-907.44] 那至于要在什么样的我们今天到现在为止也都还持续在
[907.44-912.04] 旧的订单都还持续在出货了但是比起原先的话是
[912.04-914.10] 是量就会减少很多
[914.10-916.66] 那我们现在是正在跟客户
[916.66-918.96] 去谈一个新的订单
[918.96-924.34] 那当然我们预期在这个可能很快我们就会知道结果但是我们今天在这边还不太
[924.38-926.68] 有办法去说明说他的一个
[926.68-931.04] 大小或者是怎么样但是这个如果成功的话
[931.04-937.18] 我们的那个那个就是说在这样的量等等都还可以维持一个基本的量
[937.18-940.50] 那我也必须说明这个在去年我们遇到了
[940.50-942.82] 很多的挑战包括我已经
[942.82-947.16] 先前也都报告过包括上游的那个油的原料
[947.16-947.94] 他在
[947.94-950.24] 这先讲上游啦上游这个
[950.24-951.00] 鱼料的
[951.00-954.34] 鱼油的原料部分看起来是目前这个季度来看是
[954.34-960.48] 还是比较缓解就是说去去年那时候因为原料上涨啊还有这些缺货的问题
[960.48-963.04] 相对其实就是比较减缓
[963.04-967.14] 那现在下游来看的话我们的客人来说他其实
[967.14-970.98] 市占率都还算是能够维持只是大家如果只看
[970.98-972.26] 出货的这种
[972.26-976.36] 以我们自己来看那个量来讲他是减少但是
[976.36-982.76] 他能够维持是说他其实一直来说他每年的销售的量并没有太大变化只是他
[982.76-984.30] 先前可能是付准了
[984.34-988.70] 拿的比较多去年变成是一个下跌的一个那个去化期
[988.70-989.46] 就是
[989.46-990.74] 最拿的量都
[990.74-993.04] 减少很多所以这是一个
[993.04-995.86] 最主要的一个变化所以我们预期今年
[995.86-998.68] 这个状况之下如果有新订单的话
[998.68-1002.78] 就是说是可能是可以以出货量来说可能会比
[1002.78-1003.80] 去年再
[1003.80-1007.38] 好一些但是我刚才讲说因为包括到我们现在
[1007.38-1010.20] 其实在也是蛮辛苦的是在
[1010.20-1014.30] 谈论这个跟客人要谈新订单是一个价格问题啦所以这两个
[1014.34-1018.70] 变数来讲还没办法预期说是
[1018.70-1024.84] 他的那个贡献可以多大我们只知道说是没办法回到最高峰的那样的时候
[1024.84-1025.86] 那这个
[1025.86-1027.90] 部分大概是这样的一个情形
[1028.42-1029.96] 就是说这个客人跟
[1030.22-1032.26] 这个市场都还在但是他的
[1032.78-1034.30] 量其实来说他并没有
[1034.56-1040.70] 减少但是我们现在就是说他去年这样少是因为说他那个一些付存啊那现在他这个量看起来
[1040.96-1041.48] 是
[1041.74-1044.30] 可以回复但是他现在的
[1044.34-1047.16] 价格要求又期待了因为现在那个
[1047.42-1052.78] 那个上游原料的价格也下滑了嘛所以他们现在期待的也是一个非常
[1053.04-1058.42] 非常有竞争力的一个价格啦所以这个部分还在跟客户在谈
[1058.94-1060.46] 那这个希望说是这个
[1060.72-1061.50] 产品是在
[1061.74-1067.90] 今年是持续我们延续在市场上的一个原签的这样的一个地位那第二家
[1068.14-1074.30] 客户他相对来讲的量比较小所以我们这边也不说明他就是说他持续我们现在有在
[1074.54-1079.46] 出货给他但是他的量并不是相对来讲并不是那么样的大大概是这样这两家的
[1079.72-1081.76] 市占来讲都没有衰退
[1082.02-1088.16] 比较主要的客户他量还有在市场的占有率来讲还有增加然后你也了解到
[1088.42-1089.44] 他并没有
[1089.70-1094.06] 采用我们竞争者还是愿意跟我们购买所以我们的产品是有
[1094.30-1095.34] 还是有竞争力的
[1096.86-1097.64] 好谢谢
[1101.98-1104.30] 谢谢副总那先生有一位投资先生
[1104.60-1109.20] 想要询问公司在EPAE客户的库存状况
[1112.02-1113.04] 刚才
[1113.56-1119.70] 也说明了他去年的库存比较高但他最近应该是去化的觉得
[1119.96-1123.80] 看到可以需要补货的时候所以我们现在正在跟他
[1124.06-1125.58] 议定下一张订单
[1134.34-1135.62] 他想说
[1136.14-1136.90] 几位​
[1137.42-1138.18] 厂贷
[1141.00-1145.10] 等
[1156.10-1156.62] site
[1158.66-1161.52] 聊天室
[1161.74-1164.30] 看得见吗
[1164.34-1166.92] 这边有一位客户提问
[1166.92-1170.84] 就是关于公司去年第四季的存货9.6亿
[1170.84-1174.04] 那好像目前还是比较高的水准
[1174.04-1175.12] 那原因是什么
[1175.12-1177.88] 那目前是否有高价库存的情况
[1177.88-1180.42] 那是不是有改善的趋势
[1180.42-1185.04] 第三个问题是什么
[1189.94-1193.22] 是问说目前以目前来看的话
[1193.22-1195.98] 是不是公司还是有高价库存的情况
[1195.98-1199.42] 那是不是接下来会有改善的一个情况
[1199.42-1205.84] 如果持续在进便宜的原料
[1205.84-1207.46] 当然会降低成本
[1207.46-1210.04] 但是我们现在是比较注意去控管
[1210.04-1213.84] 可能在客人敲下这张订单之前
[1213.84-1215.90] 我们不会再去增加库存
[1215.90-1218.74] 反而是要把这些库存去去化
[1218.74-1219.90] 这也是我们今年一个
[1219.90-1222.02] 也是重要的一个工作
[1222.02-1225.22] 那高价来讲
[1225.22-1229.12] 其实相对于去年更高峰来讲
[1229.12-1230.42] 我们的成本不算高
[1230.42-1232.40] 可是如果再一路跌下去
[1232.40-1234.92] 可能相对市场的成本也许是高
[1234.92-1239.74] 这个我们还在观测市场的一个上游的一个变化
[1252.02-1265.02] ame
[1265.42-1266.92] 这是一个相对性的 developing
[1266.92-1269.84] 所以说家里会做这个
[1269.84-1271.88] 无论 diplomat 姐姐
[1271.88-1275.88] 都会有自己的一个卑微的 audStudio
[1275.88-1277.90] 今天的讲 Olive
[1277.90-1279.76] 乐器
[1279.76-1280.90] 和这些东西
[1280.90-1281.86] 老实 economic
[1282.02-1305.04] 各位先進還有其他方面的問題
[1312.02-1321.02] 請大家把握時間,慧總和陳副總都在線上
[1342.02-1353.66] 目前聊天室也沒有新的提問
[1353.66-1360.90] 在會議結束前,是不是公司這邊還有其他要補充的部分想跟投資人在這邊再分享
[1360.90-1367.02] 我們因應到今年的一個挑戰
[1367.02-1371.02] 除了說漁遊的衰退
[1371.02-1372.02] 要進行
[1372.02-1375.16] 去爭取在剛才談到的新訂單之外
[1375.16-1379.40] 我們也有一些比較大的一個帶動案在談
[1379.40-1383.20] 可以在適時的去做我們產能
[1383.20-1385.86] 因為主要在產能方面
[1385.86-1387.36] 我們的家中也很重要
[1387.36-1389.90] 所以我們有一些別的一些方案來
[1389.90-1391.40] 但這個當然我們這個細節
[1391.40-1394.18] 我們今天沒辦法在這個地方去說明
[1394.18-1402.02] 這個地方是我們在今年整體來看一個也是蠻重要的一個可以改善的
[1402.02-1404.02] 這個獲利的一個可能性
[1404.02-1405.62] 那我就做這樣的補充
[1405.62-1406.42] 謝謝各位
[1406.42-1409.10] 謝謝副總
[1409.10-1413.96] 那今天的我們中化生的線上法學會就到這邊告個段落
[1413.96-1416.06] 那謝謝公司經營團隊的參加
[1416.06-1417.86] 也是一個跟我們投資先進的參與
[1417.86-1418.40] 謝謝
[1418.40-1420.04] 謝謝你
[1420.04-1420.64] 謝謝
