[0.00-4.18] 各位线上的先进
[408.98-409.98] 蔷越
[409.98-410.98] 比如 concerned
[410.98-411.98] 比如说
[411.98-412.98] 飞ek
[412.98-413.98] 基本 technical
[413.98-416.46] Make Tomorrow Easier Today
[416.46-419.50] 代表我们持续专注发展AI云端
[419.50-420.96] 今年三月的时候
[420.96-422.92] 我们公司参加了日本安防展
[422.92-424.54] 四月参加了全国
[424.54-425.90] 取得国有模最大的
[425.90-428.36] 美西安全科技展ISC West
[428.36-429.98] 我们都聚焦在展示
[429.98-432.16] AI云端平台Vortex的整合
[432.16-434.88] 强化客户营运的效率
[434.88-437.08] 展会期间获得高度的关注
[437.08-441.30] 在推广品牌形象的部分
[441.30-443.64] 首先来分享的是
[443.64-446.48] 比利时运动学校的案例
[446.48-447.50] 比利时运动学校
[447.50-450.10] 导入经费通讯AI解决方案
[450.10-451.24] 部件AI摄影机
[451.24-452.76] 运用先进影像技术
[452.76-454.06] 及时分析与侦测
[454.06-455.88] 可以迅速的辨识
[455.88-457.06] 闯入的不明人员
[457.06-458.96] 全面来保障校园安全
[458.96-461.06] 守护师生安心的教学环境
[461.06-466.40] 下一个部分是皇家博物馆
[466.40-467.30] 它位于巴西
[467.30-468.38] 巴西皇家博物馆
[468.38-470.24] 导入经费通讯AI解决方案
[470.24-473.14] 透过游客的流量
[473.14-475.90] 管控智慧监控的功能
[475.90-476.94] 确保博物馆内
[476.94-479.72] 超过30万件历史文物的保存
[479.72-482.66] 并提升博物馆的营运的效率
[482.66-488.88] 再来发展全线AI产品
[488.88-492.02] 云端及安防产品的部分
[492.02-493.98] 主要的部分跟各位分享
[493.98-494.98] 跟各位先进分享
[494.98-496.32] 是我们在美国建立了
[496.32-497.24] 全球设计中心
[497.24-499.52] 主要是为了更深入了解市场需求
[499.52-500.88] 优化使用者体验
[500.88-503.10] 经过重新在世界科技的重镇
[503.14-505.12] 美国矽谷打造全球设计中心
[505.12-507.66] 聚焦在AI与云端的产品设计
[507.66-509.98] 推广更多符合客户需求的产品
[509.98-511.62] 并且来建立更强大的
[511.62-513.62] AI安防生态系统
[513.62-515.30] 与合作伙伴的关系
[515.30-518.82] 在智力永续品牌的部分
[518.82-521.76] 经费通讯智力ESG永续发展
[521.76-523.48] 在社会面连续四年
[523.48-526.32] 举办唯一业界的安全地图活动
[526.32-529.34] 前往花莲大城新村
[529.34-531.60] 运用安防专业改善环境安全
[531.60-532.72] 会超过
[533.14-535.02] 3000名的居民以及游客
[535.02-537.64] 打造安心的生活与观光体验
[537.64-540.20] 在环境面2024年成功
[540.20-543.16] 较基准年减少了9%的碳盘放
[543.16-546.52] 展现减碳承诺与成效
[546.52-548.92] 并以2030年为100%
[548.92-552.02] 使用再生能源RE100为目标
[552.02-556.90] 展现减碳的成效与承诺
[556.90-558.02] 再一个是跟各位分享
[558.02-559.94] 近期重要的事件的摘要
[559.94-561.70] 主要是在Q1的部分
[561.70-562.54] 第一个部分是
[562.54-563.14] 免电的强势
[563.14-564.80] 甚至经约通讯盘点泰国产线
[564.80-565.60] 未受影响
[565.60-567.84] 第二个部分是智慧安防
[567.84-568.82] 云端系统Vortex
[568.82-570.64] 今年开始跨足欧洲市场
[570.64-572.14] 持续来全球布局
[572.14-572.86] 第三
[572.86-574.32] 因应对等关税
[574.32-576.36] 经约通讯密切关注国际政策
[576.36-577.44] 与税制的变化
[577.44-578.74] 配合政府施政
[578.74-580.06] 三用集团的资源
[580.06-581.30] 适时动态调整
[581.30-582.04] 营运策略
[582.04-584.24] 这是以上近期事件的一个摘要
[584.24-587.98] 谢谢发言人的说明
[587.98-590.20] 现在进入问答环节
[590.20-593.10] 我们开放五分钟的提问时间
[593.14-596.18] 请各位贵宾在画面右下角的
[596.18-597.54] 线上提问栏位
[597.54-599.72] 输入您的单位及姓名
[599.72-601.78] 我们将会统一回复
[601.78-602.38] 谢谢
[602.38-612.50] 现在开始回复各位的提问
[612.50-614.80] 第一个问题是关于
[614.80-617.44] 今年度接下来的展望为何
[617.44-620.28] 这个问题请总经理为我们说明
[620.28-622.68] 各位亲戚大家好
[622.68-622.78] 好
[623.14-625.14] 我们今天要来谈谈
[625.14-626.14] 我们今年策略展开
[626.14-630.14] 主要还是围绕着云还有AI
[630.14-631.14] 在云的部分
[631.14-635.14] 我们主要在推广混合云的Vortex
[635.14-638.14] 这也是兼顾我们的客户
[638.14-643.14] 他们能够加速他们从前端的
[643.14-645.14] 在地的平台的系统
[645.14-647.14] 然后快速升级到云服务
[647.14-650.14] 这样一个时代性的潮流
[650.14-652.14] 除了混合云的Vortex之外
[652.14-653.14] 我们也有一个新的项目
[653.14-659.14] 我们也推出具有视觉语言模型的新功能
[659.14-663.14] 将一个VOM导入到我们既有AGE AI的产品上面
[663.14-667.14] 并加速串联通路和技术策略伙伴
[667.14-672.14] 所以我们针对云还有AI这样的一个未来
[672.14-674.14] 我们看好视况的发展
[674.14-677.14] 接下来这个问题提到
[677.14-682.14] 公司看好各区域市场成长动能的排序为何
[682.14-684.14] 请总经理为我们说明
[684.14-690.14] 晶圆通讯最主要的市场还是在北美
[690.14-695.14] 在外部份包括亚太、欧洲、拉美等市场
[695.14-697.14] 都充满了发展的潜力
[697.14-701.14] 这些区域致力发展智慧城市、智慧交通
[701.14-705.14] 还有在供应链任性上面的智慧工厂
[705.14-708.14] 在各地部署的这些领域
[708.14-710.14] 跟晶圆通讯重视的垂直市场布局、部门
[710.14-711.14] 和设计的设施上
[711.14-713.14] 布局、部门和设计的设施上
[713.14-716.14] 下一个问题是有关
[716.14-720.14] 美国客户是否因关税政策而提前拉货
[720.14-723.14] 或是有下半年订单减少的情形
[723.14-726.14] 这个问题请总经理为我们说明
[726.14-732.14] 在第二季确实客人有较明显的拉货需求
[732.14-736.14] 晶圆通讯会持续调整产能因应
[736.14-739.14] 确保供应链跟出货节奏的顺畅运行
[739.14-740.14] 确保供应链跟出货节奏的顺畅运行
[740.14-745.14] 当然这会牵涉到我们后端物料还有产能的操作
[745.14-750.14] 在未来我们将持续聚焦AI跟云端技术的发展
[750.14-756.14] 透过创新研发来全力满足市场需求与客户的要求
[756.14-760.14] 这些也是因应我们在后台
[760.14-764.14] 尤其软体跟运服务上面的一个着力
[764.14-767.14] 希望能够在未来降低
[767.14-769.14] 在应急销售上面
[769.14-772.14] 受到关税的冲击
[772.14-779.14] 下一个问题是有关公司在泰国、越南、台湾的产能比例为何
[779.14-782.14] 这个问题请总经理为我们回答
[782.14-784.14] 针对营运韧性
[784.14-787.14] 我们在产能的规划上面
[787.14-792.14] 目前的目标是台湾大约占60%
[792.14-794.14] 在海外大概占40%
[794.14-797.14] 但目前都还是照着计划
[797.14-798.14] 在台湾的产能比例为何呢?
[799.14-802.14] 我们的目标是在很多领域的程序中进行中
[802.14-805.14] 下一个问题是有关公司对于美国生产的规划为何
[805.14-811.14] 或在其他低关税区域会是否会设立产线
[811.14-813.14] 这个问题请总经理为我们回答
[813.14-816.14] 针对我们最大的美国市场
[816.14-824.14] 要在地生产其实成本跟这个IT产业一样
[824.14-827.14] 其实不会有比较大的好处
[827.14-831.18] 而且在地生产的成本也不见得有利
[831.18-835.70] 所以在目前我们有这样的一个相对的成本难度
[835.70-839.38] 我们目前还没有这样的一个规划
[839.38-841.60] 不过我们不排除未来
[841.60-845.12] 针对客人的需求来做一个弹性的因应
[845.12-846.94] 就算有这样的计划
[846.94-850.20] 也会善用集团的资源来满足客户的需求
[850.20-853.70] 谢谢总经理为我们解答
[853.70-856.48] 我们已陆续收到各位的提问
[856.48-859.36] 将会于五分钟后统一回复
[859.36-859.94] 谢谢
[859.94-866.62] 现在开始回复各位的提问
[866.62-869.22] 接下来有先进问到
[869.22-872.60] 美国产品目前是由哪几个厂出货
[872.60-875.44] 这个问题请总经理为我们说明
[877.28-881.62] 目前美国产品由我们三个生产的地点
[881.62-884.76] 台湾、越南、泰国都有出货
[884.76-886.46] 至于分别
[886.48-892.40] 分配的比重是因应客户的需求来进行轮动调整
[892.40-896.66] 再一个问题是有关正在出货到美国的产品
[896.66-900.36] 10%的关税部分都是由客户负担吗
[900.36-904.48] 这个问题请总经理为我们说明
[904.48-908.04] 我们主要的销售在海外市场
[908.04-916.08] 那也在代工部分都是以FOB的台湾报价不受影响
[916.08-920.04] 至于在全球各地的销售的品牌产品
[920.04-923.28] 那目前我们还是维持既有的毛利
[923.28-928.26] 所以会针对售价部分做动态的调整
[928.26-930.88] 未来我们会持续观察政策
[930.88-936.10] 还有市场趋势的走向来做快速的影响
[936.10-938.18] 接下来这个问题提到
[938.18-942.60] 关税对于公司的毛利率获利影响多少
[942.60-944.76] 这个问题请总经理为我们说明
[946.08-949.66] 今天通讯如排除在符合原产地的条件下
[949.66-951.58] 适时调整供应链结构
[951.58-956.12] 让公司产品能以具竞争力的税负行销到美国
[956.12-957.92] 还有其他国家
[957.92-961.32] 目前我们的目标是维持毛利
[961.32-963.18] 至于关税的影响
[963.18-967.00] 目前因为在这个政策调整之下
[967.00-968.08] 目前影响有限
[968.08-973.36] 下一个问题是有关台币近期升值
[973.36-975.84] 请问台币升值10%
[975.84-976.06] 对于公司的毛利率获利影响是多少
[976.08-977.08] 这个问题请总经理为我们说明
[977.08-978.08] 汇率波动影响层面很广泛
[978.08-979.08] 甚至在中央政策的调整之下
[979.08-980.08] 其实涉及不同的区域还有场区布局等状态
[980.08-981.08] 整个影响其实没有那么大
[981.08-982.08] 在台湾的IT产业代工产业上面
[982.08-983.08] 其实我们碰到的状况都差不多
[983.08-984.08] 对毛利获利影响是很大的
[984.08-985.08] 其实我们在台湾的IT产业代工产业上面
[985.08-986.08] 其实我们碰到的状况都差不多
[986.08-987.08] 对毛利获利影响是很大的
[987.08-988.08] 其实我们碰到的状况都差不多
[988.08-989.08] 对毛利获利影响是很大的
[989.08-990.08] 其实我们碰到的状况都差不多
[990.08-996.90] 对毛利获利影响是很大的
[996.90-1002.60] 那个我们会持续依据实际业务情况
[1002.60-1008.06] 还有市场变化来进行风险评估
[1008.06-1015.58] 目前我们的汇率主要还是自然避 mówią
[1015.58-1017.56] 对毛利机旗 goal 的乐趣
[1017.56-1019.36] LA persistance过уш于不带
[1019.36-1019.80] 生活
[1019.80-1019.92] 可以选择
[1019.92-1019.98] C.
[1019.98-1020.06] 3éd
[1020.06-1024.90] 避险策略来稳定我们的营运成果跟财务的表现
[1024.90-1031.52] 下一个问题是有关第一季财报中的合约负债增加不少
[1031.52-1033.98] 请问产品的方向为何
[1033.98-1036.50] 以及是哪个国家客户的影响
[1036.50-1039.20] 这个问题请总经理为我们说明
[1039.20-1041.26] 谢谢千金的指导
[1041.26-1046.12] 在这部分主要是我们的赚收款项
[1046.12-1048.60] 包含客户的预付款
[1048.60-1051.18] 还有在Vortex的订阅收入
[1051.18-1053.78] 那这也呈现在物料的部分
[1053.78-1056.62] 我们跟客户之间密切的合作
[1056.62-1063.10] 所以会降低我们在物料库存的这些的资金成本
[1063.10-1066.00] 那在过去也有类似金额的增减
[1066.00-1068.48] 大致来说没有异常的状况
[1068.48-1071.88] 谢谢总经理为我们解答
[1071.88-1074.76] 我们已陆续收到各位的提问
[1074.76-1077.62] 将会于五分钟后统一回复
[1077.62-1078.14] 谢谢
[1078.14-1078.58] 谢谢
[1078.58-1085.80] 现在开始回复各位的提问
[1085.80-1087.68] 有先进问到
[1087.68-1090.40] 请问五月份要调涨售价
[1090.40-1093.76] 目前的规划如何有明确的涨幅吗
[1093.76-1096.84] 请问客户及市场接受度为何
[1096.84-1099.60] 这个问题请总经理为我们回答
[1099.60-1103.22] 针对调涨售价部分
[1103.22-1106.26] 我们目标还是要维持我们的毛利
[1106.26-1108.56] 至于我们提出的费用
[1108.58-1110.86] 现在具体实施的方式
[1110.86-1115.14] 这个都是看各地的状况
[1115.14-1117.04] 还有我们的通路客户
[1117.04-1119.46] 来做动态的调整
[1119.46-1122.82] 至于客户目前接受度都没有什么问题
[1122.82-1124.34] 这都有充分的沟通
[1124.34-1125.74] 客户也相当的理解
[1125.74-1130.80] 目前关税政策造成的改变
[1130.80-1134.86] 下一个问题是有关最近台币汇率变动
[1134.86-1135.58] 请问美升值议员对你们的营收获利的改变是什么样的问题
[1135.58-1136.58] 请问美升值议员对你们的营收获利的改变是什么样的问题
[1136.58-1137.08] 请问美升值议员对你们的营收获利的改变是什么样的问题
[1137.08-1140.26] 请问美升值议员对你们的营收获利的改变是什么样的问题
[1140.26-1144.66] 这个问题请总经理为我们回答
[1144.66-1147.20] 刚刚有跟各位先进解释过
[1147.20-1150.16] 目前我们在汇率操作还是自然避险
[1150.16-1152.00] 在整体环境下
[1152.00-1157.80] 我相信大家也看到汇率变化相当的不稳定
[1157.80-1160.76] 所以我们目前其实实际上
[1160.76-1164.12] 尤其以季报来看影响没有那么的大
[1164.12-1165.12] 至于目前营收获利的变化
[1165.12-1167.06] 至于目前营收获利的变化
[1167.06-1170.06] 就还是在掌握之内
[1170.06-1171.06] 就还是在掌握之内
[1171.06-1174.06] 接下来是有关
[1174.06-1179.06] 请问目前各国营收占比大约是什么比例
[1179.06-1181.06] 请总经理为我们说明
[1181.06-1187.06] 目前在我们区域营收的贡献上面变化不大
[1187.06-1191.06] 主要在美加就是北美的部分
[1191.06-1193.06] 大概占了六成
[1193.06-1195.06] 其他区域大概占了四成
[1195.06-1197.06] 在最近的营收的贡献上
[1197.06-1198.06] 尤其是第一季
[1198.06-1204.06] 我们在亚太区包括日本印度都有相当显著的成长
[1204.06-1215.06] 在我们双市业代工跟品牌营运的营收比重
[1215.06-1221.06] 也没有什么太大的变化
[1221.06-1226.06] 目前代工对比于品牌大概是65%比例
[1226.06-1229.06] 现在是35%比30%
[1229.06-1232.06] 下一个问题提到
[1232.06-1237.06] 请问目前软体营收公司占比大概多少
[1237.06-1240.06] 这个问题请总经理为我们说明
[1240.06-1245.06] 我们在去年第四季跟今年的第一季
[1245.06-1248.06] 在后端的监控管理软体
[1248.06-1254.06] 还有目前我们大力推广的混合云Vortex云服务
[1254.06-1255.06] 目前的占比都有15%
[1255.06-1258.06] 在前一阵子的占比都有在提升当中
[1258.06-1264.06] 尤其Vortex目前连线数跟去年同期相比大概增加了五倍
[1264.06-1269.06] 所以是目前不管是研发或者部分产品推出
[1269.06-1274.06] 或是在通路的推广方面都有显著的成长
[1274.06-1277.06] 谢谢总经理为我们解答
[1277.06-1280.06] 我们已陆续收到各位的提问
[1280.06-1283.06] 将会于五分钟后统一回复
[1283.06-1284.06] 谢谢
[1285.06-1288.06] 现在我们将进行最后一轮问题的回复
[1288.06-1292.06] 接下来有先进问到
[1292.06-1296.06] 请问成立北美设计中心主要的目的是什么
[1296.06-1299.06] 会有什么实质影响吗
[1299.06-1303.06] 这个问题请发言人为我们说明
[1303.06-1308.06] 谢谢Maiti各位先进提问
[1308.06-1309.06] 关于这一题的话
[1309.06-1311.06] 我们主要是在考量北美市场
[1311.06-1313.06] 是无尽锐通讯的营销重心
[1313.06-1315.06] 它也有很多信息的原因
[1315.06-1317.04] 具有无可取代的战略地位
[1317.04-1319.74] 所以我们为了要更贴近科物的需求
[1319.74-1321.88] 我们决定设立全球设计中心
[1321.88-1324.30] 和台湾的总部互相协作
[1324.30-1325.62] 这样我们可以不间断地
[1325.62-1326.80] 持续专注在AI
[1326.80-1328.80] 与云端产品的设计体验
[1328.80-1329.16] 谢谢
[1329.16-1331.84] 下一个问题是有关
[1331.84-1334.68] 2025年营运展望为何
[1334.68-1338.30] 这部分请发言人为我们说明
[1338.30-1340.30] 经约通讯以品牌
[1340.30-1342.46] 与代工事业双向发展
[1342.46-1344.12] 公司的长期目标是
[1344.12-1346.62] 这两个事业群比重是5比5
[1346.62-1347.94] 我们会持续看好
[1347.94-1350.66] 边缘运算与AI的发展持续推进
[1350.66-1353.04] 并预见各国在智慧城市领域中
[1353.04-1354.60] 会有更进一步的发展
[1354.60-1357.24] 这将会是安防产业重要的发展舞台
[1357.24-1359.02] 对于后续营收成长
[1359.02-1359.74] 深深乐观
[1359.74-1360.24] 谢谢
[1360.24-1363.12] 下一个问题是有关
[1363.12-1365.26] 公司营业费用估算
[1365.26-1367.16] 是用绝对金额
[1367.16-1369.10] 还是用费用率估算
[1369.10-1370.10] 会比较合理
[1370.10-1372.84] 这个问题请总经理为我们说明
[1374.12-1379.62] 对这位先进的问题
[1379.62-1382.20] 这边我试着回答
[1382.20-1386.88] 在我们每个月每季的营业费用的估算上面
[1386.88-1391.44] 那我们目前为了守住我们的毛利跟净利
[1391.44-1393.88] 所以我们是用费用率来估算
[1393.88-1396.50] 但是实务上我们会控制
[1396.50-1400.82] 会省省的控制每笔费用的发生
[1400.82-1402.28] 跟它的目的
[1402.28-1404.06] 所以在整个营业费用
[1404.12-1405.40] 营业费用上面
[1405.40-1406.92] 对于我们目前
[1406.92-1411.86] 整个不确定的产业发展跟经济状况
[1411.86-1414.74] 我们还是会省省来控管
[1414.74-1418.54] 接下来这个问题提到
[1418.54-1421.50] 目前代工品牌营运模式
[1421.50-1424.46] 未来几年的规划与看法如何
[1424.46-1427.50] 这个问题请总经理为我们说明
[1429.66-1433.96] 分别就两大事业来做解释
[1434.12-1435.74] 在代工的部分
[1435.74-1438.92] 我们正面看待整体试矿的发展
[1438.92-1443.08] 我会善用我们在技术上的竞争力
[1443.08-1446.92] 针对不同的开发平台还有应用
[1446.92-1451.28] 来持续专注AI与云端技术的研发
[1451.28-1452.96] 满足客户的需求
[1452.96-1456.04] 来找寻最大的商机
[1456.04-1457.92] 至于品牌的部分
[1457.92-1461.74] 随着AI摄影机新产品的陆续上市
[1461.74-1463.92] 还有云端平台Vortex及其他产品的进步
[1464.12-1467.20] 将推出结合视觉语言模型
[1467.20-1469.54] 也就是VLM的新功能
[1469.54-1471.42] 来加速串联通路
[1471.42-1473.62] 还有技术策略伙伴
[1473.62-1476.28] 看好未来的试矿的发展
[1477.66-1482.24] 下一个问题是有关公司产能配置为何
[1482.24-1485.20] 怎么看最大营收的未来发展
[1485.20-1487.78] 这个问题请总经理为我们回答
[1489.50-1490.82] 谢谢先生的提问
[1490.82-1493.16] 在之前产能的配置上面
[1493.16-1493.74] 跟各位先生报告之后
[1493.74-1495.54] 我们也曾经报告过
[1495.54-1499.36] 我们今年的产能规划是台湾60%
[1499.36-1500.90] 台湾40%
[1500.90-1505.32] 这部分产能的配置实务上面
[1505.32-1508.90] 会根据客户的需求来做动态的调整
[1508.90-1514.74] 至于在未来最大的营收会如何发展
[1514.74-1516.58] 其实我们还是正面看待
[1516.58-1519.28] 刚刚也提到在国内外
[1519.28-1521.78] 这些产能的配置上面
[1521.78-1523.08] 我们会根据需求来做调整之外
[1523.08-1523.62] 我们会根据需求来做调整之外
[1523.74-1525.54] 那也跟各位先进报告
[1525.54-1530.62] 在我们持续精进我们的运营管理之后
[1530.62-1533.70] 我目前在海外部件产线
[1533.70-1537.04] 都有把握在一季之内就进入量产
[1539.70-1542.24] 下一个问题有先进问到
[1542.24-1546.82] 请问政府将安控列为五大重点产业之一
[1546.82-1550.24] 目前这样的发展目标有什么实质影响
[1550.24-1552.66] 或利于公司的部分吗
[1552.66-1553.58] 这个问题请发言人发表一下
[1553.58-1555.38] 发言人为我们说明
[1555.38-1557.16] 谢谢先进提问
[1557.16-1561.20] 由于金锐通信的全线产品皆非中国制造
[1561.20-1565.04] 因此我们会积极配合政府对于五大重点产业的规划
[1565.04-1566.96] 我们非常乐见未来的发展
[1566.96-1569.08] 谢谢
[1569.08-1570.88] 下一个问题是有关
[1570.88-1574.88] 能否将软体视为恒序性的营收
[1574.88-1579.04] 这个问题请总经理为我们回答
[1579.04-1580.92] 谢谢先进的提问
[1580.92-1583.46] 刚刚有跟各位先进报告我们有提到说
[1583.46-1589.96] 我们不管是技术产品服务都会结合我们两大发展方向
[1589.96-1592.96] 就是AI跟云
[1592.96-1600.96] 这两个技术的发展其实也是为了强化我们在软体上面的使用者体验
[1600.96-1605.22] 所以在订阅式服务的Vortex
[1605.22-1612.38] 只要我们能够留住客户降低客户流失的比例
[1612.38-1613.34] 其实这就会是我们的一个目标
[1613.34-1615.34] 就是我们的一个目标
[1615.34-1618.34] 我们的一个目标会是持续性的营收
[1618.34-1625.84] 也就是一个我们最想要留住客户的产品跟服务
[1625.84-1629.34] 至于我们的后台
[1629.34-1632.34] 我们的监控软体 中控软体
[1632.34-1637.34] 其实也是想要利用我们结合前端AI的摄影机
[1637.34-1641.34] 将来增强我们使用者的对AI的体验
[1641.34-1643.34] 来留住客户
[1643.34-1649.34] 所以是的 我们就是将软体视为一个横序性的营收
[1649.34-1655.34] 这来自于精锐的产品跟服务带给客户最佳的体验
[1655.34-1660.34] 谢谢总经理及发言人为我们解答
[1660.34-1663.34] 我们线上Q&A进行到这边
[1663.34-1667.34] 今天举行的精锐通讯法人说明会到此告一段落
[1667.34-1669.34] 谢谢各位的参与
[1669.34-1672.34] 如果各位先进还有任何其他问题
[1672.34-1676.34] 欢迎透过精锐通讯的投资人信箱与我们联系
[1676.34-1678.34] 我们会尽快回复
[1678.34-1683.34] 法说会重播以及简报内容将在会议结束后更新到
[1683.34-1687.34] 精锐通讯官网的投资人服务专区
