[0.00-4.00] 好了可以开始了谢谢
[638.10-640.92] 那第二个是我们的湿巾类别的
[641.18-643.98] 产品他占了大概有21%
[648.34-654.22] 我们可以看得到整个股利发放的一个情况我们在去年
[655.30-658.12] 2014年在发放2023年的股利
[658.38-660.42] 我们是发放了0.3
[660.68-661.96] 每股0.3
[662.22-668.36] 那2024年我们在2月份就在上个月经过董事会这边
[668.62-669.38] 有公告
[669.90-671.94] 那个董事会的决议
[672.20-674.76] 我们因为是亏损
[675.02-680.64] 那么但是也希望能够配合公司的稳定股利的一个政策
[680.90-685.00] 所以我们决定我们分配的股利是现金是0.2
[685.30-686.84] 那这个部分
[687.10-691.96] 事实上相较于去年的股利来讲他是有越来越减少的
[692.46-692.98] 但是
[693.24-699.38] 还是让整个股利发放的一个数额来讲他有一个比较稳定的一个状态
[701.94-707.58] 那目前2025年还在进行的一个重大投资案就是我们刚刚已经谈到的一个
[708.08-709.36] 口聊三期的投资
[709.62-711.42] 17亿这样的一个投资
[711.66-713.46] 那目前这个案子呢
[713.46-719.10] 因为他目前还在设备的一个调试的一个阶段
[719.34-725.50] 那目前的技术团队也开始在做最后的一个试机整合的动作
[725.74-729.34] 那这个投资案目前按照公司的一个计划
[729.84-732.66] 会落在2025年的第3季
[732.92-735.74] 我们会开始有一些
[735.98-737.52] 投产的一个
[737.78-739.82] 活动会开始
[740.08-740.60] 产生
[741.10-741.88] 那
[743.46-746.78] 下一个部分呢
[748.32-751.40] 我们就来谈一谈整个康纳箱的一个未来
[752.42-754.46] 策略的部分
[756.00-762.14] 那我想在未来整个公司的营运策略我们大概还是从四个面向来
[762.66-763.42] 讨论
[763.68-767.26] 那第一个在优化整体的营运成本的部分
[768.80-771.10] 我想公司在这几年会去做了
[771.36-773.16] 一些比较是优化成本的部分
[773.46-780.12] 我们有计划就是把我们现在的一些生产基地
[780.62-782.94] 能够去做一个整并的动作
[783.18-787.80] 那么也让整个的一个管理效能跟生产效能能够提高
[788.30-792.40] 那第二个就是在新产品跟新技术的部分
[792.92-796.76] 尤其是在不支部的这一块
[797.26-800.60] 因为我们刚刚有提到我们在
[800.86-801.36] 这个
[802.64-803.42] 超迁的一块
[803.72-806.02] 一个材料的一个投入
[806.78-810.62] 那么会让整个公司的这一块领域
[810.88-813.96] 从我们原先的一个未来市场
[814.46-819.34] 我们会陆续的走向工业材料的这样的一个领域
[819.84-824.70] 那以目前的这个超迁的这一个材料的一个
[824.96-826.24] 应用面来说
[826.76-828.54] 他除了刚刚提到的
[828.80-830.60] 我们未来的
[831.62-832.38] 部分
[832.64-834.18] 还是会使用之外
[834.68-835.20] 有可能
[835.46-841.60] 甚至于我们会进入到衣着加湿跟电插式的这样的一个领域
[843.14-849.02] 那么第二个是在整个的有限跟绿能产品的这一块
[849.28-855.16] 那因为不支部其实他本来就是一个已经含有环保意识的一个材料
[855.68-856.44] 那公司
[856.96-859.00] 未来会更朝向
[859.26-861.82] 在整个原材料的
[861.82-862.58] 选择
[862.84-866.68] 会更偏向这个友善环境的这个议题里面
[866.94-868.22] 例如说我们在
[868.74-871.04] 可分解可回收的这一个部分
[871.30-872.32] 甚至于是
[872.58-874.62] 全环保的一个素材上
[874.88-877.18] 我们去选用我们自己的材料
[877.44-882.04] 能够让我们自己在整个绿能的这一个比例上
[882.30-883.06] 我们会
[883.32-884.86] 越来越高
[885.12-888.96] 所以这个会是康拉箱未来在整个产品的一个
[889.22-889.98] 推展的一个
[890.24-891.78] 项目里面算是一个分析的一个项目
[892.02-893.36] 非常重要的一个项目
[894.12-898.22] 那相对的在整个开拓新市场跟新事业的部分
[899.76-904.88] 延伸我们刚刚这些所谓的高阶功能性的不支部的一个加入
[905.14-911.28] 相对的我们在整个应用市场也会除了我们原来的未裁市场之外
[911.54-915.62] 我们也会开始朝向刚刚提到的不管是衣着类的
[915.88-921.78] 或者是家事类产品的甚至于是电子插式的这样的一个领域我们会去琢磨
[922.08-924.38] 那也开始在做布局的动作
[924.90-931.30] 那在原来我们的一个布置未裁产品的这个市场里面
[931.54-932.82] 我们除了去
[933.08-935.90] 延伸我们现在的产品
[936.16-938.46] 他有更多元的应用之外
[938.72-944.10] 我们也会去琢磨一些我们目前来看到还是有比较高的人口市场的一些
[944.34-945.62] 市场的开拓
[945.88-946.40] 例如像
[946.66-949.22] 东南亚市场甚至于欧洲市场
[951.14-951.78] 那在整个
[952.08-953.86] 行销策略的部分来讲
[954.12-958.74] 因为我们目前的公司的一个行销的一个
[959.24-964.88] 特色我们除了自由品牌之外我们还是有还是有蛮高比例的一个
[965.14-967.70] 国际专国际代工的业务
[968.20-971.54] 所以在自由品牌这一块怎么样去
[971.78-974.34] 更加深我们的年轻化
[974.86-978.44] 更加深我们的功能性产品的一个推出之外
[978.96-981.00] 在整个代工的这一块跟我们的代工的这一块
[982.08-983.62] 我们的代工客户更加的深耕
[984.12-985.92] 然后甚至于能够去
[987.20-988.22] 更延伸
[988.48-990.02] 透过这些所谓的
[990.26-990.78] 环保
[991.30-993.86] 绿囊等等的这些议题
[994.10-996.92] 跟着客户这一块的成长一起来
[997.18-998.72] 来成长我们的业务
[1002.04-1004.10] 那接下来
[1004.34-1008.96] 大概就是有关永续相关的资料部分
[1009.22-1011.00] 我想在诚信经营这一块是公司
[1011.82-1015.40] 本来就是一个非常核心的一个概念
[1015.66-1017.46] 那么在公司
[1017.70-1023.08] 内化的组织里面怎么样去把诚信经营这一块内化在
[1023.34-1025.14] 每个员工的心中
[1025.64-1030.76] 这个部分事实上公司是非常不遗余力的在进行的
[1032.30-1033.84] 那么ESG
[1034.10-1036.40] 的活动来讲在这
[1036.66-1038.70] 几年尤其是近年来
[1038.96-1041.58] 甚至于是未来的一个
[1041.82-1044.38] 一个发展的一个趋势
[1044.64-1047.20] 因为在这一块康纳箱事实上投入非常
[1047.46-1048.98] 多的一个心力在
[1049.24-1050.02] 进行
[1050.52-1051.04] 那
[1051.30-1054.88] 像有关公司治理的部分也好
[1055.14-1058.20] 或者是永续办公室的一个
[1058.46-1059.74] 成立
[1060.00-1063.58] 然后来推动所有永续环境的一些
[1063.84-1065.38] 诉求也好
[1065.88-1071.26] 甚至于在风险的一个管理里面风险议题里面公司也成立了
[1071.26-1072.80] 公风险办公室
[1073.30-1077.40] 来针对康纳箱未来在这一块的风险的一个变化
[1077.66-1078.68] 然后来
[1078.94-1080.48] 来做一些适当的应应
[1080.74-1085.08] 所以在整个有关这些永续的这些议题上
[1085.34-1089.70] 事实上公司也都一直在努力的进行中
[1090.20-1092.00] 那各位也可以在
[1092.50-1095.58] 今年应该讲今年年初
[1096.10-1099.16] 公司的第1版的永续报告书也已经
[1099.42-1101.22] 揭露在官网公
[1101.52-1103.56] 投资大众去参阅了
[1105.36-1106.12] 那
[1106.64-1107.40] 我想
[1107.66-1113.04] 社会责任这一块康纳箱一直是不遗余力的在进行的
[1113.30-1115.60] 那我们也非常积极的参与各项
[1115.86-1117.14] 公益的活动像
[1117.38-1120.20] 对捐赠一些防疫的用品
[1120.46-1121.22] 带
[1121.48-1122.26] 给
[1122.76-1124.30] 妇女的卫生用品
[1124.56-1126.86] 给台南市的政府
[1127.12-1128.66] 相关的这些学校
[1129.16-1131.22] 甚至于对于弱势的团体的捐赠
[1131.52-1132.80] 我们也都是一直
[1133.06-1135.36] 持续的在进行
[1136.64-1137.92] 那以上
[1139.70-1140.22] 我想
[1140.48-1142.78] 今天的法说会的内容
[1143.04-1144.58] 我们就
[1144.82-1146.62] 先说明到这边
[1147.14-1150.20] 那不知道各位投资先进对以上的内容
[1150.46-1152.00] 有没有问题要提问
[1161.52-1167.66] 各位投资先进如果有任何问题想跟康纳箱交流都可以打开麦克风直接做提问或者是
[1167.92-1168.94] 打在聊天室
[1176.10-1177.90] 第一
[1178.16-1182.50] 金头顾的陈先生有提到几个问题
[1183.02-1185.84] 第一个是今年
[1186.10-1189.68] 哪项产品成长幅度最大
[1190.44-1191.22] 那今年
[1191.52-1194.34] 的不支付销售比重有没有
[1194.58-1195.86] 个目标
[1196.38-1199.20] 例如占营收比例
[1199.46-1200.22] 1%
[1202.02-1204.32] 全年资本支出
[1204.82-1206.10] 合并毛利率
[1206.62-1208.92] 是否还有提升的空间
[1210.72-1212.00] 我想
[1212.50-1216.10] 这边我就先这样子来回答好了
[1216.34-1220.70] 在2025年我想您问的应该是2025年
[1221.26-1226.12] 那在我们2025年的营业的目标里面
[1226.64-1228.68] 我想在
[1229.20-1230.48] 我们的
[1231.24-1234.82] 卫生用品这一类的产品来讲
[1235.08-1238.42] 因为他本来的一个base就是比较大的
[1238.92-1241.74] 所以就一个成长的一个
[1242.26-1243.54] 量能来讲
[1244.04-1250.18] 当然是这个部分我们有设定的比较大的一个目标在这里面
[1251.26-1252.80] 但是除了这个之外
[1253.30-1257.92] 其实刚刚有提到一个机能性就是我们的超千步之步
[1258.42-1262.02] 这个是康纳箱在2025年非常重要
[1262.26-1265.08] 要投入的一个材料
[1265.60-1267.64] 也是一个很重要的产品
[1268.42-1271.48] 那这个部分事实上在我们
[1271.74-1276.86] 这么重要的一个投资的一个项目里面
[1277.12-1279.42] 就我们来讲是一个重要的专案里面
[1279.94-1281.22] 在今年他
[1281.52-1282.02] 会是
[1282.28-1282.80] 我们
[1283.06-1286.12] 管理的一个重心的产品
[1286.64-1290.74] 那虽然他下半他的营业期间
[1290.98-1295.86] 可能只有下半年两个季度的一个期间
[1296.36-1297.14] 但是
[1298.16-1304.30] 这个部分我想在康纳箱的一个重要性来讲我们也是非常重视的
[1304.82-1305.84] 那当然
[1306.10-1310.44] 以整个数字的一个比例来讲他可能不是最大的
[1310.70-1311.22] 但是
[1311.52-1312.28] 他绝对是
[1312.54-1313.56] 有别于
[1313.82-1314.58] 就是过往
[1314.84-1316.38] 他是一个新的材料
[1316.90-1321.76] 所以在整个这一块事实上他会有比较大的一个
[1322.02-1323.04] 目标
[1323.30-1324.06] 的占比
[1324.82-1327.64] 那全年度的资本支出来讲
[1327.90-1330.46] 我们目前在2025年
[1330.72-1332.26] 原则上
[1332.50-1333.02] 是
[1333.28-1333.78] 没有
[1334.30-1338.14] 比较大的资本支出为什么因为我们
[1338.40-1340.18] 比较大的投资案
[1340.44-1341.22] 刚好就在
[1341.52-1342.80] 去年前年
[1343.30-1346.64] 这两年我们已经陆续的去建制
[1346.90-1349.96] 那以目前来讲我们会把
[1350.48-1351.24] 这一个
[1351.50-1355.08] 就是我们刚刚谈到的这个口聊新厂
[1355.34-1356.88] 三期的这一个厂
[1357.38-1359.94] 我们在今年是需要去落地的
[1360.46-1363.28] 所以在这个全公司的
[1363.54-1366.10] 重心的一个管理上来讲
[1366.34-1371.22] 我们会以口聊新厂的完成当作是我们在整个
[1371.52-1373.82] 资本支出管理的一个重点
[1374.84-1375.36] 那
[1375.62-1380.74] 合并毛利率是否能够有提升的空间我想这是必然的
[1381.24-1385.08] 我们在2025年事实上在整个
[1385.34-1386.36] 的一个
[1386.62-1387.90] 运作管理上
[1388.42-1393.28] 我们不管是在业务的拓展或者是成本的一个
[1393.54-1394.30] 金时
[1395.32-1400.70] 那在去年陆续的已经推了非常多的一些专案在作业
[1401.52-1403.30] 也陆续的
[1403.56-1406.12] 有一些新的业绩跟
[1406.64-1407.40] 客户
[1407.66-1408.94] 进到公司来
[1409.20-1413.80] 那所以我们在2025年我们预计的这些合并
[1414.06-1417.14] 不管是业绩也好或者是毛利
[1417.38-1418.66] 利润结构也好
[1419.18-1419.70] 都是
[1421.22-1422.50] 都是相较于
[1422.76-1424.30] 2024年来讲
[1424.56-1426.10] 有一些
[1426.60-1429.42] 提升的一个目标在里面的
[1430.44-1431.22] 那这是我
[1431.52-1434.58] 对陈先生这边问题的一个回复
[1440.22-1442.26] 还有其他的问题吗
[1450.98-1455.06] 那如果没有其他的问题的话
[1455.32-1458.90] 那我们今天的会议就到此结束了
[1461.52-1464.08] 好谢谢吴副总
[1464.34-1468.94] 谢谢各位投资先进的参与那我们今天的会议就到这边告一段落谢谢
[1470.48-1472.26] 谢谢大家谢谢
