[0.16-6.60] 各位投资先进,重福科技股份有限公司线上法人说明会正式开始。
[629.28-632.36] 就是刚刚提到的2475
[632.36-635.32] 每天24小时 一个礼拜7天
[635.32-637.40] 连续5年不关机
[637.40-641.16] 这样子的高规格的耐候产品
[641.16-644.56] 那以及我们有多元应用的触控技术
[644.56-646.64] 包含有悬浮的触控
[646.64-649.04] 还有在触控上的防水
[649.04-651.16] 也可以在不只是防水
[651.60-656.72] 在雨水 流水的情况下去操作
[656.72-661.84] 以上是我们在技术跟产品发展的方向
[661.84-663.88] 请下一位
[663.88-665.96] 接下来第1季跟第2季的展望
[665.96-671.24] 我请业务处长练向卢
[671.24-672.84] 来跟大家报告
[672.84-676.04] 各位投资先进 下午好
[676.04-678.88] 现在由我来跟大家说明
[678.88-681.44] 今年的一二季的展望
[681.60-687.04] 根据产品刚刚有我们业处长已经说明了
[687.04-689.28] 我们这些产品发展方向
[689.28-691.32] 到我们可以实现
[691.32-694.40] 因为这样的产品方向
[694.40-697.92] 对我们的营收在一二季的展望
[697.92-699.52] 我跟大家说明一下
[699.52-701.56] 在休闲航海部分
[701.56-706.20] 我们一直在去年遇到了库存调节
[706.20-709.76] 但今年的Q1我们已经看到库存水位已经降低了
[709.76-711.56] 我们已经看到库存水位已经降低了
[711.60-714.16] 而且区域已经合理了
[714.16-716.20] 并且在实际的部分
[716.20-722.36] 客户也在新的订单部分的动能已经陆续展开
[722.36-726.96] 所以我们预计Q2在休闲航海部分
[726.96-729.00] 绝对会比Q1好
[729.00-730.80] 这个已经是确认
[730.80-733.36] 在特殊车辆部分
[733.36-736.44] 由于新机种的加入
[736.44-741.56] 也会在Q2开启这个量级的动能
[741.60-743.40] 在这个生产阶段
[743.40-746.20] 会陆续把数量放大
[746.20-751.84] 所以这也是我们在特殊车辆里面会贡献营收的主要成长动能
[751.84-755.16] 在工业制造部分
[755.16-758.24] 工控的部分
[758.24-760.28] 在Q1的部分
[760.28-763.36] 由于跟客户确认
[763.36-765.92] 库存已经也是降低水位了
[765.92-771.56] 客户现在也在布局Q2 Q3的新的需求
[771.60-774.92] 在我们因为也有新产品
[774.92-776.98] 尤其强固耐厚
[776.98-779.02] 这些附加价值的产品
[779.02-782.10] 也会加入新产品的营收
[782.10-784.40] 希望能够带动
[784.40-787.22] 整体毛利的成长
[787.22-789.26] 在专业医疗部分
[789.26-791.82] 医疗的市场
[791.82-795.16] 因为它是长期而稳定
[795.16-797.46] 在订单部分
[797.46-801.56] 现在有新的大型医用
[801.60-803.40] 医器要加入
[803.40-806.20] 所以这个我们带它量产
[806.20-809.80] 这也会带来我们有营收
[809.80-812.60] 以上是我们在第1、2季
[812.60-818.24] 目前在业绩部分的展望
[818.24-821.56] 以上是今天跟各位
[821.56-825.66] 说明的整个重福的营运状况
[825.66-830.28] 接下来我们就进行Q&A
[830.28-831.56] 欢迎各位
[831.56-832.84] 我先请你提问
[861.56-862.02] 对吧
[862.02-870.40] 《今晚》
[870.40-873.08] 一切改变
[873.08-876.40] 大上市场流动
[876.40-879.74] 增 опыт
[880.50-881.52] 可能发现
[881.52-881.60] eto
[881.60-882.70] 和
[882.70-883.32] 未来
[883.32-883.54] 能够
[883.54-884.04] 展ve
[884.04-885.24] 000
[885.24-885.88] 数
[885.88-886.64] 确实
[886.64-887.16] 两反
[887.16-887.68] 将其
[887.68-888.44] ventual
[888.44-888.64] 00
[891.56-901.48] 老师监禁李小姐有提问
[901.48-903.46] 请问全年展望如何
[903.46-908.72] 那最看好的是哪一块产品的成长力道
[908.72-912.96] 那我们请这位处长来跟各位做说
[912.96-916.74] 在今年的部分
[916.74-922.72] 我们的成长动能会落在特殊车辆
[922.72-926.74] 以及工业工控部分
[926.74-930.60] 因为这两个在去年的部分有比较
[930.60-933.38] 第一原因是因为特殊车辆
[933.38-936.32] 它有加入新产品进来
[936.32-941.86] 那工控的部分是由于库存的下降
[941.86-944.48] 以及客户在这上面的需求
[944.48-948.10] 在现在跟客户谈下来
[948.10-952.42] 在Q2以后就会有比较明显的成长
[952.42-957.56] 以上说明
[957.56-961.04] 那接下来工商时报记者提问
[961.04-964.28] 请问海外的产能的布局计划
[964.28-967.10] 这个由我总经理于思平来跟您回答
[967.88-971.44] 那重复制加入加达集团之后
[971.44-974.30] 其实对于整个生产线的
[974.48-978.44] 整个产地的安排是跟着集团的策略走
[978.44-980.20] 那所以所幸就是
[980.20-981.68] 现在从去年
[981.68-984.14] 我们重复已经开始在
[984.14-988.50] 中国以外的产能做了扩充
[988.50-989.90] 就是在现在目前
[989.90-993.66] 集团的越南的一个产地
[993.66-996.66] 那我们已经进入到第二期的规划
[996.66-998.70] 那同时因为
[998.70-1002.12] 美国政府对于关税
[1002.12-1003.36] 未来的关税政策
[1003.36-1004.46] 所以这一部分
[1004.48-1008.80] 我们也是在考虑第四地的一个生产基地
[1008.80-1010.60] 那不过我想对重复来说
[1010.60-1013.72] 因为我们大部分产品公控的内容
[1013.72-1015.60] 我们会比较选用
[1015.60-1019.32] 要采形式与客户贴近的方式来进行
[1019.32-1022.36] 所以事实上我们有跟集团子公司
[1022.36-1026.76] 有通在安排未来在美国设厂的计划
[1026.76-1030.08] 不过这个部分的内容也要到第四季之后
[1030.08-1032.64] 才会比较有确定的时间表
[1032.64-1033.92] 那到时候再跟各位
[1033.92-1034.48] 各位
[1034.48-1035.36] 再说
[1035.36-1037.72] 还在报告没有
[1037.72-1040.28] 那以上是我的说明
[1040.28-1044.56] 那台中的
[1044.56-1047.36] 投信林先生
[1047.36-1049.92] 那关税是否影响公司的营运
[1049.92-1052.92] 我想目前这个关税的内容
[1052.92-1055.08] 因为中国的产地
[1055.08-1057.32] 那我们大部分都会出
[1057.32-1059.00] 就是美国以外区域
[1059.00-1062.84] 那你说直接出到美国确实是有税率的问题
[1062.84-1063.92] 那这部分的话
[1063.92-1067.88] 我们跟客人已经有一些对应的政策
[1067.88-1069.16] 那基本上来讲
[1069.16-1072.72] 目前我们的客人还是吸收这样的税
[1072.72-1074.12] 不过我想长期
[1074.12-1075.76] 因为我们有越南
[1075.76-1077.40] 以及在台湾扩敞的计划
[1077.40-1080.56] 所以这一部分应该可以规避一些税
[1080.56-1085.32] 关税的影响
[1085.32-1088.24] 那接下来是
[1088.24-1091.68] 有前进的问说
[1091.68-1092.84] 航海的Q1库存费用是多少钱?
[1092.84-1093.04] 那这部分的费用是多少钱?
[1093.04-1093.52] 那这部分的费用是多少钱?
[1093.52-1096.24] 库存是降到最低的水位
[1096.24-1098.32] 那成长几率会不会
[1098.32-1100.44] 会低于公控吗?
[1100.44-1102.96] 我们请联署长回答
[1102.96-1104.48] 我刚刚说明
[1104.48-1106.64] 因为航海的部分
[1106.64-1111.24] 其实在Q1已经有
[1111.24-1112.92] 比较明显的复苏
[1112.92-1116.00] 优于去年的Q4
[1116.00-1118.44] 那它延续它Q1的动能
[1118.44-1121.40] 所以它Q2也是属于成长的
[1121.40-1122.64] 那至于跟我们公控整体的费用的话
[1122.64-1123.36] 那至于跟我们公控整体的费用的话
[1123.36-1126.48] 整个成长率来比的话
[1126.48-1131.28] 我们会不会有太大的差别
[1131.28-1133.68] 因为航海一直以来
[1133.68-1137.28] 我们也是比较主力
[1137.28-1139.68] 可是它去年还好
[1139.68-1141.72] 它没有比公控掉的低
[1141.72-1143.76] 所以我刚刚才会说公控
[1143.76-1146.32] 可能会看似成长比较高
[1146.32-1149.08] 不过航海我们有在Q1 Q2
[1149.08-1150.88] 其实是持续成长的
[1153.36-1156.24] 所以我们也会有很大的差别
[1156.24-1158.12] 所以我们也会有很大的差别
[1158.12-1162.36] 华南的陈先生有问题
[1162.36-1165.20] 提问是请问航海客户
[1165.20-1168.60] 国内占比
[1168.60-1170.44] 这部分请联署长说明
[1170.44-1174.24] 国内市场的东哥
[1174.24-1178.24] 我们有去有在联系
[1178.24-1179.64] 那占比的部分
[1179.64-1182.72] 现在因为项目还在讨论中
[1182.72-1183.20] 所以现在因为项目还在讨论中
[1183.36-1187.52] 这个也是我们会耕耘的内容
[1187.52-1187.56] 这个也是我们会耕耘的内容
[1187.56-1189.76] 航海大尺寸面板已经开始出货了吗
[1189.76-1192.92] 航海大尺寸面板已经开始出货了吗
[1192.92-1195.92] 今年占航海的比重是多少
[1195.92-1195.96] 今年占航海的比重是多少
[1195.96-1202.92] 大尺寸要到Q3才会放量
[1202.92-1205.12] 比重的部分
[1205.12-1208.40] 目前还是属于比较初始
[1208.40-1212.72] 但航海里面应该会占5%上下
[1213.36-1217.68] 航海游艇的面板的趋势
[1217.68-1219.92] 跟现在目前各位看得到
[1219.92-1222.96] 汽车面板趋势也相同
[1222.96-1225.44] 也就是说面板是越来越大
[1225.44-1227.60] 这个大尺寸的趋势
[1227.60-1228.48] 在政府来讲
[1228.48-1232.00] 确实最近跟航海客人也在经营
[1232.00-1236.00] 一些比较大尺寸的面板的专案
[1236.00-1238.60] 未来这个比例会占多少
[1238.60-1242.64] 我想在下半年应该会有比较明确的说明
[1242.64-1242.72] 因为终究会有一个比较明确的说明
[1242.72-1244.72] 因为终究
[1244.72-1247.28] 游艇船舶的内容的发展速度
[1247.28-1249.28] 没有像车辆这么快
[1249.28-1251.36] 我想这个部分的设计
[1251.36-1254.24] 应该是在明后年才会看到
[1254.24-1256.28] 业绩成长的表现
[1256.28-1257.20] 我们拭目以待
[1257.20-1260.16] 不过我想这个趋势应该也会是
[1260.16-1266.88] 如同汽车车辆一样
[1272.72-1277.32] 台中的投资先进在询问
[1277.32-1281.32] 特殊车辆新机种是新客户需求吗
[1281.32-1285.16] 那垂直整合后价格以毛利会增加吗
[1285.16-1289.80] 这部分我们请研发业组长来跟各位回答
[1289.80-1295.12] 特殊车辆部分新机种部分
[1295.12-1297.76] 的确是新客户的需求
[1297.76-1300.48] 那在这部分除了过去
[1300.48-1302.70] 政府专注的模组的需求
[1302.72-1307.24] 和公主相关的整体之外
[1307.24-1309.16] 那因应客户的需求
[1309.16-1315.84] 我们也开始把软体跟内建的系统版
[1315.84-1317.32] 把它整合进去
[1317.32-1323.16] 所以整体的价格以及毛利的确是会增加的
[1323.16-1325.68] 不过相对应的我们内部的资源
[1325.68-1329.64] 也建置了这样子的团队
[1329.64-1331.60] 所以内部的资源会增加
[1332.72-1334.92] 去解决现在这个需求
[1334.92-1337.12] 那么这部分就是我们提供新团队下访的
[1337.12-1338.24] 那么 metals
[1338.24-1340.08] 对于新车项目的主要领域
[1340.08-1341.34] 当这部分欠缺商用
[1341.34-1342.84] 验货的学习
[1342.84-1344.46] 会对蒐集伤害的 punch
[1344.46-1346.12] 以南海然后作为去再更有限agnенных
[1346.12-1348.04] 然后我们建设新车
[1348.04-1349.48] 什么都不仅已经是联合团体
[1349.48-1351.52] 也是待会有机车час入按流量
[1351.52-1352.36] 教学转换iges
[1352.36-1352.90] 我们也要 mont
[1352.90-1353.72] 毛利用娱乐
[1353.72-1354.94] 然后在用相谷
[1354.94-1356.68] 从现在在百商项目 surface
[1356.68-1357.22] 从这边
[1357.22-1357.72] 我把我的几个
[1357.72-1359.06] 团队五 Zel
[1359.06-1359.70] 绑上他们对联合谷
[1360.24-1360.80] 就是对 Schule
[1360.80-1362.20] encompass。
[1362.20-1369.54] 林先生 请问医疗大型显示器何时可以看到量产
[1369.54-1382.50] 这部分大型医疗显示器主要就是在手术房所用的图像引导的一个显示器
[1382.50-1386.30] 这个部分本来应该是在去年就应该要量产
[1386.30-1392.02] 那因为中南科悟菲利普他延后了他整个量产时间到今年的第三季
[1392.02-1395.30] 所以他量产时间是今年的第三季
[1395.30-1405.24] 那华南的陈先生有问医疗显示器与集团的另一家公司分工方式
[1405.24-1413.06] 那这个医疗显示器就是我们现在目前的子公司育伟的主要产品
[1413.80-1418.34] 那我们医疗显示器的内容主要就是育伟的产品
[1418.34-1422.00] 所以基本上是我们重辅
[1422.00-1426.90] 提供医疗专业显示器的面板跟触控还有贴合
[1426.90-1433.12] 然后提供给育伟做整个医疗显示器整机的生产
[1433.12-1435.48] 然后再交给菲利普客人
[1452.00-1455.32] 台中林先生
[1455.32-1458.72] 那越南厂的进度如何
[1458.72-1460.74] 那资本支出多少
[1460.74-1464.46] 那目前越南厂已经进入到第二期
[1464.46-1469.06] 预计第二期的整个设备的搬运是在第三季
[1469.06-1470.42] 会完成
[1470.42-1472.74] 那这个是现在目前
[1472.74-1477.42] 那第三季我们会把助工跟面板还有贴合的部分
[1477.42-1481.36] 在第三季能够在越南厂能够做生产
[1482.00-1487.64] 那资本支出这一部分现在目前预估是大概是在4000万
[1487.64-1490.20] 的一个新台币的资本支出
[1512.00-1521.54] 好
[1521.54-1522.34] 那我想看
[1522.34-1523.60] 要终于来看看
[1523.60-1525.32] 还有没有什么
[1525.32-1526.52] 情况
[1528.10-1528.90] 请
[1528.90-1531.12] 我 OFF 一下
[1531.96-1532.16] 相信
[1532.16-1533.88] 那": working♡
[1533.88-1535.04] Ian
[1535.04-1535.12] 太多 你 peut
[1535.12-1535.80] Por
[1535.80-1537.60] en
[1537.60-1537.88] 没过
[1537.88-1538.74] barbaric
[1538.74-1539.16] 为何
[1539.16-1539.68] anda
[1539.68-1540.36] 那么
[1540.36-1541.80] 咱们
[1541.80-1544.60] 做廠的計劃是比較沒有這麼的一個
[1545.00-1547.64] 顯著像越南這樣的一個擴廠計劃
[1547.96-1550.20] 不過我們想不斷的在優化我的
[1551.40-1553.08] 設備的效率
[1553.40-1554.04] 提高產能
[1554.04-1557.00] 這是我們現在目前已經可以在進行的事情
[1557.48-1561.08] 那另外就是台灣廠來講有別於現在目前的
[1562.84-1565.08] 中國蘇州廠跟越南廠
[1565.08-1566.68] 台灣廠主要是做
[1567.16-1569.16] 大尺寸的少量多樣
[1569.16-1572.20] 尤其像提供像我們醫療
[1572.20-1573.80] 子公司育尾的
[1575.56-1577.80] 20幾吋到30幾吋的大尺寸
[1577.80-1581.08] 一些貼合跟觸控的生產
[1581.72-1583.72] 另外我們最近也提供了一些
[1584.52-1587.56] 貼合產能給國內比較大的
[1588.92-1591.08] 顯示器廠商做一些
[1592.68-1594.36] 換外使用的顯示器
[1594.36-1596.20] 這也是中福所擅長的部分
[1597.40-1598.20] 以上說明
[1599.16-1601.16] 我們現在就來看看
[1601.16-1601.72] 我們現在就來看看
[1601.72-1602.36] 我們現在就來看看
[1602.36-1603.00] 我們現在就來看看
[1603.00-1603.56] 我們現在就來看看
[1603.56-1604.28] 我們現在就來看看
[1604.28-1605.80] 凱州投信林先生
[1605.80-1606.36] 凱州投信林先生
[1606.36-1608.44] 今年整體營收成長率
[1608.44-1608.92] 今年整體營收成長率
[1608.92-1613.64] 那有機會回到2023年營收水準嗎
[1613.64-1614.68] 這個問題很好
[1614.68-1616.92] 我們請我們鏈處長來回覆
[1616.92-1617.08] 我們請我們鏈處長來回覆
[1617.08-1620.28] 我們請我們鏈處長來回覆
[1620.28-1621.56] 2023年
[1621.56-1622.44] 2023年
[1622.44-1623.08] 其實是
[1623.08-1623.96] 其實是
[1623.96-1625.40] 我們比較
[1625.40-1627.32] 那個時候是一個我們最
[1627.32-1628.60] 算是很好的一個表現
[1628.60-1629.08] 算是很好的一個表現
[1629.08-1631.08] 那我
[1631.08-1635.16] 我們先跟2024來看的話
[1635.16-1640.36] 我們希望先追上2024
[1640.36-1642.84] 那2024的話
[1642.84-1647.40] 我們是做34.18億
[1647.40-1652.68] 所以我們目前目標是先要比2024好
[1659.08-1661.32] 所以就再次交接 calculate
[1661.32-1662.20] apologize
[1662.20-1662.68] 其實旁邊是為了
[1662.68-1663.40] 也是為什麼
[1663.40-1664.44] Сейчасengividad這邊
[1664.44-1666.20] 我之前修告目前
[1666.20-1688.76] 現在就是時間
[1688.76-1689.00] 現在就是 peru
[1689.08-1693.46] 可能会往结束
[1693.46-1694.86] 而不是和平的方向去
[1694.86-1697.54] 所以会有相当多的一些
[1697.54-1700.08] 未来欧洲复原的一个
[1700.08-1703.50] 大型建设的所需要的
[1703.50-1704.48] 仪器类的内容
[1704.48-1705.86] 所以我们也看好
[1705.86-1707.60] 欧洲复苏后的一个
[1707.60-1709.32] 工业内容的成长
[1709.32-1711.22] 总之我觉得
[1711.22-1715.66] 2025年的状况会越来越好
[1715.66-1717.48] 逐纪会再增加
[1717.48-1720.28] 那么华南
[1720.28-1721.64] 这边陈仙有在问
[1721.64-1722.74] 请问有没有考虑用
[1722.74-1724.48] 电子纸E-ink的显示器
[1724.48-1726.14] 其实这部分
[1726.14-1727.36] 因为在户外来讲
[1727.36-1728.40] E-ink最弱的
[1728.40-1729.90] 就是在户外显示
[1729.90-1732.26] 它必须要做相当多的
[1732.26-1733.36] 一些阻隔
[1733.36-1737.06] 这些阳光辐射的内容
[1737.06-1739.28] 所以这个部分在目前
[1739.28-1742.08] TFT来说是已经有一些
[1742.08-1743.14] 做反射式
[1743.14-1745.06] 或是半穿反的TFT产生
[1745.06-1747.36] 所以电子纸运用
[1747.36-1748.48] 在户外的机会
[1748.48-1750.32] 对在政府目前的应用来说
[1750.32-1752.12] 是比较少
[1752.12-1753.36] 不过我们也会去
[1753.36-1756.20] 密切注意E-ink电子纸
[1756.20-1758.90] 是可以不可以使用于户外
[1758.90-1760.32] 应用的这个内容
[1775.12-1777.20] 台中林先生在问
[1777.36-1778.52] 除了四大领域之外
[1778.52-1781.78] 公司是否有其有开发新的
[1781.78-1783.74] 领域或产品
[1783.74-1784.86] 这个确实是有
[1784.86-1787.44] 其实刚刚业务署长
[1787.44-1790.06] 有特别提到就是系统方向
[1790.06-1794.78] 我们目前最擅长就是户外
[1794.78-1796.52] 户外也要能够做到
[1796.52-1798.98] 高规高效的户外显示器
[1798.98-1800.78] 这就是现在目前
[1800.78-1802.78] 是政府在投入的
[1802.78-1805.66] 像刚刚有说明就是2475
[1805.66-1807.20] 甚至于未来要做到2470
[1807.36-1809.66] 也就是说连续点点十年的
[1809.66-1810.66] 这样的一个显示器
[1810.66-1811.98] 而且是在户外点
[1811.98-1815.36] 而且是各种气候状况
[1815.36-1817.78] 都是我们产品都能够
[1817.78-1819.24] 长期点下去的
[1819.24-1820.98] 这一个设计内容
[1820.98-1822.40] 一直到整个
[1822.40-1824.40] 除了面板之外的整机设计
[1824.40-1828.02] 这都是我们会继续研发
[1828.02-1830.02] 以及做出新产品的内容
[1830.02-1833.20] 我想在今年度的一些户外
[1833.20-1834.70] 贩售机 贩卖机
[1834.70-1837.12] 或是户外充电桩
[1837.12-1838.78] 大型的户外充电桩
[1838.78-1840.42] 快充档都有已经盼到
[1840.42-1841.88] 政府在这个市场上
[1841.88-1843.88] 已经有一些产品出来
[1843.88-1845.88] 请各位拭目以待
[1856.62-1858.28] 集团的中效在这部分
[1858.28-1860.78] 因为我们佳杂集团
[1860.78-1864.12] 主要是以最大营收来自于monitor
[1864.12-1866.78] monitor是比较是在
[1867.12-1869.74] IT类消费型的monitor
[1869.74-1871.28] 所以在整个户外
[1871.28-1873.00] 或是公共的领域上
[1873.00-1875.50] 能够提供给众服的
[1875.50-1878.74] 在材料的cost上是比较少
[1878.74-1881.70] 不过因为集团的整个公司的管理
[1881.70-1885.16] 以及协助做
[1885.16-1887.70] 像我们现在目前在越南扩厂
[1887.70-1891.04] 那就是利用集团
[1891.04-1893.04] 已经在越南设好的厂区
[1893.04-1894.46] 所以我们的投资
[1894.46-1896.66] 在越南是算是相当少了
[1897.12-1900.08] 那就让众服比较有机会在
[1900.08-1901.28] 自动化这一部分
[1901.28-1904.28] 投入比较多的心力跟金钱
[1904.28-1906.28] 这个是感谢集团
[1906.28-1908.28] 已经有越南的一个厂房
[1908.28-1910.28] 让我们能够专注在
[1910.28-1914.28] 提供生产效率自动化的内容
