[0.00-17.32] 歡迎大家今天來參加今年2025年Q1的法說
[356.80-359.12] 還有Infrastructure這邊
[359.12-360.88] 都有滿好的成長
[360.88-364.40] 這個主要還是從AI電的
[364.40-366.32] 在這個Q1之前
[366.32-367.60] 我們有提到
[367.68-371.28] AI Data Center從GPU Server的
[371.28-373.28] structure來看
[373.28-375.28] 它這種architecture會
[375.28-377.28] 需要很多的電
[377.28-379.28] 也跟大家提過
[379.28-381.28] 電的需求是
[381.28-383.28] 成長得非常高
[383.28-386.48] 這個對這個世界
[386.48-388.48] 到底是怎樣的
[388.48-390.48] 這個世界的需求是非常高
[390.48-392.48] 這個世界的需求是非常高
[392.48-394.48] 這個世界的需求是非常高
[394.48-396.48] 這個世界的需求是非常高
[396.56-398.56] 對這個世界到底是好還是不好
[398.56-400.56] 是有點questionable
[400.56-402.56] 所以台大也跟
[402.56-404.56] Economics這邊
[404.56-406.56] 做了一個program
[406.56-407.60] 我們有贊助者
[407.60-408.56] 經濟學人這邊
[408.56-410.56] 做了一個研究調查
[410.56-412.56] 今天也發表了
[412.56-414.56] 我想是不是就請
[414.56-416.56] 我們的執行長
[416.56-418.56] 跟大家報告一下
[418.56-420.56] 我們在這個Sustainability
[420.56-421.76] AI這上面
[421.76-423.76] 可以做些什麼樣的事情
[423.76-425.76] 好
[425.76-427.76] 我們今天早上剛好去參加
[427.76-429.76] 那個天下雜誌辦的
[429.76-433.76] AI永續的趨勢
[433.76-435.76] 裡面剛好藉這個機會
[435.76-437.76] 就做這個Economics
[437.76-439.76] 這個議題的發表
[439.76-441.76] 這邊主要是
[441.76-443.76] 台大就支持經濟人
[443.76-445.76] 集團底下的
[445.76-447.76] Economics Impact
[447.76-449.76] 撰寫這個全球的研究報告
[449.76-451.76] 這研究報告裡面
[451.76-453.76] 主要是針對
[453.76-455.76] 600多家AI的供應商
[455.76-457.76] 還有他的
[457.76-459.76] 應用端的
[459.76-461.76] 大的這些用戶
[461.76-463.76] 裡面有很多
[463.76-465.76] C-level的
[465.76-467.76] 這些高階主管的一些
[467.76-469.76] 訪談
[469.76-471.76] 這個結果裡面
[471.76-473.76] 訪談的結果裡面其實
[473.76-475.76] 主要就是AI的浪潮和
[475.76-477.76] 對環境的衝擊
[477.76-479.76] 大部分的
[479.76-481.76] 企業高階主管都認為
[481.76-483.76] 這個AI在企業裡面扮演的角色
[483.76-485.76] 是越來越重
[485.76-487.76] 即使是一年的差異
[487.76-489.76] 這個幅度就會提升
[489.76-491.76] 蠻多的
[491.76-493.76] 另外
[493.76-495.76] 這個也讓大家覺得說
[495.76-497.76] 這個能源的消耗和環境的衝擊
[497.76-499.76] 會大
[499.76-501.76] 會感到憂慮
[501.76-503.76] 在邁向這個永續AI的
[503.76-505.76] 這個障礙裡面
[505.76-507.76] 其實大家最大的
[507.76-509.76] 議題就是
[509.76-511.76] 認為這個穩定的
[511.76-513.76] 供電這個是一個大的問題
[513.76-515.76] 因為這些電網
[515.76-517.76] 都很老舊了
[517.76-519.76] 都是很久以前做
[519.76-521.76] 所以整個電網的韌性
[521.76-523.76] 還有它能不能夠
[523.76-525.76] 足以支持這個AI應用
[525.76-527.76] 的服務這個是大家
[527.76-529.76] 最worried的部分
[529.76-531.76] 當然其次是這個整個的
[531.76-533.76] 技術跟
[533.76-535.76] 整個流程的
[535.76-537.76] 創新
[537.76-539.76] 這裡面佔第二位
[539.76-541.76] 第三位當然就是整個
[541.76-543.76] 產業的合作
[543.76-545.76] 供應端、應用端
[545.76-547.76] 還有
[547.76-549.76] 這些學界、業界
[549.76-551.76] 這裡面很多的這些合作
[551.76-553.76] 還有這個data sharing裡面的
[553.76-555.76] 這些議題
[557.76-559.76] 當然對台達來說
[559.76-561.76] 這個能效
[561.76-563.76] 或者這個整個的
[563.76-565.76] 能源的這個
[565.76-567.76] 永續這是我們
[567.76-569.76] 最大的議題
[569.76-571.76] 所以我們在對應這些
[571.76-573.76] 科技
[573.76-575.76] 這些需求在
[575.76-577.76] AI data center這邊
[577.76-579.76] 對能源的需求這邊
[579.76-581.76] 我們有提出很多的
[581.76-583.76] 這些
[583.76-585.76] 方案
[585.76-587.76] 當然這跟我們
[587.76-589.76] 這麼多年來發展的其實是
[589.76-591.76] 幾乎是一樣的我們針對
[591.76-593.76] microgrid以往的microgrid
[593.76-595.76] 針對的是所謂的
[595.76-597.76] 智慧城市
[597.76-599.76] 因為二次能源這種
[599.76-601.76] 清潔能源的發電的
[601.76-603.76] 不確定性因為比例
[603.76-605.76] 越來越高所以它有的時候多
[605.76-607.76] 有的時候少
[607.76-609.76] 因為這樣子所以必須
[609.76-611.76] 這個microgrid這邊要有能夠
[611.76-613.76] 快速調控的機制
[613.76-615.76] 要有儲能的這些設備
[615.76-617.76] 要有這個
[617.76-619.76] 包含
[619.76-621.76] 像電動車的話它可以
[621.76-623.76] 儲電
[623.76-625.76] 它也可以把這個電
[625.76-627.76] 吐回到這個grid裡面
[627.76-629.76] 原來談的主要還是在
[629.76-631.76] 所謂的智慧化的城市
[631.76-633.76] 現在
[633.76-635.76] 針對AI data center
[635.76-637.76] 因為AI data center
[637.76-639.76] 它用電量非常的大
[639.76-641.76] 所以它在這個microgrid裡面
[641.76-643.76] 可能它的影響
[643.76-645.76] 就很大了
[645.76-647.76] 甚至於有的像美國這些
[647.76-649.76] 大型的hyperscale的
[649.76-651.76] 電網是不願意供它電的
[651.76-653.76] 因為電網沒有辦法支撐它
[653.76-655.76] 那麼大的使用量
[655.76-657.76] AI data center它的用電
[657.76-659.76] 也不是constant的
[659.76-661.76] 它是當運算或者
[661.76-663.76] 訓練很多的時候
[663.76-665.76] 它的用電量很大
[665.76-667.76] 可是有的時候它其實
[667.76-669.76] 只是純粹在operate的時候
[669.76-671.76] 其他用電量也不見得
[671.76-673.76] 有那麼大
[673.76-675.76] 所以對電網的衝擊很大
[675.76-677.76] 現在很多反而是獨立的
[677.76-679.76] 還有這種所謂microgrid
[679.76-681.76] 或hyperscale data center
[681.76-683.76] 就是說你
[683.76-685.76] 建一個這麼大的data center
[685.76-687.76] 你要在旁邊蓋自己的電廠
[687.76-689.76] 你要想辦法去拿這個
[689.76-691.76] 清潔的這些能源的電力
[691.76-693.76] 要自己
[693.76-695.76] 備除能
[695.76-697.76] 甚至於像
[697.76-699.76] 我知道美國現在
[699.76-701.76] 很多data center因為
[701.76-703.76] 建一個發電廠
[703.76-705.76] 可能要四五年的時間
[705.76-707.76] 可是建個data center大概只要兩年時間
[707.76-709.76] 所以現在有用
[709.76-711.76] Sofc
[711.76-713.76] 來當它的
[713.76-715.76] 所謂發電端的
[715.76-717.76] 發電設備
[717.76-719.76] 它是怎麼用因為美國的
[723.76-725.76] 天然氣的
[725.76-727.76] 量很大也便宜
[727.76-729.76] 所以用Sofc直接
[729.76-731.76] 用天然氣發電
[731.76-733.76] 然後變成電
[733.76-735.76] 然後這個
[735.76-737.76] 供data center使用
[737.76-739.76] 這也是一種解決方案
[739.76-741.76] 所以這個microgrid如果是
[741.76-743.76] 企業級的data center也許
[743.76-745.76] 可以用microgrid的方式
[745.76-747.76] 一起來調控
[747.76-749.76] 如果是大型的data center
[749.76-751.76] 它可能要
[751.76-753.76] 有它
[753.76-755.76] 獨立的microgrid去support
[755.76-757.76] 它的這個電力的
[757.76-759.76] 上上下下的需求
[759.76-761.76] 這是我們
[761.76-763.76] 這麼多年來在microgrid這邊
[763.76-765.76] 一直在做這些
[765.76-767.76] 產品的開發
[767.76-769.76] 甚至於這些
[769.76-771.76] 解決的方案這邊的投入
[771.76-773.76] 那當然另外
[773.76-775.76] 還有一半的
[775.76-777.76] 受訪者認為
[777.76-779.76] AI的這個效率
[779.76-781.76] 其實
[781.76-783.76] 目前並不是很好
[783.76-785.76] 所以這個效率將來會變成
[785.76-787.76] 一個很重要的
[787.76-789.76] issue
[789.76-791.76] 而且越來越多人認為
[791.76-793.76] 這個東西影響很大
[793.76-795.76] 那也有
[795.76-797.76] 很多人認為這個AI
[797.76-799.76] 不應該只是雲端的
[799.76-801.76] 因為有幾個考量
[801.76-803.76] 就是雲端它要傳輸
[803.76-805.76] 那傳輸的量
[805.76-807.76] 還有就會造成這個
[807.76-809.76] 另外的一些能源的
[809.76-811.76] 消耗還有一個就是
[811.76-813.76] 即時性很多這個
[813.76-815.76] 尤其是像我們做
[815.76-817.76] 工廠的話
[817.76-819.76] 目前談很多AI都是cyber的
[819.76-821.76] 就是只是資料運算
[821.76-823.76] 這邊做這個
[823.76-825.76] 資料的理解
[825.76-827.76] 然後去
[827.76-829.76] 最後做決定
[829.76-831.76] 這個是cyber的
[831.76-833.76] 可是在我們做製造這邊
[833.76-835.76] 其實我們是cyberphysical的
[835.76-837.76] 我的機器
[837.76-839.76] 有很多AI的功能
[839.76-841.76] 可是這個AI功能它是必須要
[841.76-843.76] 即時反應的
[843.76-845.76] 所以不可能這些東西這些資料存在雲端
[845.76-847.76] 然後在雲端這邊有需求
[847.76-849.76] 把它丟到雲端去運算回來
[849.76-851.76] 再來指揮機台
[851.76-853.76] 所以很多東西是放在機台本身的
[853.76-855.76] 假設是
[855.76-857.76] 機台本身的調控AI功能的話
[857.76-859.76] 我們這個AI是要
[859.76-861.76] 放在機台本身
[861.76-863.76] 如果是整條線的
[863.76-865.76] 是機器對機器的
[865.76-867.76] 是前後站彼此之間的
[867.76-869.76] 這個AI的功能的話
[869.76-871.76] 我們會放在所謂的
[871.76-873.76] 線上面的agent
[873.76-875.76] 就是我曾經提過的
[875.76-877.76] line manager上面
[877.76-879.76] 所以我們AI的功能
[879.76-881.76] 會放在line manager上面
[881.76-883.76] 就是它要一直靠近age這邊
[883.76-885.76] 資料量也許不用那麼大
[885.76-887.76] 比較所謂的
[889.76-891.76] 比較專業的領域
[891.76-893.76] 可是它的即時性
[893.76-895.76] 它的速度要夠快
[895.76-897.76] 所以這個
[897.76-899.76] age computing或者
[899.76-901.76] age AI
[901.76-903.76] 是將來很重要的一個
[905.76-907.76] 發展的一個方式
[907.76-909.76] 在age這邊其實
[909.76-911.76] 我們也有很多的對應的
[911.76-913.76] 這些方案
[913.76-915.76] 包含在AI data center裡面
[915.76-917.76] 包含在這個端上面的
[917.76-919.76] 當然第一個就是
[919.76-921.76] 這個能源轉換的效率
[921.76-923.76] 我們這些電源供應器
[923.76-925.76] 不管是PDU
[925.76-927.76] 不管是DC to DC
[927.76-929.76] 或者這些
[929.76-931.76] 都是很高效的
[931.76-933.76] 它可能
[933.76-935.76] 這個效率轉換率都到
[935.76-937.76] 98 99
[937.76-939.76] 另外一個就是還是希望說
[939.76-941.76] 它的轉換次數
[941.76-943.76] 可以降低
[943.76-945.76] 因為你即使是99
[945.76-947.76] 你乘上6次乘上7次
[947.76-949.76] 那效率也就掉下來了
[949.76-951.76] 像現在的AI data center
[951.76-953.76] 光是能源轉換這邊的
[953.76-955.76] 效率大概只有
[955.76-957.76] 82到85%
[957.76-961.76] 那意味著15到18%
[961.76-963.76] 的熱量還要用
[963.76-965.76] 另外的電可能要用
[965.76-967.76] 1.5倍的電
[967.76-969.76] 再把這些熱量把它移除
[969.76-971.76] 維繫整個電源中心運作的
[971.76-973.76] 效能所以這裡面有
[973.76-975.76] 很多的
[975.76-977.76] improve的空間
[977.76-979.76] 我剛剛講一個是
[979.76-981.76] 各式的電源的效率
[981.76-983.76] 提升另外一個就是它的轉換
[983.76-985.76] 次數現在我們
[985.76-987.76] 也有一些方案比如說
[987.76-989.76] 我們用SST直接從高壓的
[991.76-993.76] 電網這邊的
[995.76-997.76] 高壓的交流直接變成
[997.76-999.76] 高壓直流
[999.76-1001.76] 高壓直流直接就可以進
[1001.76-1003.76] Data center
[1003.76-1005.76] 在那邊直流到
[1005.76-1007.76] REG的時候可以用中壓的直流
[1007.76-1009.76] 這轉換的次數
[1009.76-1011.76] 就可以降低
[1011.76-1013.76] 兩次
[1013.76-1015.76] 整個能效就可以提升
[1015.76-1017.76] 這些的技術發展其實在
[1017.76-1019.76] 跟我們的客戶持續
[1019.76-1021.76] 也都在發展
[1021.76-1023.76] 之中
[1023.76-1025.76] 建立地端的運算
[1025.76-1027.76] 這就是一個趨勢了
[1027.76-1029.76] 當然這裡面有很多
[1029.76-1031.76] 的挑戰當然這個趨勢
[1031.76-1033.76] 為什麼一個可能是我們
[1033.76-1035.76] 有很多的資料不願意放到雲端去
[1035.76-1037.76] 因為這個資料就有機密性
[1037.76-1039.76] 另外一個就是我剛談的
[1039.76-1041.76] 它有它的即時性
[1041.76-1043.76] 我們如果做
[1043.76-1045.76] Cyber physical的時候很多的東西
[1045.76-1047.76] 是要到比較
[1047.76-1049.76] 近的地方去算了
[1049.76-1051.76] 然後快速反應的
[1051.76-1053.76] 可是這個地端的運算
[1053.76-1055.76] 因為我們自己也買了
[1055.76-1057.76] AI的server
[1057.76-1059.76] 發現說跟我們既有的
[1059.76-1061.76] 傳統的server room
[1061.76-1063.76] Data center裡面是不match的
[1063.76-1065.76] 你裝不進去的
[1065.76-1067.76] 一個當然它的電壓
[1067.76-1069.76] 不一樣
[1069.76-1071.76] 如果是真的高運算的
[1071.76-1073.76] 它要用這個rec
[1073.76-1075.76] 是液冷的是水冷的
[1075.76-1077.76] 我們現在的Data center
[1077.76-1079.76] 的建置都不是這樣
[1079.76-1081.76] 另外
[1081.76-1083.76] 這個server
[1083.76-1085.76] 要運作
[1085.76-1087.76] 跟那個X86
[1087.76-1089.76] Virtual Machine的這種整個
[1089.76-1091.76] 管理都完全不一樣
[1091.76-1093.76] 所以我們自己的IT其實也花很多
[1093.76-1095.76] 時間花了
[1095.76-1097.76] 兩三個月才慢慢
[1097.76-1099.76] 知道怎麼去使用這個設備
[1099.76-1101.76] 一個設備要有辦法裝進去
[1101.76-1103.76] 裝進去以後怎麼使用
[1103.76-1105.76] 要慢慢提升它的效能
[1105.76-1107.76] 這麼貴的設備
[1107.76-1109.76] 所以這些都是有很多的經驗累積
[1109.76-1111.76] 這也是地端運算
[1111.76-1113.76] 的一個挑戰
[1113.76-1115.76] 空間啦
[1115.76-1117.76] 然後整個的英法的這些配備啦
[1117.76-1119.76] 還有IT的團隊
[1119.76-1121.76] 缺乏經驗
[1121.76-1123.76] 還有整個部署建置
[1123.76-1125.76] 它的速度
[1125.76-1127.76] 都有很多問題
[1127.76-1129.76] 所以我們最近有
[1129.76-1131.76] 有設計一個所謂AI的
[1131.76-1133.76] 貨櫃型的資料中心
[1133.76-1135.76] 這裡面就把
[1135.76-1137.76] 整個運算的rec
[1137.76-1141.76] 跟散熱的rec
[1141.76-1143.76] 跟整個powerrec
[1143.76-1145.76] 都把它整個
[1145.76-1147.76] 統一整合在一個
[1147.76-1149.76] 貨櫃型的機櫃裡面
[1149.76-1151.76] 這個機櫃
[1151.76-1153.76] 我們可以在
[1153.76-1155.76] 工廠端、製造端就把它整個都配備好
[1155.76-1157.76] 然後直接運到
[1157.76-1159.76] 使用端去
[1159.76-1161.76] 接上電其實它就可以運作
[1161.76-1163.76] 就不會去干擾到
[1163.76-1165.76] 原來的這個data center
[1165.76-1167.76] 這個AI的
[1167.76-1169.76] 貨櫃型的資料中心
[1169.76-1171.76] 我們這次在computex
[1171.76-1173.76] 也會有實體的展覽
[1173.76-1175.76] 也可以歡迎大家去
[1175.76-1177.76] 參觀
[1177.76-1179.76] 所以這個整個的永續
[1179.76-1181.76] 我想是沒有辦法去避免的
[1181.76-1183.76] 大家都覺得非常重要
[1183.76-1185.76] 也有很多大型的
[1185.76-1187.76] 這些provider
[1187.76-1189.76] 他們也有很多的承諾
[1189.76-1191.76] 將來我相信有很多的法規
[1191.76-1193.76] 所以大家都必須要
[1193.76-1195.76] 把這些永續的目標
[1195.76-1197.76] 慢慢地把它落實
[1199.76-1201.76] 剛好
[1201.76-1203.76] 今年的2月在巴黎的
[1203.76-1205.76] 這個AI峰會裡面
[1205.76-1207.76] 法國和印度
[1207.76-1209.76] 他們共同主辦了這個
[1209.76-1211.76] 這個會議
[1211.76-1213.76] 那裡面就發起了永續AI的聯盟
[1213.76-1215.76] 這裡面有47個
[1215.76-1217.76] 科技公司
[1217.76-1219.76] 還有14個國家
[1219.76-1221.76] 還有國際能源署
[1221.76-1223.76] 跟聯合國開發
[1225.76-1227.76] 聯合國開發技術
[1227.76-1229.76] 等這些國際的組織
[1229.76-1231.76] 一起來落實這個
[1231.76-1233.76] AI的這個永續的議題
[1233.76-1235.76] 台大也
[1235.76-1237.76] 在這裡面也是其中的一個
[1237.76-1239.76] 所以這裡面有非常非常多的
[1239.76-1241.76] 在AI的發展
[1241.76-1243.76] 大概才剛開始
[1243.76-1245.76] 一個當然
[1245.76-1247.76] 如果要持續成長一定要有
[1247.76-1249.76] 盈利的模式
[1249.76-1251.76] 以現在的狀況的話
[1251.76-1253.76] 這盈利模式也都還不清楚
[1253.76-1255.76] 都還在投資的階段
[1255.76-1257.76] 另外永續的議題
[1257.76-1259.76] OAS是最大的議題
[1259.76-1261.76] 這裡面有非常多的
[1261.76-1263.76] improve的空間
[1263.76-1265.76] 整個建置的方式
[1265.76-1267.76] 還有這個
[1267.76-1269.76] 應用的方式
[1269.76-1271.76] 這個雲跟端
[1271.76-1273.76] 這個
[1273.76-1275.76] cloud service
[1275.76-1277.76] 跟這個edge的這邊
[1277.76-1279.76] 資料什麼
[1279.76-1281.76] 配備裡面很多的這些東西
[1281.76-1283.76] 其實有非常非常多的議題
[1283.76-1285.76] 這個議題我想
[1285.76-1287.76] 在後面的這些年一定會
[1287.76-1289.76] 快速的發展
[1289.76-1291.76] 然後去
[1291.76-1293.76] 提升整個AI設備
[1293.76-1295.76] 或者整個
[1295.76-1299.76] 英法的能效
[1299.76-1301.76] 大概是
[1301.76-1303.76] 跟各位報告到這邊
[1303.76-1305.76] 謝謝
[1305.76-1307.76] 稍微補充一下
[1307.76-1309.76] 剛才執行長提到
[1309.76-1311.76] SOFC
[1311.76-1313.76] 這個是英文
[1313.76-1315.76] Solid oxide fuel cell的簡寫
[1315.76-1317.76] 它這種是一個比較大型
[1317.76-1319.76] 高溫的燃料電池
[1319.76-1321.76] 這種東西
[1321.76-1323.76] 事實上已經用在
[1323.76-1325.76] 一部分的 data center
[1325.76-1327.76] 的建置上面
[1327.76-1329.76] 我想
[1329.76-1331.76] 如果大家還有印象的話
[1331.76-1333.76] 我們跟
[1333.76-1335.76] 英國一家上市公司叫SIRUS
[1335.76-1337.76] 已經簽了一個
[1337.76-1339.76] IP
[1339.76-1341.76] 就是計轉的合約
[1341.76-1343.76] 跟他們也一起有些這種合作的開發
[1343.76-1345.76] 所以
[1345.76-1347.76] 台大不是只有台灣
[1347.76-1349.76] 第一家參加這個
[1349.76-1351.76] Sustainable AI的聯盟的公司
[1351.76-1353.76] 我們不是就是
[1353.76-1355.76] 只是去參加會議
[1355.76-1357.76] 我們事實上是開始在做一些事情
[1357.76-1359.76] 好
[1359.76-1361.76] 我們現在就開放現場的提問
[1365.76-1367.76] 董事長您好我們這邊有想要
[1367.76-1369.76] 提問兩個問題第一個就是
[1369.76-1371.76] 公司對於第二季的展望
[1371.76-1373.76] 還有目前AI相關
[1373.76-1375.76] 產品的一些需求
[1375.76-1377.76] 然後公司今年還是以全年
[1377.76-1379.76] 歸數成長為目標不變嗎
[1379.76-1381.76] 然後第二個部分的話是現在
[1381.76-1383.76] 關稅的政策比較多變還有不確定性
[1383.76-1385.76] 那公司這邊有沒有一個
[1385.76-1387.76] 最新的評估狀況
[1387.76-1389.76] 或者是在布局上面
[1389.76-1391.76] 有一些新的計畫謝謝
[1393.76-1395.76] 這好像是三個問題
[1397.76-1399.76] 剛才談到頭一個好像是
[1399.76-1401.76] AI
[1401.76-1403.76] 因為第一季不錯接下來的展望
[1403.76-1405.76] 是怎麼樣
[1405.76-1407.76] 第二季
[1409.76-1411.76] 還不錯啦
[1411.76-1413.76] 各位可以看到第一季的結果
[1413.76-1415.76] 第二季
[1415.76-1417.76] 當然受到這個關稅
[1417.76-1419.76] 的衝擊不過
[1419.76-1421.76] 因為現在降到10%
[1421.76-1423.76] 有90天的貨免期
[1423.76-1425.76] 所以客戶其實都
[1425.76-1427.76] 在加
[1427.76-1429.76] 快腳步在拉貨所以第二季
[1429.76-1431.76] 的營收會比
[1431.76-1433.76] 第一季好那第三季
[1433.76-1435.76] 第四季就不知道了
[1435.76-1437.76] 因為現在這個變化太
[1437.76-1439.76] 快了那我們只能因應這些變化
[1441.76-1443.76] 來快速的處理那我們整體
[1443.76-1445.76] 的布局或者今年的
[1445.76-1447.76] 這個預算並沒有
[1447.76-1449.76] 改變因為你這個
[1449.76-1451.76] 再怎麼改都應付不了
[1451.76-1453.76] 他的這個
[1453.76-1455.76] 很多東西都不可預測
[1455.76-1457.76] 所以這也沒有必要
[1457.76-1459.76] 去改那我們長期的這些
[1459.76-1461.76] 建置這些東西
[1461.76-1463.76] 都不會停下來都按照長期的
[1463.76-1465.76] 中長期的目標在移動
[1469.76-1471.76] 三個問題都一起回答了
[1471.76-1473.76] 關稅這個
[1473.76-1475.76] 這個地方我可能在
[1475.76-1477.76] 稍微再補充一下
[1477.76-1479.76] 就是說這種比較big picture的
[1479.76-1481.76] 的issue
[1481.76-1483.76] 因為
[1483.76-1485.76] Donald Trump在4月2號所謂的
[1485.76-1487.76] 這個liberation day
[1487.76-1489.76] 就宣布了宣布了他這個
[1489.76-1491.76] 關稅然後
[1491.76-1493.76] 這個不到一個月的時間
[1493.76-1495.76] 我想我們大概是每天早上起來
[1495.76-1497.76] 都要先看看昨天晚上發生
[1497.76-1499.76] 發生些什麼事情因為每天好像
[1499.76-1501.76] 都有點不太一樣
[1501.76-1503.76] 那很明顯的
[1503.76-1505.76] 就是說現在
[1505.76-1507.76] 的就是所謂一個
[1507.76-1509.76] uncertainty
[1509.76-1511.76] 到底最後會是什麼樣
[1511.76-1513.76] 的一個情況老實講
[1513.76-1515.76] 不太不太清楚
[1515.76-1517.76] 不太清楚那這個
[1517.76-1519.76] Donald Trump事實上
[1519.76-1521.76] 他是真的只是針對
[1521.76-1523.76] 關稅還是他要
[1523.76-1525.76] 把一大部分的這個
[1525.76-1527.76] 所謂的manufacturing都要帶
[1527.76-1529.76] 回美國這個老實講
[1529.76-1531.76] 還不太清楚因為
[1531.76-1533.76] 美國國內也是有非常
[1533.76-1535.76] 多的聲音
[1535.76-1537.76] 如果是真的這個關稅
[1537.76-1539.76] 會變成是一個
[1539.76-1541.76] 向他講目前向他講的這個樣子
[1541.76-1543.76] 的話事實上受傷最大的
[1543.76-1545.76] 應該是美國公司
[1545.76-1547.76] 本身啦
[1547.76-1549.76] 據說美國的這個manufacturing
[1549.76-1551.76] 是不是會要
