[0.00-2.30] 欢迎来到Borah Pharmaceuticals
[2.30-3.82] 4th Quarter 2024
[3.82-5.68] Financial Results Conference Call
[5.68-8.00] 此时,所有参与者
[98.78-100.14] 我们有很多好的 milestone
[100.14-100.82] 和 highlights
[100.82-102.86] 我们的组织收益
[102.86-105.28] 增加了35.5%
[105.28-106.34] 我们的组织收益
[106.34-109.36] 增加了31.5%
[109.36-111.04] 和2023年
[111.04-112.90] 我们的CDMO收益
[112.90-114.68] 较于2023年
[114.68-116.64] 增加了30.3%
[116.64-118.06] 我们的商业收益
[118.06-119.94] 增加了84%
[119.94-122.86] 年度比2024年
[122.86-124.58] 我们也保留了
[124.58-126.28] 大量的CDMO的US能力
[126.28-127.20] 以利用
[127.20-128.98] 很多的上海活动
[128.98-130.22] 在需求上
[130.22-131.80] 我们也扩展了
[131.80-132.98] 我们的CDMO提供
[132.98-134.96] 新的模式
[134.96-135.98] 例如
[135.98-137.70] 预测瓶子
[137.70-138.38] 无氧化物
[138.38-139.90] 和生物物
[139.90-141.58] 我们也在
[141.58-142.82] 商业RX方面
[142.82-144.42] 开发了Vigified
[144.42-145.88] 这真的增加了
[145.88-146.34] 我们的位置
[146.34-147.68] 和增加了我们的存在
[147.68-148.04] 我们的成长
[148.04-150.24] 在专业化物业
[150.24-151.36] 以及
[151.36-153.36] 增加了
[153.36-154.96] 我们的
[154.96-156.96] 大量的
[156.96-157.96] Biotic potassium chloride ER
[157.96-159.04] 和我们的
[159.04-159.96] 大量的
[159.96-160.96] Biotic potassium chloride ER
[160.96-161.96] 在市场上
[161.96-162.96] 我们也能够
[162.96-163.96] 保留了
[163.96-165.04] DLS
[165.04-165.96] 在美国
[165.96-166.96] 尽管我们看到了
[166.96-167.96] 增加的竞争
[167.96-168.96] 下一条
[168.96-169.96] 请
[169.96-170.96] 在这条视频中
[170.96-172.96] BOR继续扩展
[172.96-173.96] 2024年
[173.96-174.96] 迅速增长
[174.96-175.96] BOR继续扩展
[175.96-176.96] 2024年
[176.96-177.92] 我们的成长
[178.04-179.04] 在2024年
[179.04-180.04] 我们看到了
[180.04-181.04] 在5年内
[181.04-182.04] 我们看到了
[182.04-183.04] 60%的收入增长
[183.04-184.04] 和30%的收入增长
[184.04-185.04] 我们看到了
[185.04-186.04] 30%的收入增长
[186.04-187.04] 在前面的视频中
[187.04-188.04] 我们继续展示了
[188.04-189.04] 30%的速度增长
[189.04-190.04] 在最低线上
[190.04-191.04] 我们继续展示了
[191.04-192.04] 30%的速度增长
[192.04-193.04] 在最低线上
[193.04-194.04] 我们继续展示了
[194.04-195.04] 30%的速度增长
[195.04-196.04] 在最低线上
[196.04-197.04] 我们继续展示了
[197.04-198.04] 增加了
[198.04-199.04] 增长的增长
[199.04-200.04] 虽然我们的增长
[200.04-201.04] 只有
[201.04-202.04] 购买货币
[202.04-203.04] 和一时间的
[203.04-204.04] 合同购买货币
[204.04-206.04] 和一时间的合同购买货币
[206.04-207.04] 和一时间的合同购买货币
[207.04-208.04] 我们仍然能展示
[208.04-209.04] 我们仍然能展示
[209.04-210.04] 增长的增长
[210.04-211.04] 增长的增长
[211.04-212.04] 我们将能展示
[212.04-213.04] 我们将能展示
[213.04-214.04] 今年也会有
[214.04-215.04] 今年也会有
[215.04-216.04] 今年也会有
[216.04-217.04] 下一条
[217.04-218.04] 下一条
[218.04-219.04] 这是我们的
[219.04-220.04] 这是我们的
[220.04-221.04] 从2023年
[221.04-222.04] 从2023年
[222.04-223.04] 到2024年
[223.04-224.04] 的收入的分布
[224.04-225.04] 从2023年
[225.04-226.04] 到2024年
[226.04-227.04] 在CDMO中
[227.04-228.04] 我们看到了
[228.04-229.04] 两个数字的
[229.04-230.04] 有机的增长
[230.04-231.04] 在CDMO中
[231.04-232.04] 我们仍然看到
[232.04-233.04] 强势的需求
[233.04-234.04] 尤其是
[234.04-235.04] 我们的美国资源
[235.04-236.04] 我们的美国资源
[236.04-237.04] 以及台湾资源
[237.04-238.04] 以及台湾资源
[238.04-239.04] 我们继续在
[239.04-240.04] 我们继续在
[240.04-241.04] 在CDMO中
[241.04-242.04] 进行增长的行动
[242.04-243.04] 进行增长的行动
[243.04-244.04] 在市场业务方面
[244.04-245.04] 我们看到了
[245.04-246.04] 我们看到了
[246.04-247.04] 当然是
[247.04-248.04] 预期的竞争
[248.04-249.04] 当然是预期的竞争
[249.04-250.04] 从DX Lundra Brazil
[250.04-251.04] 从DX Lundra Brazil
[251.04-252.04] DLS
[252.04-253.04] 但也能够保持
[253.04-254.04] 但也能够保持
[254.04-255.04] 价值的浮沉
[255.04-256.04] 价值的浮沉
[256.04-257.04] 在预期中
[257.04-258.04] 在预期中
[258.04-259.04] 我们也能够
[259.04-260.04] 我们也能够
[260.04-261.04] 加上新的产品
[261.04-262.34] 并不受到
[262.34-263.34] 并不受到
[263.34-264.34] 市场工作的标准
[264.34-265.34] 我们也有
[265.34-266.34] 我说 2023
[266.34-267.34] 我说 2023
[267.34-268.34] 我们也有
[268.34-269.34] 我们也有
[269.34-270.34] 我们也有
[270.34-271.18] DLS的历史历史
[271.18-272.18] DLS的历史历史
[272.18-273.18] 我们看到2024年
[273.18-274.18] 我们看到2024年
[274.18-275.18] 比较合理的竞争
[275.18-276.18] 比较合理的竞争
[276.18-277.18] 比较合理的竞争
[277.18-278.18] 我们看到
[278.18-279.18] 我们看到
[279.18-280.18] 2020年
[280.18-281.18] 我们看到
[281.18-282.18] 2020年
[282.18-283.18] 我们看到
[283.18-284.18] 2020年
[284.18-285.18] 我们看到
[285.18-286.18] 2020年
[286.18-287.14] 如果你是
[287.14-288.14] 如果你是
[288.14-289.14] 你也ages
[289.14-290.14] 你也ges
[290.14-290.98] 你也ges
[290.98-296.48] 这只显示了6个月的收益,对不起,三半的收益
[296.48-301.98] 如您所见,我们在去年的Q2中获得了这些收益
[301.98-303.98] 所以我们在这里获得了三半的收益
[303.98-308.98] 在Baltimore和Piros,我们只获得了Q3的收益
[308.98-316.98] 所以这里只有3个月的Baltimore收益,还有Piros的2个月的收益
[316.98-319.98] 而在Baltimore里面,我们只获得了1个月的关闭
[319.98-325.98] 我希望显示的是,我们在2024年有很多的收益
[325.98-331.98] 三个月的Baltimore在中间,他们只显示了增长的收益
[331.98-339.98] 然而,我们仍然赔偿了一段时间的关闭费用和一段时间的组合费用
[339.98-343.98] 所以在下方,请继续看
[345.98-349.98] 如您所见,即使是这些一段时间的费用
[349.98-353.98] 我们仍然能够增加我们的收益
[353.98-360.98] 在10%的位置上,在前面的图表上,我们已经增加了35%的收益
[360.98-362.98] 这里有一个非常大的差异
[362.98-365.98] 我们的行业收益,我可以简单解释一下
[365.98-369.98] 如我所说,在2023年,我们有一个非常强大的年份
[369.98-372.98] 我们的货币收益是不同的
[372.98-377.98] 而在2023年,我们的行业收益也不一样
[377.98-378.98] 如您所见,我们有一个非常强大的年份
[378.98-381.98] 我们的行业收益是不一样
[381.98-384.98] 我们的行业收益是不一样
[384.98-392.98] 在2024年,我们也看到了三个购买的一天的交易费
[392.98-396.98] 在全年期间,这其实是在行业收益上的费用
[396.98-400.98] 所以您看到了行业收益的减少
[400.98-406.98] 然而,因为我们能够获得高价值的资产在低市场的价值下
[406.98-411.98] 我们能够承担负面质的好处
[411.98-415.98] 并且能够在每年为我们的股东赚取的费用
[415.98-417.98] 这非常重要
[417.98-418.98] 下一条
[418.98-426.98] 我们也继续持有长期增长增长的资产
[426.98-433.98] 我们能够展示出我们的投资和投资回报
[433.98-434.98] 而在收益方面,我们也能够展示出我们的投资和投资回报
[434.98-435.98] 而在收益方面,我们也能够展示出我们的投资和投资回报
[435.98-436.98] 而在收益方面,我们也能够展示出我们的投资和投资回报
[436.98-437.98] 对吗
[437.98-438.98] 对
[438.98-439.98] Ministry of 600 110
[439.98-440.98] 是
[440.98-442.98] 香港有些现代联盟社会会是虚拟的
[442.98-466.06] 但是也是银行和那些穿ビ比亚的
[466.06-466.94] 您今天很 machines and nesse
[466.94-469.50] 是我们的长期债务
[469.50-471.90] 然而,我们在一年中
[471.90-473.34] 有一个坚定的方式
[473.34-476.38] 以维持债务
[476.38-478.34] 我们的资金和收入
[478.34-480.42] 和我们的收入
[480.42-481.78] 我们继续使用
[481.78-484.10] 这个方式
[484.10-484.82] 下一条
[484.82-487.70] 这条图我只是想显示
[487.70-489.66] 我们在2月24日
[489.66-491.00] 获得Upshur Smith
[491.00-492.66] 我们获得Emergent
[492.66-494.82] 在2月24日
[494.82-499.42] 并且我们在前几次的购物中
[499.42-500.46] 继续展示
[500.46-503.50] 我们的购物成功
[503.50-505.50] 特别是在购物的项目上
[505.50-507.62] 在左边这里
[507.62-509.50] 我们展示了我们在前几次的购物中
[509.50-510.46] 我们展示了我们的购物成功
[510.46-512.98] 我们有同样的期望
[512.98-514.08] 为Upshur Smith
[514.08-517.48] 和CDMO Arm of Emergent
[517.48-520.22] 在Upshur Smith购物中
[520.22-522.04] 我们继续分开
[522.04-523.92] CDMO与Pharma的销售商
[523.92-524.54] 我们将
[524.54-524.80] 在2月24日
[524.80-527.36] 继续改变CDMO的商业模式
[527.36-529.40] 我们将增加和提升技术
[529.40-531.36] 我们正在理解低价品
[531.36-532.22] 如您所见
[532.22-533.50] 我们在去年做了这件事
[533.50-535.04] 我们将继续做这件事
[535.04-536.84] 在今年第一半
[536.84-539.78] 我们将除下一些低价品
[539.78-540.92] 以及
[540.92-543.24] Plymouth的销售
[543.24-543.88] 他们有两个市场
[543.88-544.52] 在Upshur Smith
[544.52-545.54] 我们将销售
[545.54-547.58] 低价品的销售
[547.58-549.12] 以及建立
[549.12-551.42] CDMO的客户面对知识
[551.42-552.70] 在Emergent上
[552.70-554.50] 我们继续增加和提升技术
[554.50-558.60] 并将这些商业转化成CDMO商业
[558.60-560.38] 并将这些商业成为
[560.38-561.42] 最高限度的商业
[561.42-562.70] 现在我们将有
[562.70-563.98] 大量的粽子
[563.98-566.02] 和大量的粽子
[566.02-568.58] 和大量的粽子
[568.58-570.62] 和大量的粽子
[570.62-571.90] 和小粽子
[571.90-573.18] 的完成
[573.18-576.78] 一些CDMO的提示
[576.78-578.82] 我们在2024年
[578.82-580.10] 成为了真正的
[580.10-582.40] CDMO的最后一项
[582.40-584.20] 如果您在前面的电话中有发现过
[584.20-585.48] 您可以在前面的电话中
[585.48-586.76] 看到我们的视频
[586.76-587.78] 我们已经完成了
[587.78-589.58] 我们已经成为了CDMO的最后一项
[589.58-590.86] 我们在2024年
[590.86-591.88] 成为了CDMO的最后一项
[591.88-592.90] 尤其是
[592.90-594.18] 我们已经在很长时间内
[594.18-595.20] 在我们的项目中
[595.20-596.24] 找到了一个完美的购物
[596.24-598.80] 我们找到了一个完美的购物
[598.80-600.08] 我们在2024年
[600.08-601.36] 加入了Emergent
[601.36-602.64] 我们也加入了
[602.64-604.42] Cdmo Biologics
[604.42-605.70] Cdmo Biologics
[605.70-606.98] Cdmo Biologics
[606.98-608.00] Cdmo Biologics
[608.00-609.28] 在San Diego
[609.28-610.82] 我们继续做CDMO的生意
[610.82-612.62] 我们继续做CDMO的生意
[612.62-614.16] 我们继续做CDMO的生意
[644.16-644.92] 我们继续做CDMO的生意
[645.96-648.00] San Diego business的Cdmo的生意
[648.00-650.82] 我们有2.8亿次手术
[650.82-652.36] 我们有16个开发
[652.36-654.66] 96个商业品牌
[654.66-656.96] 我们有7个商业MSA
[656.96-659.00] 我们有40个新的脂肪
[659.00-661.06] 我们有40个新的脂肪
[661.06-663.10] 在Cdmo地址中
[663.10-664.90] 我们在6天之间
[664.90-666.94] 有最好的货买时间
[666.94-668.48] 我们的目标是
[668.48-669.76] 人口中的目标
[669.76-670.52] 我们也有
[670.52-671.80] 前两周的转折时间
[671.80-673.08] 我们也有前两周的转折时间
[673.08-674.12] 我们也有前两周的转折时间
[674.12-674.14] 我们也有前两周的转折时间
[674.16-683.16] 最後,我們最好的成績是32%的收入是世界上20個科技公司的成績
[683.16-689.16] 這在這個業界是很難達到的,但我們絕對做到了
[689.16-690.16] 下一條
[690.16-699.16] 在過去幾年,我們在北美的產品策略中集中在北美的輸出
[699.16-710.16] 在2024年,我們在南美洲購買了蓬佩佩布,我們在美國的USL設施中
[710.16-718.16] 我們在馬來西亞的波爾多摩汽設施中,我們在坎貝克斯的方式中獲得了坎貝克斯的科技
[718.16-720.16] 現在叫做BorraBio
[720.16-723.16] 這非常令人驚喜
[723.16-725.16] 我們已經開始了
[725.16-727.16] 您可以看前面的圖片嗎?
[727.16-728.16] 我們已經開始了
[728.16-729.16] 我們已經開始了
[729.16-731.16] 這個後期的策略
[731.16-734.16] 因為我們看到了大量的需求在海上
[734.16-738.16] 我們基於我們的客戶需要更接近客戶
[738.16-742.16] 我們已經開始了在美國的海上產品產品的進展
[742.16-750.16] 現在,當然,在美國目前的政府和政府的制裁中
[750.16-756.16] 我們在美國的產品產品的進展中,我們在一個獨特的位置
[756.16-758.16] 我們在美國的產品產品的進展中
[758.16-760.16] 並且是一個跨國擴大的 USSR
[760.16-761.16] 我們武漢的產品產品部署的自我化做了上 allergen
[761.16-762.66] 這Let's Get Out!
[762.66-764.16] venule
[764.16-765.16] 也是有大量商人都要選擇的
[765.16-766.16] 帶給我們的能量
[766.16-767.16] 我們已經填滿了現在Wet ihrem
[767.16-768.28] 也表示我們小微��요
[768.28-784.88] 我們現在背後 horny
[784.88-786.16] 引 Finally
[786.16-787.16] 我們這裡要表示無standen
[787.16-790.24] 和25%的我们的客户的重新经营
[790.24-794.08] 现在,我们的飞机和生产物质构
[794.08-797.32] 以及新加坡的生产物质构
[797.32-799.36] 我们绝对有继续的CAPEX
[799.36-804.00] 我们的CAPEX规则是35%-40%的IAR水平
[804.00-806.44] 我们的第一阶段是在这些资源上
[806.44-807.44] 进行短期的升值化
[807.44-809.36] 第二阶段是我们将有
[809.36-811.36] 未来的五年投资计划
[813.20-814.48] 我还想强调一下
[814.48-817.44] 我们的USL的购入非常稳定
[817.44-819.32] 我们绝对在他们的主要资源上
[819.32-822.68] 资源是MAPLE GROW资源
[822.68-826.32] 这是美国最大的OSD资源
[826.32-828.24] 绝对是能够维持
[828.24-829.64] 在上市的能力
[829.64-831.04] 我希望强调一下
[831.04-832.00] 我们在USL的工作
[832.00-833.88] 这是我们的维持方式
[833.88-838.80] 这是我们的一时间费用
[838.80-840.48] 我们正在计算
[840.48-843.32] 和计算我们的2025-2030年
[843.32-844.44] 的巨大增长
[844.44-846.08] 我们将在2026年
[846.08-847.76] 进行到我们的PLUMIT资源
[847.76-849.04] 就是一个比较小的
[849.04-850.40] 比较老的资源
[850.40-852.92] 很不够的生产线
[852.92-855.80] 我们将它们移到我们的资源
[855.80-856.72] 包括MAPLE GROW
[856.72-857.92] 但是也包括其他资源
[857.92-859.88] 在BORA网络内
[859.88-861.48] 所以我们将BORA网络
[861.48-862.88] 资源的资源
[862.88-863.92] 都在这个购入中
[863.92-865.44] MAPLE GROW资源
[865.44-869.60] 是612平方米的资源
[869.60-871.20] 6倍的PLUMIT的资源
[871.20-872.92] 是2023年建立的
[872.92-874.40] 但是被SOWAS扩展了
[874.44-876.08] 在2022年
[876.08-877.76] 是$60亿的投资
[877.76-879.36] 它是以装备
[879.36-881.36] 发行、包装、QA、QC
[881.36-883.92] 测试区域、车厢和车辆
[883.92-884.04] 和购物质量
[884.04-887.24] 而它正在与很多
[887.24-889.04] 现在正在讨论的客户
[889.04-891.48] 在他们的大型美国策略
[891.48-893.56] 和大型的中央商务策略
[893.56-895.52] 所以这是这家公司的最佳时机
[895.52-897.20] 而它是BORA的最佳时机
[897.20-900.28] 以利用目前的市场趋势
[900.28-901.64] 下一个
[901.64-903.20] 我刚才想要提到
[903.20-904.40] 关于我们的
[904.44-906.48] San Diego的购买
[906.48-907.52] 或者是TAMX的
[907.52-908.48] 策略投资
[908.48-910.64] 现在被改名为BORABIO
[910.64-912.72] 我们绝对看到
[912.72-914.16] 在过去五年内
[914.16-915.96] 有增加的需求
[915.96-917.92] 为MonoClona的护身剂
[917.92-919.96] 尤其是为护身剂
[919.96-923.00] 和Multi-specific
[923.00-924.00] MonoClona的护身剂
[924.00-925.04] 就是Bi-specific
[925.04-926.84] 或Tri-specific的护身剂
[926.84-929.64] 所以我们的San Diego购买
[929.64-931.56] 不仅仅是台湾的
[931.56-934.40] 发展项目
[934.40-937.84] 也有数个大型细胞
[937.84-939.88] 商场的发展项目
[939.88-940.68] 在美国
[940.68-941.80] 我说的
[941.80-943.32] 有非常多
[943.32-944.64] CDMO
[944.64-945.76] 大型细胞
[945.76-947.64] 单用研究项目的
[947.64-948.96] 发展项目
[948.96-950.44] 我们有一个
[950.44-952.44] 我们也在增加这项目
[952.44-954.24] 所以我们在美国
[954.24-956.32] 也在增加我们的股份
[956.32-957.56] 以利用现时的
[957.56-959.24] 护身剂的趋势
[959.24-960.52] 下一个
[961.88-963.40] 之前我说过
[963.40-964.24] 我们的利益在
[964.24-965.40] 这个地方
[965.40-967.52] 我们继续证明
[967.52-968.92] 我们的策略是正确的
[968.92-970.52] 我们想成为
[970.52-974.08] 我们的顾客的最重要伙伴
[974.08-974.64] 我们也想成为
[974.64-975.96] 顾客的主项者
[975.96-977.52] 我们刚刚宣布
[977.52-978.96] 我们有获得了
[978.96-979.88] 出售的奖项
[979.88-981.68] 是OutSource Pharma
[981.68-982.20] 我们获得了
[982.20-983.16] 小细胞和Biologics的
[983.16-985.36] 最佳CDMO奖项
[985.36-986.56] 我们将在纽约
[986.56-988.72] 也会获得这项奖项
[990.60-991.80] 现在商务方面
[991.80-993.76] 也相当有兴趣
[994.24-995.52] 我们在我们在
[995.52-996.52] 获得了USA的
[996.52-998.36] USL的Upshur Smith
[998.36-999.72] 我们称之为USL
[999.72-1001.16] Upshur Smith的资产
[1001.16-1002.80] 我们分开了这项生意
[1002.80-1004.32] 进入CDMO的生意
[1004.32-1006.20] 我解释过的
[1006.20-1008.40] 价值和机会
[1008.40-1009.84] 在Maple Grove的资产中
[1009.84-1011.84] 同时
[1011.84-1015.16] 在Upshur Smith的100多年级品上
[1015.16-1016.52] 也有極大的价值
[1016.52-1018.44] 所以在获得Upshur Smith后
[1018.44-1021.32] 我们将TWI的产品
[1021.32-1022.88] 混合在一个品牌之下
[1022.88-1024.08] 在Upshur Smith之下
[1024.08-1025.36] 这是我们第一次做的
[1025.36-1026.16] 下一条
[1028.88-1031.36] 继续在Upshur Smith的名称上
[1031.36-1033.68] 如您所知
[1033.68-1035.68] 我们还在重新
[1035.68-1037.96] 专注在
[1037.96-1040.20] 特殊病毒业和特殊品牌上的工作
[1040.20-1041.76] 所以我们在这两个项目中
[1041.76-1043.28] 要专注的两个东西
[1043.28-1044.64] 是在我们的商务中
[1044.64-1047.48] 是在高线的
[1047.48-1048.96] 分别设定
[1048.96-1053.16] 以及品牌IP保护的
[1053.16-1054.04] 特殊病毒业和特殊品牌上的工作
[1054.08-1055.36] 好
[1064.98-1066.76] 您好
[1066.76-1069.16] CBD蚂蚱也在GENERICS上
[1069.16-1070.80] đã有多次专注很多 shining
[1070.80-1074.48] 还有髮型�ึ悶
[1075.68-1077.36] 而 legend
[1077.36-1080.00] 对于GENEX
[1080.00-1082.30] 还有 makers
[1082.30-1083.56] 什么标签
[1083.56-1085.16] 是Vigafide
[1085.16-1088.46] Vigafide是一款改善性的药物
[1088.46-1090.72] 我认为很多人都听过
[1090.72-1093.32] 总结上
[1093.32-1097.56] 它是唯一的市场唯一的品牌
[1097.56-1098.92] 有液体形成的
[1098.92-1101.40] 和原来的品牌
[1101.40-1103.62] 是液体形成的
[1103.62-1104.32] 那是什么意思
[1104.32-1105.06] 下一条
[1106.66-1108.32] 以前
[1108.32-1111.12] 要向嬰儿服务
[1111.12-1113.12] 这是一款特定的药物
[1113.12-1114.52] 是为嬰儿的尿道
[1114.52-1116.62] 它是唯一的成份
[1116.62-1118.12] 唯一的API
[1118.12-1121.32] 在嬰儿的尿道上使用
[1121.32-1123.12] 它是非药物
[1123.12-1125.12] 它原来唯一的药物
[1125.12-1126.42] 是粉状
[1126.42-1129.12] 很难去管理
[1129.12-1131.12] 很难有
[1131.12-1133.12] 公平性
[1133.12-1135.12] 而且很难安全
[1135.12-1136.12] 现在
[1136.12-1137.12] Vigafide
[1137.12-1138.72] 是唯一的
[1138.72-1140.12] 液体形成的
[1140.12-1140.62] 这个
[1140.62-1141.12] 的
[1141.12-1142.12] 这个品牌
[1142.12-1143.12] 是唯一的
[1143.12-1144.12] 在市场上
[1144.12-1145.12] 所以
[1145.12-1146.12] 我们在这里做的这个研究
[1146.12-1147.12] Vigafide
[1147.12-1148.12] 相比于粉状
[1148.12-1149.12] 它是
[1149.12-1150.12] 更加更加明确
[1150.12-1152.12] 更加容易使用
[1152.12-1153.12] 更加安全
[1153.12-1154.12] 给病人
[1154.12-1155.12] 还有
[1155.12-1156.12] 保护者
[1156.12-1158.12] 保护者是
[1158.12-1159.12] 父母
[1159.12-1160.12] 病人是
[1160.12-1162.12] 一到二岁的嬰儿
[1162.12-1163.12] 所以
[1163.12-1164.12] 你可以看到
[1164.12-1165.12] 右边
[1165.12-1166.12] 的测试
[1166.12-1167.12] 安全
[1167.12-1168.12] 和
[1168.12-1169.12] Vigafide的确准
[1169.12-1170.12] 是
[1170.12-1170.62] 非常非常非常高的
[1170.62-1173.62] 比起原来的Vigabitrin
[1173.62-1174.62] 所以
[1174.62-1175.62] 我们看到了
[1175.62-1177.62] 一定的市场主流
[1177.62-1178.62] 和
[1178.62-1179.62] 用途方便
[1179.62-1181.62] 确实是一个分别
[1181.62-1182.62] 在市场上的这个产品
[1182.62-1183.62] 在
[1183.62-1184.62] 嬰儿肺炎
[1184.62-1185.62] 和
[1185.62-1186.62] 肺炎肺炎
[1186.62-1187.62] 的
[1187.62-1188.62] 中心
[1188.62-1189.62] 所以
[1189.62-1190.62] 我们将继续
[1190.62-1191.62] 在
[1191.62-1192.62] 这个
[1192.62-1193.62] 肺炎肺炎市场上
[1193.62-1194.62] 重新调整
[1194.62-1195.62] 您可以看到
[1195.62-1196.62] 我们有一个混合
[1196.62-1197.62] Vigadrone
[1197.62-1199.62] 是原来的粉状
[1199.62-1201.62] 我们在这个市场中
[1201.62-1202.62] 有一个
[1202.62-1203.62] 我会说是
[1203.62-1205.62] 市场主流的品牌认识
[1205.62-1206.62] 的品牌认识
[1206.62-1207.62] 的
[1207.62-1208.62] 书面名字
[1208.62-1209.62] 和
[1209.62-1210.62] 我们的
[1210.62-1211.62] 和我们的
[1211.62-1212.62] 承诺
[1212.62-1213.62] 的
[1213.62-1214.62] 在这个市场中
[1214.62-1215.62] 有
[1215.62-1216.62] 的
[1216.62-1217.62] 承诺
[1217.62-1218.62] 的
[1218.62-1219.62] 承诺
[1219.62-1220.62] 和
[1220.62-1221.62] 我们现在
[1221.62-1222.62] 在Vigafide
[1222.62-1223.62] 的
[1223.62-1224.62] 肺炎肺炎
[1224.62-1225.62] 中心
[1225.62-1226.62] 我们绝对是
[1226.62-1227.62] 主要的
[1227.62-1228.62] 承诺的
[1228.62-1229.62] 我们觉得
[1229.62-1230.62] 我们可以有
[1230.62-1231.62] 大部分的
[1231.62-1232.62] 这个市场的
[1232.62-1233.62] 我们也看到
[1233.62-1234.62] 这是一个
[1234.62-1235.62] 继续投资的
[1235.62-1236.62] 平台
[1236.62-1237.62] 在肺炎肺炎
[1237.62-1238.62] 的
[1238.62-1239.62] 区域中
[1239.62-1240.62] 有
[1240.62-1241.62] 可能是
[1241.62-1242.62] 2亿美元的
[1242.62-1243.62] 市场大小
[1243.62-1244.62] 我们有三个
[1244.62-1245.62] 在这个区域中
[1245.62-1246.62] 的
[1246.62-1247.62] 组成的
[1247.62-1248.62] 三个
[1248.62-1249.62] 组成的
[1249.62-1250.62] 肺炎肺炎
[1250.62-1251.62] 在
[1251.62-1252.62] 2026年
[1252.62-1253.62] 和
[1253.62-1254.62] 2027年
[1254.62-1255.62] 接下来
[1255.62-1256.62] 在
[1256.62-1257.62] 承诺的
[1257.62-1258.62] 区域中
[1258.62-1259.62] 我们也在
[1259.62-1260.62] 继续承诺
[1260.62-1261.62] 在高价值区域中
[1261.62-1262.62] 如果您真的看
[1262.62-1263.62] 右边的
[1263.62-1264.62] 我们有
[1264.62-1265.62] 市场领导
[1265.62-1266.62] 在
[1266.62-1267.62] 德克斯顿
[1267.62-1268.62] 在
[1268.62-1269.62] 巴西
[1269.62-1270.62] 我刚才
[1270.62-1271.62] 解释过
[1271.62-1272.62] DLS
[1272.62-1273.62] 我们有看到竞争
[1273.62-1274.62] 但是我们仍然保持
[1274.62-1275.62] 40%市场股份
[1275.62-1276.62] 在
[1276.62-1277.62] 肥胖氧
[1277.62-1278.62] 我们是市场领导
[1278.62-1279.62] 在肥胖氧
[1279.62-1280.62] 而这些都是
[1280.62-1281.62] 对我们来说
[1281.62-1282.62] 高价值的产品
[1282.62-1283.62] 您可以看到
[1283.62-1284.62] 左边的
[1284.62-1285.62] 我们有
[1285.62-1286.62] 64.1%
[1286.62-1287.62] 的股市
[1287.62-1288.62] 而我们的股市
[1288.62-1290.62] 是49.1%
[1290.62-1291.62] 您可以看到
[1291.62-1292.62] 我们的股市
[1292.62-1293.62] 和我们的股市
[1293.62-1294.62] 比较高
[1294.62-1295.62] 我们的股市
[1295.62-1296.62] 专注在
[1296.62-1297.62] 高价值
[1297.62-1298.62] 高价值产品
[1298.62-1299.62] 而我们的
[1299.62-1300.62] 汽车流程
[1300.62-1301.62] 我们非常期待
[1301.62-1302.62] 未来的汽车流程
[1302.62-1303.62] 德弗拉斯科
[1303.62-1304.62] 在
[1304.62-1305.62] 今年
[1305.62-1306.62] 开发
[1306.62-1307.62] 我们有
[1307.62-1308.62] 在
[1308.62-1309.62] 今年
[1309.62-1310.62] 也有
