[0.00-20.44] 各位贵宾早安
[229.42-233.42] 所以现在我们也有看到很多的这种AI server
[233.42-235.42] 开始陆陆续续去做建制
[235.42-237.42] 那它带来的就是说
[237.42-240.42] 相对于的一个网路上的
[240.42-243.42] 它其实是规格要求都是比以前在做升级
[243.42-246.42] 那从AI这个为基础往往做
[246.42-248.42] 就是以前我们谈的5G
[248.42-251.42] 那现在是5G往下一个generation去走
[251.42-254.42] 所以我们就是用5G advance来去做一个发展
[254.42-257.42] 那还有一块就是automotive
[257.42-260.42] 因为这一块是公司过去五年做的还蛮好的
[260.42-265.42] 而且持续在往上往放大的一个路上走
[265.42-266.42] 所以公司持续聚焦着三大面向的产品来做建制
[267.42-270.42] 那我们现在就来看看三大A的一个区块
[270.42-274.42] 那三大A的区块带来的一个关键特性
[274.42-276.42] 也是有一个三个面向
[276.42-279.42] 包含我们前面讲的高速运算
[279.42-281.42] Computer
[281.42-284.42] 因为很多的一个数据我收集来了
[284.42-288.42] 最主要我就是要去处理处理去解析它
[288.42-292.42] 那这边就是不外乎去跟IDH厂商去做配合
[292.42-295.42] 那包含他们的CPU的设计
[295.42-297.42] 他们的一个我们讲的
[297.42-301.42] 我们的GPU还有这种加速卡的一种DPU
[301.42-303.42] DPU的一个网络架构
[303.42-306.42] 基本上因为关键ID他们的设计
[306.42-310.42] 我们的RD都要在前期能够掌握住
[310.42-315.42] 那掌握住之后我们就是会针对他们要的一个评点需求去做开发
[315.42-318.42] 那另外资料处理之后呢
[318.42-322.42] 像现在很多我们可能可以想象的出来这种名端
[322.42-324.42] 还有Data Center的服务
[324.42-326.42] 那现在往下一个世代走
[326.42-329.42] 我们很多的运算它不会是在云端去做处理了
[329.42-334.42] 它可能就是会拉回来在我们手边的一种中端的device
[334.42-336.42] 边缘运算来去做直接的处理
[336.42-340.42] 那今天也会看到很多可能部分的手机呀
[340.42-343.42] 部分的PC notebook都有诉求
[343.42-345.42] 它是有一些AI的处理功能
[345.42-348.42] 那这边我们就可以看到同步这个概念
[348.42-351.42] 在现在的客户需求来讲也是越来越多
[351.42-354.42] 因为原端的数据在处理
[354.42-358.42] 那它散落出来到各个一些边缘中端的device
[358.42-360.42] 那大家的资料在同步
[360.42-363.42] 因为不同步的话其实就没有这种边缘运算的意义了
[363.42-367.42] 所以这个同步的功能在我们现在的一个客规上面
[367.42-368.42] 它也会带动
[368.42-371.42] 那客人基本上它是追求很多的一个写定设定
[371.42-374.42] 包含H1的一个1588
[374.42-376.42] 还有就是Synchronize的E
[376.42-378.42] 它的这些写定的一个规范
[378.42-381.42] 那当客人的规格书开出来这些要求之后
[381.42-384.42] 那隐含的就是带动我们一些OCX的设定设定
[384.42-386.42] 跟SXP的需求
[386.42-389.42] 那这些都是相对比较高端价
[389.42-391.42] 跟我们讲的高阶
[391.42-394.42] 比较少竞争者的一个产品区块
[394.42-396.42] 那另外
[396.42-398.42] 同步跟运算之后
[398.42-400.42] 其实直觉想就是数据的传输
[400.42-402.42] 因为数据的传输
[402.42-404.42] 不论是刚刚讲的运算到边缘
[404.42-407.42] 或者是我的device到别人的device这些
[407.42-411.42] 它其实都是要做大量的一个数据传输
[411.42-414.22] 那这边当然就是我们现在
[414.42-417.42] 业界常看到的一些光模块
[417.42-419.42] 因为它都是在各个核心网
[419.42-422.42] 或者是我们讲的一个终端网
[422.42-424.42] 来去做一个资料的一个传递
[424.42-430.42] 那像美国客人他自己的一个这种GPU
[430.42-433.42] 他也是需要有一个互联的一个技术
[433.42-435.42] 那他有自己的一个平台架构
[435.42-438.42] 那5G跟WiFi跟Bluetooth
[438.42-442.42] 这是很传统大家在用的一个资料传输技术
[442.42-444.42] 那这些其实在公司内部
[444.42-446.42] 也有相对应的一些产品
[446.42-449.42] 接着我们就可以来看一下
[449.42-453.42] 这边讲的都是一些技术带来的规格
[453.42-456.42] 那前面提到的这些技术传输协定
[456.42-459.42] 那它就是反映出来它是走一个高频
[459.42-463.42] 它的频点它传输频率越来越高
[463.42-465.42] 那对应到我们的频率元件
[465.42-468.42] 它所需要的一个频点也是会越来越高
[468.42-473.42] 那在Presentation里面我们有放了一个概念
[473.42-475.42] 就是说因为现在的一个AI Server
[475.42-479.42] 它对于公司的一个市场机会在于哪里
[479.42-483.42] 是因为一个AI Server它其实是很多很多的一个
[483.42-486.42] 我们讲的一个组成
[486.42-488.42] 它包含就是Computer Trader
[488.42-490.42] 它也包含很多的Switch Trader
[490.42-493.42] 那这些Switch Trader都可以因应业主
[493.42-496.42] 它的一个需求去做一个扩充
[496.42-500.42] 那看它是要间接式的还是要整合式的
[500.42-503.42] 它其实是可以往上去做加成去做扩充
[503.42-507.42] 那我们目前所供应的产品
[507.42-510.42] 基本上不论是在SmartNIC Card的部分
[510.42-512.42] 我们会提供Oscillator
[512.42-517.42] 那在Switch的部分我们会提供就是Differential XO
[517.42-519.42] 那另外在Computer Trader
[519.42-521.42] 或者是加速网卡等等
[521.42-524.42] 我们也有提供高频的Crystal给客人
[524.42-529.42] 那右边指的就是我们相对应有Offer出去的一个产品设计
[529.42-533.42] 那目前也已经在客端的产品上面
[533.42-535.42] 去做量产
[535.42-537.42] 那跟同业相比
[537.42-540.42] 我解释一下就是我们的一个产品特性
[540.42-542.42] 那这一块这种Advanced Oscillator
[542.42-547.42] 它基本上就是会是一个Crystal加IC
[547.42-549.42] 跟震荡回路的一个模组设计
[549.42-553.42] 那可以看到它的频也目前除了现况156.25
[553.42-555.42] 已经在量产之外
[555.42-558.42] 客规很多都是开到32.5
[558.42-560.42] 在未来的设计
[560.42-562.42] 甚至625MHz这种超高频
[563.42-566.42] 另外小型化因为Oscillator它不像Crystal这么的小
[566.42-569.42] 因为Crystal我们最小可以做到1.08的设计
[569.42-572.42] 那Oscillator它会比较大颗一点点
[572.42-575.42] 那这种大颗它也有往小型化走
[575.42-577.42] 所以它就是会从2520
[577.42-581.42] 那往下走到2016跟1612的一个设计趋势
[581.42-585.42] 那另外低抖动也是现在客人要求的一个特性
[585.42-589.42] 因为低抖动它也是反应就是我讯号传递出去
[589.42-591.42] 它就是打讯少
[591.42-592.42] 然后讯号传递的更严谨
[592.42-593.42] 更完整
[593.42-595.42] 不会掉讯
[595.42-598.42] 那下面这个区块它应用的
[598.42-601.42] 它会是更在于一些基建类的
[601.42-603.42] 譬如说我们讲的Data Center
[603.42-605.42] 然后高阶的Server
[605.42-607.42] 跟甚至我们讲的5G件
[607.42-609.42] 因为这些都是需要同步
[609.42-611.42] 而且是及时
[611.42-613.42] 那它的精准度的要求
[613.42-615.42] 特别是在我们讲的Stability
[615.42-617.42] 它要求都是正负
[617.42-621.42] 可能50或者是10个PPB的一个等级
[621.42-623.42] 那当然它这种一颗单转的
[623.42-625.42] 它是有一定的单价
[625.42-627.42] 相比我们上面提到的这种Oscillator
[627.42-629.42] 或甚至Crystal
[629.42-631.42] 它的单价就是多了好几十倍
[637.42-639.42] 那市场上现在讨论比较多
[639.42-644.42] 而且也今年需求看起来蛮正面成长的
[644.42-647.42] 像光模块去年的成长就很明显
[647.42-650.42] 那今年其实会有很多的
[650.42-651.42] 我们讲的800G
[651.42-652.42] 甚至1.6T的一个产品
[653.42-655.42] 在做量产
[655.42-658.42] 那Switch这边也是
[658.42-660.42] 因为Switch它上面
[660.42-662.42] 它还会有一个Top of Root
[662.42-666.42] 那这个部分也会用到一颗同步的Oscillator
[666.42-667.42] 所以对我们来看
[667.42-669.42] 基本上它就是会持续带动
[669.42-672.42] 我的一个Oscillator的一个出货需求
[672.42-675.42] 那这个部分也是我们过往做的相对比较少
[675.42-677.42] 那反而就是形成一个市场机会
[681.42-683.42] 去年
[683.42-684.42] 8月份的时候
[684.42-686.42] 法区会那时候我们有announce
[686.42-688.42] 我们在去年下半年
[688.42-689.42] 我们会去参展
[689.42-692.42] 那参展里面我们就去发表了
[692.42-693.42] 这颗是AI
[693.42-697.42] AI不能使用的一颗Oscillator
[697.42-699.42] 那它强调的就是说
[699.42-702.42] 我们刚刚讲的精准度跟手实
[702.42-704.42] 因为现在的设备
[704.42-707.42] 它越来越强调同步的要求
[707.42-710.42] 那同步的要求它有一个特性
[710.42-711.42] 是关于手实
[711.42-712.42] 也就是说在讯号上
[713.42-715.42] 讯号中断的情况下
[715.42-717.42] 它在讯号的精准度
[717.42-719.42] 它可以维持多久
[719.42-720.42] 那过往可能设备厂商
[720.42-723.42] 它就要求6小时或者是8小时
[723.42-725.42] 那12小时等等
[725.42-728.42] 但是在AI这种高速讯算的需求下
[728.42-733.42] 我们已经有看到客规是已经要求来到24个小时
[733.42-735.42] 是要能够维持讯号不中断
[735.42-738.42] 而且维持在一定的精准度内
[738.42-741.42] 所以这个部分是我们内部自行开发
[741.42-743.42] 自行研发的一个平台
[743.42-745.42] 那我们也是有相关的一个专利
[745.42-750.42] 那这个也有已经应用在客端接下来的一个景品上面
[750.42-752.42] 所以我们会大力去做推广
[752.42-754.42] 那它的size可以从左边可以看到
[754.42-757.42] 我们的size就是做大颗的
[757.42-759.42] 做小颗的一个oslater
[759.42-762.42] 所以包含14x9
[762.42-765.42] 然后9.7x7.5这种规格size
[765.42-770.42] 都是目前算台湾厂商少数能够做到这样子的产品
[771.42-774.42] 那我们的竞争对手也主要是部分的日系
[774.42-776.42] 还有像另外有两家
[776.42-778.42] 一家是raycon在纽西兰
[778.42-781.42] 跟另外一家Sitem在美国
[781.42-783.42] 主要都还是国外的一个竞争行业
[787.42-790.42] 那技术的部分就给各位参考
[790.42-792.42] 那还有一块前面有提到
[792.42-795.42] AI 5G advance跟车用
[795.42-798.42] 那车用因为过往做的还不错
[798.42-800.42] 那后面也可以看到我们的营收
[800.42-803.42] 其实在23年24年都有持续成长
[803.42-806.42] 那我们今年给车用的目标
[806.42-809.42] 我们就是希望成长到占比
[809.42-811.42] 营收占比是来到25%
[811.42-814.42] 那也希望这个25%是能够反映在
[814.42-818.42] 我们在车用市场的一个市占率
[818.42-821.42] 那车用市场我们现在的看法是
[821.42-824.42] 因为它会持续的电子化程度越来越高
[824.42-827.42] 那这个电子化就是反映在我们提到的
[827.42-828.42] 智能驾驶
[828.42-829.42] 智能座舱
[829.42-832.42] 跟我们讲的安控还有车身控制
[832.42-836.42] 那我们focus比较多的会是在上半部
[836.42-840.42] 因为右边的智能座舱它比较值的
[840.42-843.42] 就是我们的驾舱一体
[843.42-845.42] 我们就在驾驶座
[845.42-848.42] 你的仪表板跟周遭的一个相关产品
[848.42-853.42] 那这个部分它很多跟现在的3C device很像
[853.42-854.42] 而且客群也很强
[854.42-857.42] 所以这一块本来就是我们在车用占比比较高的
[857.42-859.42] 那自动驾驶就是我们的一个产品
[859.42-862.42] 但是它需要的其实是比较多的camera
[862.42-864.42] 摄像头跟雷达
[864.42-868.42] 还有现在因为预控的概念下
[868.42-872.42] 车子跟车子之间它很多的一个传输也都更快
[872.42-876.42] 所以它需要有很多的一个一态网的IC在车体
[876.42-881.42] 那我们就可以看到它会带动除了基本的CMOS的OSLATER之外
[881.42-885.42] 它也会需要这种高频advanced的XO
[885.42-889.42] 所以这两块会是我们比较注重的
[889.42-891.42] 也会放量的
[891.42-896.42] 那其他如果跟Safety或者是ABS相关的
[896.42-898.42] 那这个部分我们会相对比较小心
[898.42-904.42] 因为它客人基本上在这种安全性的一个产品
[904.42-909.42] 通常也会要求公司的一个车用保险的等级相对是比较高
[909.42-912.42] 所以这个部分我们占比比较低一点点
[912.42-917.42] 那车身控制的话其实跟我们讲的钥匙锁这些都很像
[917.42-918.42] 那这个部分我们本来就有在讲的
[919.42-924.42] 那目前在EVCALL里面
[924.42-928.42] 我们已经是有出美国的第一大电动车厂
[928.42-934.42] 那另外在中国的电动车厂在过去两到三年也是成长蛮多的
[934.42-938.42] 那今年目前China这一块的需求看起来也还不错
[938.42-942.42] 那也会带动刚刚提到的这个智能价值的部分
[942.42-948.42] 因为有很多OSLATER的需求今年其实我们有看到订单是在增量
[948.42-949.42] 那也会带动刚刚提到的这个智能价值的部分 因为有很多OSLATER的需求今年其实我们有看到订单是在增量
[949.42-950.42] 那也会带动刚刚提到的这个智能价值的部分 因为有很多OSLATER的需求今年其实我们有看到订单是在增量
[950.42-951.42] 那也会带动刚刚提到的这个智能价值的部分 因为有很多OSLATER的需求今年其实我们有看到订单是在增量
[951.42-954.42] OK 这个是一个短期发展
[954.42-961.42] 看起来在2025年到2027年可以达到我们设定的一个20%多的目标
[961.42-969.42] 因为在去年2024年我们的一个市占或者是说占公司的营收比重是都有达到这个20%
[969.42-977.42] 所以我们会往接下来等于把中长期的一个目标往前推进在未来的三年
[979.42-985.42] OK 那我们的Marketing呢因为刚刚提到了前面3A的一个聚焦成长Focus
[985.42-990.42] 所以我们也有个别去定定的一个产品的目标
[990.42-994.42] 包含像高阶的产品就是要双位数的成长
[994.42-997.42] 那车用是希望能够占到25%
[997.42-1003.42] 这是我们目前公司对于业别跟产品别的一个细部目标
[1005.42-1008.42] 接着我们来谈一下就是近期我们release
[1008.42-1009.42] 有关于去年整个的目标
[1009.42-1012.42] 还有20年度的一些营收比重还有财务数字
[1012.42-1015.42] 那这边投资人可以稍微看一下
[1015.42-1018.42] 我们的产品应用大概是分成这几类
[1018.42-1023.42] 包含这两年拉出来的AI Automotive
[1023.42-1026.42] 跟Mobile Mobile指的就是手机相关
[1026.42-1029.42] 然后跟Yahoo King就是一般的网通设备
[1029.42-1032.42] 跟NB相关的Computing
[1032.42-1036.42] 还有就是Consumer类的Connectivity互联装置跟Others
[1036.42-1038.42] 那以2024年的营收比重还有财务数字
[1038.42-1040.42] 那我们来看一下2024年的营收占比来看
[1040.42-1042.42] 相较于2023年
[1042.42-1047.42] 因为我们2024年全年营收大概是成长了16% 17%的YY
[1047.42-1053.42] 那里面我们可以看到在占比从2023年走到2024年
[1053.42-1056.42] 占比有增加的很明显的是车用
[1056.42-1061.42] 可以看到车用从前年的16%增加到去年的22%
[1061.42-1067.42] 所以隐含它的一个绝对金额大概有成长将近5成
[1067.42-1073.42] 那另外有成长的像百分比不动的其实也是代表它的产值是有增加
[1073.42-1081.42] 包含像AI跟Connectivity也都是YY有增加的
[1081.42-1087.42] 那比较弱的会是在手机相关它的成长性就不足
[1087.42-1091.42] 所以它的占比它的成长性是低于公司平均
[1091.42-1096.42] 所以它的营收占比就从前年的41%下降到37%
[1096.42-1097.42] 一样还是很明显的
[1097.42-1099.42] 所以它是一个蛮主要的一个Potion
[1099.42-1105.42] 但是它的影响性就没有像过去疫情期间来的这么的大
[1105.42-1111.42] 那今年2025年我们自己初步评估在于这种产品比重
[1111.42-1118.42] 我们是抓车用跟AI的占比还会持续的在往上做一个增加
[1118.42-1126.42] 那在网通的部分跟computing的部分我们是抓相对持平
[1126.42-1131.42] 那在Connectivity跟Mobile的部分我们就是抓相对可能会低一点点
[1131.42-1133.42] 相比2024年
[1133.42-1135.42] 好
[1135.42-1146.42] 这边我们用财务数据的一个随意表来简单跟大家报告一下我们整体的表现跟Q1
[1146.42-1150.42] 首先在去年第四季的时候
[1150.42-1155.42] 去年第四季可以看到相比去年第三季我们大概QoQ掉了9%
[1155.42-1157.42] 但是YY是成长了9%
[1157.42-1162.42] 那全年基本上是126.721
[1162.42-1165.42] 相比前一年是成长了16.7
[1165.42-1170.42] 那比较需要努力的是在于毛利率
[1170.42-1175.42] 因为去年的上半年毛利率其实还不错大概是在30多
[1175.42-1179.42] 但是在去年的第三季跟去年的第四季可以看到
[1179.42-1182.42] 你说虽然是QoQ成长
[1182.42-1184.42] 第三季QoQ成长第四季QoQ掉了
[1185.42-1189.42] 但是这个收积期都是比去年上半年来的高
[1189.42-1192.42] 但是我们的margin却有受到压力
[1192.42-1194.42] 那这个压力主要来自几个
[1194.42-1198.42] 就是产品组合跟我们的一些大量
[1198.42-1201.42] 一些Crystal的料耗的一个价格
[1201.42-1204.42] 其实也是有面临到一些市场的竞争
[1204.42-1206.42] 所以有影响到我们的毛利率
[1206.42-1212.42] 再加上去年下半年其实有投资一些新的厂区的一个
[1212.42-1218.42] 新的厂区的一个房间制包含设备等等
[1218.42-1221.42] 其实陆陆续续的一些成本在往上走
[1221.42-1224.42] 所以使得我们去年下半年的毛利率
[1224.42-1226.42] 其实表现是不如上半年
[1226.42-1230.42] 那整年的一个margin是平均起来是35.41
[1230.42-1232.42] 跟前年差不多
[1232.42-1235.42] 但是上下半年是不是有一些变化
[1235.42-1237.42] 那在费用率的部分
[1237.42-1240.42] 去年第四季因为单季年底的关系
[1240.42-1242.42] 所以单季节上是有点差异的
[1242.42-1243.42] 看起来是偏高的
[1243.42-1245.42] 所以我们用整年多来看
[1245.42-1251.42] 那整年度的一个费用率大概就是落在18.5上下
[1251.42-1252.42] 18.5
[1252.42-1258.42] 所以我们的净利率大概是16.8
[1258.42-1260.42] 那去年整年的业外
[1260.42-1264.42] 因为通常第四季11 12月台币会有点升值
[1264.42-1269.42] 但是在去年台币只有在89月有升值情形
[1269.42-1271.42] 那从10月11 12月
[1271.42-1272.42] 台币反而有点低
[1272.42-1276.42] 那这之间可能跟美国总统大选也是有些关系
[1276.42-1281.42] 所以我们可以看到因为台币相对走点走到32.5
[1281.42-1282.42] 32.6 37.8
[1282.42-1286.42] 所以我们可以看到我们这业外在去年Q4
[1286.42-1288.42] 单季有一个2.23亿
[1288.42-1292.42] 这个业外是包含主要是获得收益跟其他补贴收入
[1292.42-1295.42] 所以加总起来有2.23亿
[1295.42-1299.42] 那全年的一个业外贡献了4.38亿
[1299.42-1301.42] 那里面大概
[1301.42-1307.42] 业外里面大概外汇相关的就是2亿多
[1307.42-1310.42] 所以可以看到在跟23年相比
[1310.42-1313.42] 这个业外也是贡献了不少
[1313.42-1315.42] 那2024年还有一个比较特别的
[1315.42-1317.42] 就是去年第三季开始
[1317.42-1321.42] 我们因为CB的的的新
[1321.42-1323.42] 我们有做了一个C
[1323.42-1324.42] 对不起
[1324.42-1325.42] 我们有做了一个私募
[1325.42-1328.42] 那这个私募基本上它有新增股数
[1328.42-1330.42] 所以我们的一个在外流通的股数
[1330.42-1334.42] 在去年8月开始
[1334.42-1336.42] 它就是从原本的股本
[1336.42-1338.42] 原本是30.9亿
[1338.42-1341.42] 那发行的私募之后
[1341.42-1342.42] 私募股东股之后
[1342.42-1345.42] 我们的股本就从30.9亿
[1345.42-1348.42] 增加到34.3亿
[1348.42-1350.42] 所以大概增加了10个percent
[1350.42-1352.42] 所以下半年的一个流通贷款股数
[1352.42-1354.42] 基本上就是有这个
[1354.42-1358.42] 新的股数加进来去做这个平均
[1358.42-1362.42] 那累计全年我们的税后EPS是6.55元
[1362.42-1367.42] 那今年的Q1因为已经过了一二月
[1367.42-1370.42] 那目前我们对于Q1的看法是
[1370.42-1374.42] 目前看到的一个Q1相比去年的Q4
[1374.42-1378.42] 我们的guidance会比较调到大概
[1378.42-1381.42] 有可能是G减5个percent左右
[1381.42-1385.42] 那当然因为去年Q1的机器也是比较低
[1385.42-1388.42] 所以站起来的YOR还是有一个是4%的股数
[1388.42-1390.42] 所以是有很多的一个成长
[1390.42-1392.42] 那在margin的看法
[1392.42-1398.42] 我们是认为以现在的一个产品组合来看的话
[1398.42-1403.42] 因为一二月的数字看起来会比较靠近
[1403.42-1406.42] 这个去年Q4的水准
[1406.42-1408.42] 那以今年全年的margin
[1408.42-1412.42] 我们大概就是会先抓在希望也能够是
[1412.42-1415.42] 像去年那这个35%的区间
[1415.42-1418.42] 所以上半年可能margin还是有些压力
[1418.42-1422.42] 看能不能透过下半年整个产能放量上来
[1422.42-1424.42] 让营收规模往上走
[1424.42-1429.42] 让我们的毛利率是可以往35%以上去做改善
[1429.42-1431.42] 那费用的部分
[1431.42-1435.42] 我们今年有做降本降费的一个目标
[1435.42-1437.42] 所以在费用率的部分
[1437.42-1440.42] 去年整年是18.5、18.6
[1440.42-1443.42] 那今年的费用率我们也是希望能够
[1443.42-1446.42] 全年是往18甚至18以下
[1446.42-1448.42] 那当然这是个问题
[1448.42-1450.42] 我们需要靠一些努力
[1450.42-1452.42] 因为今年其实后面会提到
[1452.42-1456.42] 我们还是有新产的新增厂需
[1456.42-1461.42] 在资产负债的部分
[1461.42-1463.42] 这边提几个数字
[1463.42-1466.42] 包含现在创业现金39亿
[1466.42-1469.42] 那我们的负债比其实蛮低的
[1469.42-1472.42] 只有25、26相比去年同期
[1472.42-1477.42] 那这也是因为去年下半年有Smart资金进来
[1478.42-1480.42] 借款的一个房款
[1480.42-1483.42] 所以在负债比的部分是26%
[1483.42-1485.42] 相比是比较低的
[1485.42-1488.42] 相比日系统也来的比蛮多
[1488.42-1490.42] 那再来就是看到存货
[1490.42-1494.42] 存货在去年比的时候是28.25亿
[1494.42-1498.42] 那目前12月我们大概也是这个存货金额
[1498.42-1503.42] 另外在前期有提到
[1503.42-1507.42] 因为2024年整体的获利是相比23年来的好
[1507.42-1511.42] 所以反映在不论是总资产的报酬率ROA
[1511.42-1514.42] 或者是股东权益报酬率的ROE
[1514.42-1517.42] 基本上都是比23年来的提升
[1517.42-1518.42] 来的上升
[1518.42-1521.42] 那整体我们的股东报酬率是有来到
[1521.42-1524.42] 回到15%
[1524.42-1528.42] 如果从整个周转天数来看的话
[1528.42-1530.42] 不论是AR的周转天数
[1530.42-1534.42] 或者是存货的一个周转天数
[1534.42-1537.42] 都可以看到我们的周转天数是有往下走
[1537.42-1542.42] 那也比较回到一个过往三年平均比较好的一个数字
[1546.42-1548.42] 最后三点
[1548.42-1550.42] 今年的一个资本支出计划
[1550.42-1553.42] 我们在董事会有通过预算是
[1553.42-1557.42] 当年度的一个资本支出预算是10.75亿
[1557.42-1561.42] 那10.75亿里面
[1561.42-1565.42] 可以看到母公司凭证PCF的部分
[1565.42-1568.42] 是占了4.49亿
[1568.42-1570.42] 那4.49亿里面
[1570.42-1573.42] 因为母公司持续是做一个RD技术开发
[1573.42-1576.42] 跟高阶产品首要量产的一个据点
[1576.42-1579.42] 所以我们里面可以看到
[1579.42-1582.42] 它最主要是发展波托代的一个技术
[1582.42-1584.42] 那波托代大家可以把它想成就是
[1584.42-1588.42] 我们讲很多就是有关于高频小型化
[1588.42-1590.42] 它需要的一个前段制程
[1590.42-1592.42] 那因为过往很多
[1592.42-1594.42] 我们是做
[1595.42-1597.42] 就是我们讲的MES
[1597.42-1599.42] 黄光石科的一个制程
[1599.42-1602.42] 但是现在我们会把相关的制程
[1602.42-1604.42] 用微波的方式去做生产
[1604.42-1606.42] 所以这个部分在今年度
[1606.42-1608.42] 因为去年已经有小量
[1608.42-1610.42] 而且确实客户验证回来
[1610.42-1612.42] 整体的产品的performance
[1612.42-1616.42] 是比既有的IM的一个focus来的好
[1616.42-1619.42] 所以我们现在也针对很多的高频
[1619.42-1621.42] 我们都会往这种波托代
[1621.42-1623.42] 就是晶圆工厂的一个生产方式去走
[1623.42-1625.42] 所以今年还会继续放量
[1625.42-1627.42] 那我们可以看到它在今年的
[1627.42-1630.42] 资本支出大概就需要2.4亿
[1630.42-1633.42] 那另外持续发展小型化
[1633.42-1635.42] 所以也会有部分的资金需求
[1635.42-1637.42] 大概是6500万
[1637.42-1640.42] 跟一些前面提到的一些专案
[1640.42-1642.42] 它会需要一些特定设备的一个去评解
[1642.42-1645.42] 所以这个部分大概也是6800万
[1645.42-1647.42] 这是评论场
[1647.42-1653.42] 那另外在NGV还有NGV的部分
[1653.42-1655.42] NGV其实就把它想成是
[1655.42-1658.42] 比凭证场的两倍量
[1658.42-1662.42] 它其实整体的一个设计跟生产条件
[1662.42-1663.42] 跟凭证场很像
[1663.42-1666.42] 因为它现在也就是承接凭证场的一个高阶产品
[1666.42-1670.42] 它也会去做我们讲的Oscillator
[1670.42-1671.42] 跟高频的Crystal
[1671.42-1675.42] 它甚至在前段晶片的一个自制产能
[1675.42-1677.42] 也要去做增加
[1677.42-1680.42] 所以NGO厂它就有投了
[1680.42-1684.42] 需要大概2.6亿的一个资本支出
[1684.42-1686.42] 是用在前段的Waver
[1686.42-1689.42] 还有一些IM的一个增电
[1689.42-1691.42] 那主要也是否我们现在
[1691.42-1693.42] 像这种中美贸易项
[1693.42-1695.42] 有些China local的客人
[1695.42-1697.42] 他也是希望说他的一些高级产品
[1697.42-1701.42] 能够在中国当地去做一个生产准备
[1701.42-1704.42] 所以我们宁波厂也有带有这样的一个
[1704.42-1706.42] 一个角色在里头
[1706.42-1708.42] 所以要不能只做后段
[1708.42-1710.42] 我们在前段一些高级技术
[1710.42-1713.42] 也有在宁波厂去做一个发展
[1714.42-1716.42] 那另外在TETC
