[0.00-7.58] Good afternoon, ladies and gentlemen. I'm Ivy Chan, RealTech IR Director. Thanks for joining this meeting.
[8.12-16.34] At the beginning, I will briefly update our fourth quarter 24 financial results and give some updates on our business.
[16.96-22.90] After that, we will have a Q&A session. Please do not hesitate to ask questions.
[23.32-28.62] Now, let us go through the fourth quarter 2024 financial results.
[28.62-41.56] The Q4 revenue was NT$26.35 billion, down 14.3%, compared to the previous quarter.
[42.18-46.90] This outcome, by and large, aligns with our expectations and the seasonality.
[47.68-57.04] The Q4 gross margin stood at 48.3%, marking a 3.1% point decrease quarter over quarter.
[57.04-58.60] The decline in gross margin was 0.3%, down 0.3%, and the decline in gross margin was 0.3%.
[58.60-63.82] The Q4 gross margin from the previous quarter is partly due to the product exchange,
[64.48-70.48] as a significant portion of the points consists of the entry segment products
[70.94-79.44] and partly attributed by the diminishing impact of the reversal of the slowly moving inventory write-off.
[80.20-85.36] The Q4 OPEX ratio was 37.4%.
[85.96-87.66] This indicates a 1.3% reduction.
[87.66-88.24] This indicates a 1.3% reduction.
[88.24-88.58] This indicates a 1.3% reduction.
[88.60-91.60] 比前一季的OPAC比率下降了
[417.12-420.12] 在PC和路由器市场中相符合。
[420.12-422.12] 同时,
[422.12-426.12] 更多的Wi-Fi设备
[426.12-428.12] 将预期保持
[428.12-432.12] 在2025年的市场中的主要执行,
[432.12-435.12] 执行在Wi-Fi 7的进步之下
[435.12-441.12] 执行真正的Wi-Fi生产业维持的重要执行权利。
[441.12-443.12] 在音韵库中,
[443.12-445.12] 据IDC所说,
[445.12-448.12] 总的PC市场预期
[448.12-452.12] 在2025年将达到4.3%,
[452.12-455.12] 由于Windows 10的支援,
[455.12-458.12] 而使用的PC是有限制性的。
[458.12-460.12] 以短期内的Wi-Fi系统为
[460.12-462.12] Wi-Fi的最高执行率,
[462.12-464.12] Wi-Fi的执行率是
[464.12-466.12] 3.3%。
[466.12-467.12] 因此,
[467.12-469.12] 在Wi-Fi的执行率
[469.12-470.12] 是最高的。
[470.12-471.12] 因此,
[471.12-473.12] 在Wi-Fi的执行率上,
[473.12-475.12] Wi-Fi的执行率
[475.12-476.12] 是最高的。
[476.12-477.12] 因此,
[477.12-479.12] 在Wi-Fi的执行率上,
[479.12-481.12] Wi-Fi的执行率是最高的。
[481.12-482.12] 因此,
[482.12-483.12] 在Wi-Fi的执行率上,
[483.12-486.12] Wi-Fi的执行率是最高的。
[486.12-487.12] 因此,
[487.12-488.12] 在Wi-Fi的执行率上,
[488.12-491.12] Wi-Fi的执行率是最高的。
[491.12-492.12] 因此,
[492.12-494.12] 在Wi-Fi的执行率上,
[494.12-495.12] 在Wi-Fi的执行率上,
[495.12-498.12] Wi-Fi的执行率是最高的。
[498.12-499.12] 因此,
[499.12-500.12] 在Wi-Fi的 tangible Ю mel
[500.12-502.12] 的执行率是最高的。
[502.12-503.12] 原因是...'
[503.12-504.12] difficult to understand
[504.12-505.12] '
[505.12-506.12] ,
[506.12-507.12] '
[507.12-508.12] st komma
[508.12-509.12] step
[509.12-510.12] sen
[511.12-512.12] '
[512.12-515.44] 在2025年初期的第一季度
[515.96-520.32] 而全年度的2025年TV售占的颜色仍然不确定
[520.82-522.26] 虽然有预测
[522.26-525.44] RealTech将在2025年期间增加其市场共用量
[526.96-531.06] 最后,是AutoEthernet
[531.32-536.96] 虽然世界Auto市场的消费增长
[536.96-542.34] 但我们预期RealTech的AutoEthernet生产会继续达成
[542.60-547.46] 车业业业业和RealTech的全国化增长
[547.96-552.06] 扩大的增长被两个主要因素引起
[552.32-557.44] 首先,车车的增加
[557.70-561.02] 让Ethernet的运输成功
[561.28-563.32] 成为网络背景
[563.58-564.60] 第二
[564.86-566.66] Ethernet的更加进步使用
[566.66-568.20] Ethernet的车车
[568.46-570.24] 使用Ethernet的更多
[570.50-573.58] 和更高的数量的Ethernet解决方案
[574.60-575.62] 这就是我
[575.88-577.42] 的短期更新
[577.92-578.44] 现在
[578.70-579.72] 流程已经开放了
[579.98-580.74] 请问
[581.00-582.78] 请不得不问
[583.04-584.58] 我会尽力回答
[584.84-586.12] 所有您的问题
[587.40-590.72] Azhi,现在我们开始问一个更大的问题
[590.98-593.28] 2025年的股市车车车车
[593.80-596.10] 会是哪个部份会是公司的增长
[596.66-599.22] 我们可以看到今天
[599.48-601.26] 车车车车车的运输
[601.52-605.10] 在2025年期间
[605.36-606.90] 预期在2025年期间
[607.16-608.44] 车车车车车的增长
[608.70-610.22] 是由于
[610.48-612.02] 在网络世界的增长
[612.28-614.06] 和
[614.32-616.62] 在地链
[616.88-617.66] 网络车车车车
[617.90-618.94] 和网络车车车
[619.18-620.22] 的运输
[621.50-623.02] 在车车车车
[623.28-624.56] 的增长
[624.82-626.10] Ethernet的增长
[626.10-626.36] 会更加
[626.36-627.64] 影响到车车车车的运输
[627.90-629.68] 而车车车车的运输
[629.94-630.46] 背景
[630.72-632.00] 是为了
[632.24-634.04] Auto Ethernet的增长
[636.60-638.64] 您可以评论2025年的
[638.90-640.44] 股市增长的成绩吗
[641.20-644.80] 在2023年和2024年
[645.04-646.58] Realtax的股市增长
[646.84-647.86] 被更多的影响
[648.12-648.64] 是因为
[648.88-649.40] 货币的
[649.66-650.16] 折扣
[650.42-650.94] 和
[651.44-652.98] 继续的
[653.24-654.00] 重新
[654.52-655.28] 反转
[655.54-656.06] 然而
[656.06-657.34] 2025年的
[657.60-658.62] 股市增长
[658.88-659.38] 的影响
[659.64-660.16] 并没有
[660.42-660.92] 再大了
[661.18-661.94] 今年
[662.20-662.98] 大型的
[663.22-664.26] 股市增长的
[664.50-665.54] 重点
[665.78-666.30] 将是
[666.56-668.10] AAC和ASP
[668.34-669.38] 之间的
[669.62-670.66] 持续的
[670.90-671.42] 运动
[671.68-672.96] Realtax的挑战
[673.22-673.72] 已经
[673.98-674.50] 被
[674.74-675.26] 复杂了
[675.52-676.28] 我们很自信
[676.54-678.08] 我们的能力
[678.34-679.10] 能够
[679.36-679.86] 这些
[680.12-680.64] 变化
[680.90-681.66] 在今年
[681.92-682.42] 有效
[683.20-684.22] 更多的
[684.48-685.50] 进步
[685.50-686.16] swept
[686.18-686.82] 到
[687.00-687.54] exhaustion
[687.80-688.58] GDP
[688.82-690.10] 高 platax
[692.16-692.92] 也就是
[693.44-694.40] 也 Сп Pers
[694.98-695.74] 紧张
[696.00-696.50] 也有
[696.76-697.48] 几点
[697.54-698.04] 总的
[698.30-698.82] situa
[699.06-699.48] 这是
[699.48-700.10] 对
[700.60-701.38] 想like
[702.14-703.16] 什么
[703.94-705.72] 我们
[705.98-706.50] 他
[706.74-707.26] E vir
[707.52-708.02] 但是
[708.28-708.80] Opac
[709.06-709.82] menstrual
[710.08-710.58] pm
[712.20-713.40] 其实
[713.82-714.42] 你是
[714.68-715.20] bitte
[715.50-719.50] 在健康成本增长中
[719.50-723.50] 长期内,我们的策略仍然集中在
[723.50-726.50] 增加行业平均率以来的
[726.50-728.50] 增加行业平均率的减少
[729.50-731.50] 在2025年初,预期的
[731.50-735.50] PCE 半项目标是什么?
[735.50-737.50] 我们认为这些增长的
[737.50-740.50] 动力可以在第二季度或远近的
[740.50-742.50] 期间增长
[742.50-745.50] 除了电子货车的项目外
[745.50-747.50] 我们也看到很多的
[747.50-749.50] 预期的增长
[749.50-751.50] 包括PCE的在
[751.50-753.50] 2025年期间
[753.50-755.50] 在一般来说,增长的项目
[755.50-757.50] 可能会提供
[757.50-759.50] 暂时的支付
[759.50-761.50] 或其他确定性的影响
[761.50-763.50] 他们并没有
[763.50-765.50] 维持生产策略的
[765.50-767.50] 持续性的生产方式
[767.50-769.50] 我们希望我们能等待
[769.50-770.50] 最后的部分
[770.50-772.50] 更加精准地
[772.50-773.50] 去接触
[773.50-775.50] 在市场上的
[775.50-777.50] 增长项目
[778.50-779.50] 我们如何认为
[779.50-780.50] 这一年的Wi-Fi
[780.50-781.50] 的预期
[781.50-782.50] 有什么改进?
[782.50-783.50] 您看到有没有
[783.50-784.50] 更好的升级
[784.50-785.50] 到Wi-Fi 6和7?
[786.50-787.50] 我们要注意的
[787.50-789.50] 2025年
[789.50-791.50] 将是Wi-Fi
[791.50-793.50] 7的第二季
[793.50-795.50] 而7年
[795.50-797.50] 是Wi-Fi
[797.50-799.50] 6的第三季
[799.50-800.50] 我们希望
[800.50-802.50] 我们将将
[802.50-804.50] 在市场上的
[804.50-806.50] 市场上的
[806.50-807.50] 预期
[807.50-808.50] 是
[808.50-809.50] Wi-Fi
[809.50-810.50] 4的
[810.50-811.50] Wi-Fi
[811.50-812.50] 5的
[812.50-813.50] Wi-Fi
[813.50-814.50] 6的
[814.50-815.50] Wi-Fi
[815.50-816.50] 6E
[816.50-817.50] 之间
[817.50-818.50] 然后
[818.50-819.50] Wi-Fi 7的
[819.50-820.50] 5%
[820.50-821.50] 而
[821.50-822.50] 这些数字
[822.50-823.50] 可能
[823.50-824.50] 并没有
[824.50-825.50] 表明
[825.50-826.50] 市场的
[826.50-827.50] 市场的
[827.50-828.50] 预期
[828.50-829.50] 他们
[829.50-831.50] 也没有说
[831.50-832.50] Wi-Fi7
[832.50-833.50] 未够达到市场的
[833.50-835.50] 预期
[835.50-836.50] 在现实世界的
[836.50-837.50] 应用中
[837.50-840.50] 每个世纪的Wi-Fi
[840.50-842.50] 都有自己的位置
[842.50-844.50] 在今天的市场中
[844.50-845.50] 是很可能
[845.50-847.50] 不同的Wi-Fi
[847.50-848.50] 版本
[848.50-849.50] 将继续相互
[849.50-850.50] 保持
[850.50-851.50] 一些时间
[851.50-852.50] 我们将注视
[852.50-853.50] 两个重要的
[853.50-854.50] Wi-Fi
[854.50-855.50] 的
[855.50-856.50] 特殊
[856.50-857.50] 选项
[857.50-858.50] 线路和电脑
[858.50-860.50] 我们期望Wi-Fi6的
[860.50-861.50] 选项
[861.50-862.50] 是
[862.50-863.50] 增加
[863.50-864.50] 10%
[864.50-865.50] 的
[865.50-866.50] 预期
[866.50-867.50] 并
[867.50-868.50] 达到
[868.50-869.50] 80%
[869.50-870.50] 到
[870.50-871.50] 90%
[871.50-872.50] 相互
[872.50-873.50] Wi-Fi
[873.50-874.50] 7
[874.50-875.50] 可能
[875.50-876.50] 达到
[876.50-877.50] 10%
[877.50-878.50] 的市场
[878.50-879.50] 在
[879.50-880.50] 2025年
[880.50-881.50] 而
[881.50-882.50] 在
[882.50-883.50] 真正的技术
[883.50-884.50] Wi-Fi6的
[884.50-885.50] 市场
[885.50-886.50] 已经
[886.50-887.50] 在
[887.50-888.50] 2024年
[888.50-889.50] 继续
[889.50-890.50] 增长
[890.50-891.50] 我们的
[891.50-892.50] Wi-Fi6和
[892.50-893.50] 7的
[893.50-894.50] 解决
[894.50-895.50] 项目
[895.50-896.50] 并
[896.50-897.50] 在
[897.50-898.50] 2025年
[898.50-899.50] 增加
[899.50-900.50] 领域
[900.50-901.50] 市场
[901.50-902.50] 的
[902.50-903.50] 领域
[903.50-904.50] 关于
[904.50-905.50] Wi-Fi7
[905.50-906.50] Railtech
[906.50-907.50] 向
[907.50-908.50] 客户
[908.50-909.50] 提供
[909.50-910.50] 有效的
[910.50-911.50] 信息
[911.50-912.50] 我们的
[912.50-913.50] PC的
[913.50-914.50] 解决项目
[914.50-915.50] 将
[915.50-916.50] 推出
[916.50-917.50] 更多的
[917.50-918.50] 新的
[918.50-919.50] 技术
[919.50-920.50] 并
[920.50-921.50] 更
[921.50-922.50] 详细
[922.50-923.50] 解决
[923.50-924.50] 我们的
[924.50-925.50] 竞争
[925.50-926.50] 更多的
[926.50-927.50] 技术
[927.50-928.50] 并
[928.50-929.50] 更多的
[929.50-930.50] 新的
[930.50-931.50] 技术
[931.50-932.50] 并
[932.50-933.50] 更
[933.50-934.50] 详细
[934.50-935.50] 解决
[935.50-936.50] 我们的
[936.50-937.50] 游戏
[937.50-938.50] 的
[938.50-939.50] 技术
[939.50-940.50] 并
[940.50-941.50] 更
[941.50-942.50] 有
[942.50-943.50] 更多的
[943.50-944.30] 新的
[944.30-945.10] 技术
[945.10-945.70] 并
[945.70-946.70] 更有
[946.70-947.70] 更好的
[947.70-948.70] 客户
[948.70-949.70] 的
[949.70-950.70] 信息
[950.70-951.70] 并更有
[951.70-952.70] 新的
[952.70-953.70] 设计
[953.70-954.70] 成功
[954.70-955.70] Railtech
[955.70-956.70] Wi-Fi7
[956.70-957.70] 公司
[957.70-958.70] 充满了
[958.70-959.70] 2025年
[959.70-960.70] 和
[960.70-961.70] 未来的
[961.70-962.70] 健康
[962.70-963.70] 增长
[963.70-964.70] 增长
[964.70-965.70] 的
[965.70-966.70] 增长
[966.70-967.70] 的
[967.70-968.70] 增长
[968.70-969.70] 的
[969.70-970.70] 增长
[970.70-971.70] 增长
[971.70-972.70] 增长
[972.70-973.70] 增长
[973.70-974.70] 增长
[974.70-976.70] 高达148jut
[976.70-977.70] 高达148jut
[977.70-978.70] 高达148jut
[978.70-979.70] 详细
[979.70-980.70] 传 photon
[980.70-981.70] entities
[981.70-982.70] 量
[982.70-983.70] 数
[983.70-984.70] 用
[984.70-985.70] 人
[985.70-986.70] 只
[986.70-987.70] 数
[987.70-988.70] 低
[988.70-989.70] 走
[989.70-990.70] 成
[990.70-991.70] �immers
[991.70-992.70] Dass
[992.70-993.70] Not
[993.70-994.70] сд
[994.70-995.70] прис
[995.70-996.70] shipping
[996.70-997.70] 近
[997.70-998.70] vertical
[998.70-999.70] Ghost
[999.70-1001.20] Pick
[1001.20-1001.70] je
[1001.70-1002.70] ito
[1002.70-1003.62] g
[1003.62-1004.30] Co
[1004.30-1015.30] 在第二年的2025年期间,这些项目的执行会继续根据2024年的奖励。
[1015.30-1026.30] 更加重要的是,中国的二级执行员将预期在2025年也会开始新的执行项目。
[1026.30-1036.30] 关于自动自动产品的产品,Realtech之前提到,它将继续推广公司的公司的平均增长率。
[1036.30-1042.30] 您对这种增长率的技术提供的技术提供或市场趋势是什么?
[1042.30-1045.30] 以及,Realtech的位置如何?
[1045.30-1051.30] 如中国的电子车品品牌继续增长,Realtech的市场质量如何?
[1051.30-1055.30] 总体来说,自动自动自动产品的业务是在进行的。
[1055.30-1060.30] Realtech在执行的步骤中,第三也是促使业务司机购物公司。
[1061.30-1065.42] 很有自由的思路 show comprises gorgeous young tiver of the court pocket
[1065.42-1069.58] 是哪可以说,希望unky 是 targets of diligent an
[1069.58-1073.70] l just after workers Once we add online system,
[1073.70-1078.30] 务必慢慢 DAY Radar infrastructure
[1078.30-1081.26] 是为香港市场和世界各安但这次 Paul
[1081.26-1085.30] 现在包括很多产品,大多数又是相隔 Senior
[1085.30-1092.30] 我们相信,Railtex自然电脑解析方案将最终达成,
[1092.30-1098.30] 并且将成功扩展到最后的主要合作者如Broadcom,Mavail和XP。
[1098.30-1107.30] Railtex自然电脑顾客将在全球分布,包括在中国的重要表现。
[1107.30-1120.30] 在中国,增加了新的EV卡车,现在也正在与Railtex自然电脑解析方案联合。
[1120.30-1125.30] 您将推出什么样的产品,为HPC市场?
[1125.30-1129.30] 您将如何开始与Railtex的收入合作?
[1129.30-1136.30] 我们将以高速线路运输和高速线路运输的技术专业专业专业,
[1136.30-1138.30] 拓展联合的交流很快。
[1138.30-1142.30] Railtex估計将创建局面mnメ masih有机会将 aypc为ograf眼 Gen2设备 ладно
[1142.30-1145.30] 所以,我们必须 audiences are dedicated to joing the conversation
[1145.30-1152.30] 与比较区别和我们的测试 celebrate 与平常应用的所以 moi
[1152.30-1154.30] ent自由生生 bing Si 5 广 zoom
[1154.30-1165.30] 和别nes?
[1165.30-1165.94] 第七� hyENDZ
[1165.94-1166.26] 禮
[1166.30-1169.30] 未来的数据中心应用
[1169.30-1171.30] 在这阶段下
[1171.30-1174.30] 不过,这仍然是一个很长期的计划
[1174.30-1177.30] 以免任何额外的收益预测
[1177.30-1180.30] 在2025年
[1180.30-1188.30] 公司的增长将依靠我们目前的产品和我们目前服务的主要应用
[1188.30-1193.30] 在台湾的设计服务合作中
[1193.30-1196.30] 在全球设计中
[1196.30-1201.30] REALTECH 承诺了与NEOVERSE的设计和合作
[1201.30-1208.30] 以达成这项
[1208.30-1211.30] REALTECH 进行的设计流程
[1211.30-1215.30] 尤其是45NARO和4NARO的
[1215.30-1217.30] Cutting Edge Process Note
[1217.30-1218.30] 在这项设计中
[1218.30-1220.30] 我们也在设计了
[1220.30-1224.30] SLC的目标的IP
[1224.30-1228.30] 这项设计与我们的计划相关
[1228.30-1231.30] 以达成H-Server市场
[1231.30-1235.30] 更新将在未来的时间中提供
[1235.30-1238.30] 关于人工智能的机会
[1238.30-1240.30] 在市场上的增长
[1240.30-1242.30] 能否预测市场的可能性
[1242.30-1245.30] 和实际增长的空间?
[1245.30-1247.30] MCU的
[1247.30-1249.30] AI 复制器
[1249.30-1250.30] 摩托车
[1250.30-1251.30] 感应器
[1251.30-1253.30] 和电池管理器
[1253.30-1254.30] 和电池
[1254.30-1255.30] 都被误会
[1255.30-1258.30] 为主要的部份
[1258.30-1260.30] 而是重要的
[1260.30-1262.30] 这些元素
[1262.30-1264.30] 必须相互联系
[1264.30-1266.30] 并在相互运作中
[1266.30-1268.30] 运作
[1268.30-1269.30] 此外
[1269.30-1271.30] AI 仅仅有
[1271.30-1273.30] 相同的人工智能
[1273.30-1274.30] 需要使用
[1274.30-1275.30] 能够使用
[1275.30-1276.30] 人工智能
[1276.30-1278.30] 在电视和音频中
[1278.30-1279.30] 互动
[1279.30-1282.30] 以至于这种角度
[1282.30-1284.30] 真实诚实的
[1284.30-1286.30] 电脑运作
[1286.30-1287.30] 在运作机构上
[1287.30-1289.30] 扮演了一角色
[1289.30-1291.30] 以及人工智能
[1291.30-1294.30] 我们将在这种
[1294.30-1296.30] 适当的预防
[1296.30-1298.30] 预防下
[1298.30-1300.30] 进行更多的
[1300.30-1301.30] 更新
[1301.30-1303.30] 和更新
[1303.30-1304.30] 我们将在
[1304.30-1305.30] 这种预防下
[1305.30-1306.30] 进行更新
[1306.30-1307.30] 并使用
[1307.30-1308.30] 运作机构
[1308.30-1310.30] 尤其是
[1310.30-1311.30] 世界上最大的
[1311.30-1312.30] 人工智能
[1312.30-1313.30] 一个人工智能
[1313.30-1314.30] 在运作机构上
[1314.30-1315.30] 能够运作
[1315.30-1316.30] 非常明显的
[1316.30-1317.30] 电脑运作
[1317.30-1318.30] 更新
[1318.30-1319.30] 并使用
[1319.30-1320.30] 电脑运作
[1320.30-1321.30] 的更新
[1321.30-1322.30] 能够
[1322.30-1323.30] 进行
[1323.30-1324.30] 运作
[1324.30-1325.30] 更新
[1325.30-1326.30] 的电脑运作
[1326.30-1327.30] 更新
[1327.30-1328.30] 能够
[1328.30-1329.30] 对该
[1329.30-1330.30] 电脑运作
[1330.30-1331.30] 更新
[1331.30-1332.30] 的运作
[1332.30-1333.30] 能够
[1333.30-1334.30] 更新
