[0.00-6.32] 歡迎大家參加紅準精密工業股份有限公司的法人說明會
[400.68-405.68] 那提升熱交換效率並且推展這個廣泛使用場域這樣
[405.68-410.68] 那氫金屬的話也只是紅準這邊一個核心的產品
[410.68-412.68] 那目前我們是持續的拓展整個氫金屬的應用領域
[412.68-416.68] 包含前面講的遊戲機甚至是整個塞車等等的話
[416.68-418.68] 都是以整個氫金屬技術為基礎
[418.68-424.68] 那整體而言呢我們是以一個可以環保回收的鋁鎂材料合金居座導入
[424.68-428.68] 那包含整個大型壓注技術還有結構的零件熱處理
[428.68-432.68] 半固態成型等等的話都是我們目前開發的目標
[432.68-436.68] 那接下來還有一些像是空心結構的製程還有核心開發等等的
[436.68-439.68] 都是整個紅準氫金屬技術拓展的一個目標
[439.68-442.68] 那整體而言的話呢這些技術可以用來做什麼呢
[442.68-446.68] 可以幫助我們提升材料強度延展性導熱性和導電性等等
[446.68-450.68] 那應用的領域呢就包含整個HRI機殼散熱
[450.68-454.68] 那機械的機構件儲能機構件還有汽車零組件
[454.68-459.68] 那可以看到最左邊的話我們做的就是主要是整個HRI機殼
[459.68-463.68] 大家都曉得其實目前最主要廠商這邊所需要的一個幫助
[463.68-466.68] 就是讓這些的產品更加輕量化
[466.68-470.68] 畢竟所有的那個機殼都是必須要用人工的方式
[470.68-472.68] 到一些比較困難裝著的地方去做工具的地方
[472.68-474.68] 所以我們目前介紹客戶這邊
[474.68-477.68] 主要就是希望從兩大方面去著手
[477.68-481.68] 第一個是散熱的強度和效率也必須得積極的強化
[481.68-485.68] 那第二點就是說因為要人工的去部件部件佈置為主
[485.68-488.68] 所以在整個機殼強化方面的話
[488.68-491.68] 同時呢輕量化的需求也是相當的著重
[491.68-495.68] 那我們這邊持續的在配合客戶的需求這邊
[495.68-499.68] 做一些輕量化和散熱的一個方面的技術提升
[499.68-502.68] 那也是跟客戶有非常明確的合作意向
[502.68-504.68] 還有一些產品的出貨
[504.68-507.68] 那中間和右邊的話可以看到
[507.68-509.68] 這主要就是宏準比較成熟的產品
[509.68-513.68] 那目前整個金屬金組件應用在出能系統的機構件
[513.68-515.68] 還有汽車零組件
[515.68-517.68] 那目前包含非常多國際知名的廠商
[517.68-521.68] 也是宏準這邊汽車零組件的一個合作夥伴
[521.68-526.68] 第三點的話就是以金屬做延伸的燒解技術
[526.68-528.68] 那這個就會是一些比較高毛利
[528.68-531.68] 然後量少直徑的應用產品為主
[532.68-535.68] 那燒解技術的話主要就是包含鈦合金 物合金和烏銅
[535.68-538.68] 那它的特點的話包含的高強度
[538.68-540.68] 然後優良的抗腐蝕性能力
[540.68-542.68] 那這個熱膨上的係數比較低
[542.68-543.68] 還有一個高導熱率
[543.68-546.68] 那重要的是我們可以依照客戶的需求
[546.68-547.68] 去做即時的調整
[547.68-550.68] 配合客戶的需求做一個彈性生產
[550.68-551.68] 那主要燒解技術的話
[551.68-554.68] 它可以將不同的材料使用特殊的工藝做結合
[554.68-557.68] 那增加它的功能和應用彈性
[557.68-560.68] 那這方面的話目前會以整個運動產業
[560.68-562.68] 還有汽車產業作為宏準這邊的合作夥伴
[562.68-564.68] 可以看到畫面左邊的話
[564.68-567.68] 運動產業這邊我們主要是有一些鈦合金產品
[567.68-569.68] 還有物合金產品為主
[569.68-572.68] 那可能就是包含高爾夫球桿的桿頭等等
[572.68-575.68] 都是我們目前已經成熟的客戶的出貨產品
[575.68-579.68] 那右手邊的話可以看到包含烏銅和異種材料
[579.68-582.68] 那這邊的話主要是以汽車產業為主
[582.68-585.68] 那可能是客戶的這個電動車電池的外殼
[585.68-587.68] 或者是部分的機構件
[587.68-591.68] 這邊的話都已經是有一些客戶明確的出貨意向
[591.68-592.68] 那甚至是電動車電池的外殼
[592.68-594.68] 那實際出貨訂單已經在手了
[594.68-598.68] 那當然這一次法說會跟大家公告的
[598.68-599.68] 有比較不同的地方是
[599.68-603.68] 目前宏準這邊是持續做整個機器人和智能產品做拓展
[603.68-606.68] 那我們首先會專注於整個服務型機器人
[606.68-609.68] 和人型機器人的製造組裝
[609.68-612.68] 還有關鍵零組件的開發和供應
[612.68-616.68] 那智能產品的話我們已經拓展到各種場域的智能整合服務
[616.68-619.68] 那包含智慧大樓遠距醫療教育用等等
[619.68-621.68] 都是宏準這一邊持續做深耕的領域
[621.68-625.68] 那同時呢我們也是跟我們一些全球合作夥伴
[625.68-629.68] 共同積極開拓整個美國歐洲日本和亞太市場
[629.68-631.68] 最左邊可以看到整個機器人機構件
[631.68-633.68] 因為各位投資前進可能都了解
[633.68-636.68] 目前一個人型機器人或是服務機器人
[636.68-638.68] 其實大部分的成本我們講Bone Cost
[638.68-643.68] 還是在整個機器人的機構件和關鍵零組件身上
[643.68-647.68] 所以宏準也是瞄準了這方面的一個領域持續做拓展
[647.68-649.68] 那包含了外殼機構件之外呢
[649.68-650.68] 左手邊第二個就是關鍵零組件
[650.68-653.68] 右手邊第二個就是關鍵模組和零組件等等的話
[653.68-655.68] 我們就是持續跟一些合作夥伴做開發
[655.68-657.68] 還有做研究
[657.68-660.68] 那當然比較偏大量的服務型機器人
[660.68-665.68] 這邊也是我們持續做一個拓展和佈局的焦點
[665.68-668.68] 那包含一些服務型機器人為載具
[668.68-670.68] 延伸到的場域和智能者和服務的話
[670.68-673.68] 也是宏準這邊有機會在接下來幾期
[673.68-677.68] 就看到比較明顯成果的一個服務和產品
[677.68-680.68] 那不可或缺的當然還是
[680.68-685.68] 我們這邊持續在前幾年有做投入的醫療產品和智能照護服務
[685.68-688.68] 那我們這邊的話是透過我們自己的研究能量
[688.68-691.68] 還有整合旗下子公司的一個狀況
[691.68-696.68] 那打造以整個病人為核心的智慧藥局和智慧照護服務
[696.68-698.68] 那當前的話會聚集在智慧病房
[698.68-700.68] 智慧藥局和智慧照護等三大產品
[700.68-703.68] 那當然我們這邊會提供有自主研發
[703.68-707.68] 製造代理和跨界整合還有售後能力的一個專業解決方案
[707.68-708.68] 那並且已經積極和製造商還有國內一些製造商
[708.68-709.68] 還有國內一些製造商和國內一些製造商
[710.68-712.68] 和指標性的醫療院所合作
[712.68-715.68] 共同打造整個台灣和國際醫療結果的平台
[715.68-720.68] 那大家可以看到我們這邊主要的一些產品包含了智慧和智能化藥局
[720.68-723.68] 智慧病房的服務還有智慧照護管理
[723.68-726.68] 當然還有一些整合的系統和場域應用等等
[726.68-730.68] 都是目前宏準整個在醫療產品和智慧照護當中
[730.68-734.68] 就是比較明顯的一個關鍵提供的產品和服務
[734.68-738.68] 整體而言的話可以跟各位投資先報告
[738.68-740.68] 目前宏準的話還是會以整個
[740.68-742.68] 遊戲機產品為基礎
[742.68-746.68] 搭配公司薄氰冷強等核心技術去拓展新事業
[746.68-749.68] 不斷的精進技術增加生產效率
[749.68-751.68] 並且提升我們整體的營收和獲利
[751.68-756.68] 公司目前是積極拓展散熱和氰金屬產品相關領域應用
[756.68-760.68] 並且在機器人和智能產品還有醫療與照護服務等領域的話
[760.68-763.68] 都是已經制定了專屬的發展策略目標
[763.68-765.68] 當然為實現這些目標
[765.68-768.68] 我們的人才技術和製造以及自動化設備等項目的話
[768.68-770.68] 都是我們專注發展的目標
[770.68-772.68] 以及投資的焦點
[772.68-774.68] 整體而言的話
[774.68-777.68] 宏準機密這邊是配合客戶的需求和集團資源
[777.68-780.68] 建構整個全球化的生產與供應鏈體系
[780.68-782.68] 強化產品競爭力
[782.68-785.68] 並且全面的佈局AI高效運算
[785.68-788.68] 機器人醫療電動車以及儲能產品等
[788.68-791.68] 具未來性和潛在性技術的產業
[791.68-794.68] 並且我們將會充分的發揮集團的整合優勢
[794.68-797.68] 去跟我們所有的競爭對手做抗衡
[798.68-799.68] 營運策略方面的話
[799.68-801.68] 我想因為最近整個關稅議題
[801.68-804.68] 或者是國際政治經濟情勢變化
[804.68-805.68] 所以大家也比較關心
[805.68-807.68] 那當然我們在經營這邊的話
[807.68-811.68] 是因應整個總體經濟環境和外部競爭的變化
[811.68-814.68] 是制定了相關的一些營運策略的一個對應
[814.68-816.68] 那包含在銷售策略方面的話
[816.68-821.68] 我們是持續的朝整個產業客戶多角化的方向做經營
[821.68-825.68] 並且拓展獲利機會與分散風險並重
[825.68-826.68] 未來的話
[826.68-827.68] 宏準機密將會從單純的領主線製造商
[827.68-832.68] 推變成為客戶首選之科技解決方案合作夥伴
[832.68-835.68] 我們並將回應客戶的永續產品發展需求
[835.68-839.68] 以提供解決方案的提供者做定位
[839.68-842.68] 並且推動多元化佈局優化客戶的結構
[842.68-845.68] 拓展新的區域市場和應用領域
[845.68-847.68] 那在生產方面的話
[847.68-850.68] 我們接下來會整合全球的廠區
[850.68-854.68] 考量產業產品技術成本稅率以及各類產品優勢
[854.68-856.68] 靈活的規劃還原產能
[856.68-859.68] 並且透過資產的優化來提升良率
[859.68-862.68] 提供客戶具經濟競爭力的服務和產品
[862.68-863.68] 供應鏈方面的話
[863.68-865.68] 我們將會區測供應商多元化
[865.68-868.68] 並且讓整個關鍵領主件盡量在地化
[868.68-870.68] 同時採用數位化管理平台
[870.68-873.68] 提升整個供應鏈的透明度和靈活性
[873.68-874.68] 研發方面的話
[874.68-878.68] 我們會持續的鼓勵研發團隊發揮創意和想像力
[878.68-882.68] 並且我們目前已經很多所國內外的全球頂尖大學
[882.68-885.68] 和研究機構共同研發前瞻的技術和產品
[885.68-886.68] 未來的話
[886.68-890.68] 也會將基於整個擅長的精密製造和現金材料技術為基礎
[890.68-893.68] 那在生產流程導入AI人工智慧
[893.68-896.68] 並且採取軟硬體並重的策略同步升級
[896.68-898.68] 那在財務策略方面的話
[898.68-901.68] 宏準這邊未來將會強化財務和現金流的管理
[901.68-903.68] 優化成本結構
[903.68-904.68] 提升營運效能
[904.68-906.68] 那增強整個企業韌性
[906.68-910.68] 讓我們可以在應對整個國際形勢不明的情況之下
[910.68-912.68] 有更多充分的準備
[912.68-916.68] 那目前在財務數據和經營管理預算管控等等的項目的話
[916.68-918.68] 已經採用整個自動化的程序化軟體
[918.68-921.68] 並且不斷的改進相關策略
[923.68-924.68] 整體而言的話
[924.68-927.68] 目前整個宏準的服務據點還是以
[927.68-932.68] 可能包含台灣中國大陸和一些東南亞佈局為主
[932.68-935.68] 那目前營運總部的話是在台灣的土城
[935.68-940.68] 那主要的製造地點會包含中國大陸還有越南等地
[940.68-942.68] 那目前的生產基地的話
[942.68-944.68] 有機會往全球各地做拓展
[944.68-945.68] 那已經在北美和日本進行
[945.68-947.68] 相關的服務據點
[947.68-953.68] 接下來的話會就整個財務表現跟大家做說明
[953.68-958.68] 那宏準這邊的話第一季的合幣淨利是新台幣的9.53億元
[958.68-962.68] 那是較去年的第一季增加1.04億元
[962.68-964.68] 年增率是來到了12.22%
[964.68-967.68] 那美股的EPS則是0.67元
[967.68-973.68] 那各個重要數據的話包含我們的營收年增率是來到了238.2%
[973.68-974.68] 營收的毛利年增率則是0.67元
[974.68-977.68] 那貿易的毛利年增率則是來到了37.52%
[977.68-981.68] 那營業淨利的年增率是41.35倍
[981.68-985.68] 營業外的收入的話則是有比較明顯的降低
[985.68-989.68] 那業外收入的話這邊是下降了是10.98%
[989.68-990.68] 不過整體而言的話
[990.68-994.68] 母公司業主基金的年增率也是來到了12.22%
[994.68-996.68] 那各個部門的營收可以看到
[996.68-1002.68] 那當然2025年第一季主要是受惠於整個核心大客戶的一個出貨拉貨需求
[1002.68-1003.68] 所以讓遊戲機相關產品的營收是來到了12.22%
[1004.68-1007.68] 那這個產品的一個佔比是往上做提升
[1007.68-1011.68] 那可以看到2024年第一季的話遊戲機佔比是59.8%
[1011.68-1013.68] 散熱者是26.4%
[1013.68-1015.68] 機殼是8.8%
[1015.68-1017.68] 輕金屬是3.5%
[1017.68-1020.68] 那2025年第一季的話遊戲機是來到87%
[1020.68-1023.68] 散熱模組的話是8.4%
[1023.68-1026.68] 那機殼的話也是3.7%
[1026.68-1031.68] 那剩下大約1%的話就是有其他的一個服務項目去做貢獻
[1034.68-1038.68] 那現在出貨的新的商品的話就是
[1038.68-1041.68] 水準的商品也有比較多的供應
[1041.68-1042.68] 我們經常看到我們在公司的行業表方面的話
[1042.68-1046.68] 其實可以看到我們主要的經營狀況就是持續的好轉
[1046.68-1048.68] 在過去幾個季度的話都是有明顯的提升
[1048.68-1056.68] 那主要在整個歸屬母公司這邊營業利益的方面的話是持續做好轉跟提升一個狀況
[1056.68-1060.68] 那資產負債表的話可以看到我們主要最注重的就是整個股東權益的積累
[1060.68-1062.68] 那過去幾個季度我們股東權益可以看到在2023年之後就是持續做提升
[1062.68-1064.98] 的话也是有一个优化的情况
[1067.04-1070.88] 那现金的话我们就在在于就是来自营业活动的现金流
[1071.12-1077.28] 可以看到我们这个几个季度的话主要就是在这个营业活动的现金流方面的话是持续做好转一个迹象
[1078.80-1081.88] 各项主要指标的话可以给大家做一个参考
[1082.14-1087.00] 那目前我们就是持续的在一些必要项目当中做积极的投资
[1087.26-1091.36] 那包含整个资本支出和研发方面的话也都是有一定的成效
[1091.36-1093.92] 那之后有个好消息的话也跟大家做回馈
[1095.72-1101.60] 各项主要比率方面的话我们这边就是主要的就是股东权益比的提升是我们首要目标之一
[1101.86-1106.20] 那当然整个负债的占比和资产占比都在一个稳定区间之内
[1107.74-1113.12] EPS的话目前可以看到其实从去年第一季开始我们就是稳健的做上升
[1114.92-1116.96] 以上是我们的财务资讯那
[1117.22-1121.32] 当然大家会想要知道我们整个2025年上半年的一个整体展望
[1121.62-1124.68] 那我们就是以整个上半年为公面来看的话
[1124.94-1128.02] 目前在游戏机方面我们单纯就营收的
[1128.28-1130.84] 部分我们认为是一个正向增长的情况
[1131.08-1132.12] 那同比的
[1132.62-1136.72] 状况的话做提升那机壳方面的话也是做一个提升的一个情况
[1137.24-1141.08] 那散热模组的话上半年应该整个年增率是做一个持平
[1141.32-1144.92] 那其他的产业和服务的话也是一个持平的情况
[1147.22-1151.32] 那当然不可或许还是需要跟各位投资先进叙述一下我们目前
[1151.62-1153.66] 公司积极发展的整个永续发展
[1154.18-1155.96] 的策略还有公司自己方面的成就
[1156.48-1160.06] 那2024年的时候呢我们成立了整个永续推动办公室
[1160.32-1162.62] 整合了红准机密的人力和物力
[1162.88-1165.18] 展示我们这边推动永续的行动力
[1165.70-1172.10] 那接下来的话红准将持续于整个文件中求创现理念向所有联合关系人表达永续经营承诺
[1172.60-1176.96] 那以下跟大家宣布一下整个2024年重点项目和实施成果
[1177.48-1178.76] 第一点在持续
[1179.00-1181.32] 增进公司自己方面的话
[1181.62-1183.40] 红准这边是坚持营运透明
[1183.66-1186.48] 那我们特别注重股东和利害关系的权益
[1186.74-1188.78] 那我们相信健全而且永效永实
[1189.04-1190.84] 董事会会是公司自己的基础
[1191.08-1195.44] 那这边的话特别定立整个公司治理实务守则维护股东权益
[1195.70-1199.54] 平等对待股东并且强化董事会的结构和运作
[1200.30-1206.44] 提升整个资讯透明度和落实永续发展并且协助投资人和利害关系人更加了解
[1206.70-1207.98] 我们公司的治理成效
[1208.76-1210.80] 第二点则是加强资讯安全
[1211.06-1211.32] 那为了
[1211.62-1213.40] 为了追求整个7月永续经营
[1213.66-1215.46] 我们是以守护顾客信任为主
[1215.72-1221.86] 那红准这边持续推动公司资讯安全政策维护公司的执行机密性完整性可用性和
[1222.12-1222.62] 合适法性
[1222.88-1223.40] 避免
[1223.64-1226.72] 当发生人为疏失或者是一些蓄意破坏
[1227.24-1232.60] 甚至自然塞的时候呢导致资产的不当使用泄露篡改回损遗失等情形
[1232.86-1235.94] 并且影响公司的作业或损及公司的权益
[1236.44-1239.52] 那第3点则是增加使用整个再生能源
[1239.78-1241.32] 我们红准机密认为我们身为
[1241.62-1242.38] 的引导厂商
[1242.64-1243.40] 是以整个
[1243.66-1246.22] 节能低碳与室环保作为永续发展
[1246.48-1248.02] 并且肩负该项使命
[1248.28-1250.84] 红准机密这边承诺将会严格遵守
[1251.08-1255.18] 一些自身活动产品和服务相关的环境能源法规
[1255.44-1256.98] 并且配合客户的需求
[1258.00-1261.32] 目前在一些重要移植据点接导入这个ISO
[1261.58-1265.94] 14001的环境管理系统并且已经完成了外部验证
[1266.20-1267.98] 将来的话会持续推动改善
[1268.24-1271.06] 并且降低和预防重大潜在的环境影响
[1271.36-1273.92] 那当然如果以
[1274.18-1279.80] 不同的ESG面向来看的话我们可以看到在公司自己的话目前红准的五位董事当中
[1280.06-1282.36] 已经有过半数以上的独立董事
[1282.62-1287.24] 等于说我们三席的独立董事已经在五席董事成员当中占到60%
[1287.48-1290.30] 并且我们有两位的女性独立董事
[1290.56-1291.84] 达到40%
[1292.36-1296.20] 那涉有永续委员会是直接由董事长担任委会主席
[1296.44-1301.32] 那并且由总经理和各个厂区的高阶主管担任委员会的主委和副主委
[1301.62-1304.44] 那他们会共同制定公司的永续策略方向
[1304.68-1306.22] 还有出导相关的永续专案
[1306.48-1311.08] 而这个永续推动办公室呢将会负责落实委员会这边的一个指导策略
[1311.34-1314.68] 并且以三大的面向共同推进永续业务
[1315.44-1320.82] 那在环境保护方面的话呢红准这边各个厂区是不断建设太阳能发电设施
[1321.08-1322.60] 以及购买绿电凭证
[1322.86-1325.68] 未来将会增加使用可再生能源的比例
[1325.94-1326.96] 那各类产品的话
[1327.22-1328.24] 如我们前面提到的
[1328.50-1330.28] 我们就是采用一些可回收的材料
[1330.54-1331.32] 那这个占比
[1331.62-1332.12] 持续增加
[1332.38-1335.72] 目前研发部门的话也是积极的拓展可回收材料的应用
[1335.96-1338.02] 还有减少废弃物或者包装设计
[1338.52-1341.34] 未来我们服务国际客户的一个厂商呢
[1341.60-1342.12] 不好意思
[1342.36-1347.74] 服务国际客户的工厂呢将会持续的在一些关键认证上面去做一些
[1348.00-1349.28] 比较明确的进展
[1349.80-1351.84] 目前我们已经推动整个
[1352.36-1358.50] 烟台附准还有佛山的权益大取得整个1月2799的一个废弃物临业买薄金级
[1358.76-1359.78] 和金级认证
[1360.04-1361.32] 也就是一个比较明显的成本
[1361.62-1362.12] 成就
[1362.38-1368.52] 那在社会公益方面的话当然我们对于整个医疗机构学校和文化教育事业等等的话历年来都会提供
[1368.78-1370.58] 多项合作和捐赠计划支持
[1371.08-1374.16] 我们以实地行动光环弱势提供社福捐赠
[1374.42-1376.98] 鼓励环境教育跟奋力响应震灾
[1377.24-1380.04] 还有一些国际重大天灾时候重大地区的支援
[1380.56-1384.40] 同时呢红准这边每年会定期在各场区举办捐血活动
[1384.66-1388.50] 还有社区环境清洁共荣等的活动共同鼓励员工
[1388.76-1389.52] 服务社会
[1389.78-1391.06] 那以上是今天
[1391.36-1395.46] 我们这边准备解简报那接下来会进入整个Q&A问答时间
[1395.72-1396.22] 谢谢大家
[1404.16-1410.30] 我们非常感谢静团队的分享然后接下来是我们的Q&A的一个交流的时间
[1410.56-1415.42] 那投资先进如果有问题的话都可以举手跟我说那我首先我先
[1415.68-1417.98] 抛砖引玉一下收集了几个问题
[1418.50-1421.32] 第一个呢是想要请问发言人就是
[1421.62-1427.76] 公司持有的这个Visio股票去年被Walmart收购之后呢是否已经认列在损益表
[1428.02-1428.52] 当中
[1429.04-1430.84] 或者预计何时贡献
[1432.88-1434.42] 谢谢谢谢
[1434.68-1437.24] 投资先进的问题那我想Walmart这个
[1438.00-1441.58] 事情其实Visio从以前到现在都是我们重要合作客户
[1441.84-1446.44] 那我们也是从2000年初的时候就有投资Visio这家公司
[1446.70-1451.32] 那可以跟大家报告的是Visio这一笔的一个投资我们当初就是
[1451.62-1453.92] 张列在FEOCI当中
[1454.44-1456.22] 所以它的一个
[1456.48-1460.58] 收购或者是它的一些变化的话不会认列在损益表里面
[1460.84-1461.86] 而是在整个
[1462.12-1465.96] 资产负债表当中作为股东权益的一个增加项
[1466.46-1470.04] 那我相信这方面的话在财报当中也可以直接做看到
[1470.30-1476.44] 不过反过来讲因为这一笔是蛮大的一个收购所以我们这边在现金方面也是得到蛮大支持
[1476.70-1480.80] 那未来的话我相信静团队这边会利用这一笔整个收购之后
[1481.62-1482.12] 获得资金
[1482.38-1487.76] 那去做一些更长远的规划包含投资建设等等的话都是可能的一个方向
[1488.02-1488.52] 谢谢
[1490.06-1496.20] 谢谢另外就是说最近这个中美啊关税啊等等的议题也都受到大家市场非常广泛的
[1496.46-1502.60] 一个关注然后我们也有投资先进问到说公司是否有规划未来到美国设厂
[1502.86-1503.38] 这样的一个
[1503.64-1504.14] 想法
[1506.20-1507.72] 是我想
[1508.76-1511.32] 往国外设厂这件事情当然是说
[1511.62-1514.44] 所有投资人都非常关心的一件事了
[1514.94-1521.08] 那对红准而言的话我必须说任何的一个投资还有设厂的规划都必须要经过
[1521.34-1522.12] 非常
[1522.36-1523.40] 准密的
[1523.64-1525.44] 推断还有内部的讨论
