[0.00-9.08] 各位投資先進
[251.92-255.12] 智慎跟軍華都已經開始逐步切入
[255.12-260.22] 把我們本身擁有的核心技術切到整個Recurrent的一個新的生產製造方式
[260.22-263.96] 我們也期待在未來的幾年它可以延伸我們的運用程序來進行進展
[264.06-269.06] 另外一個創造我們在半套地產業裡面的另外一隻腳可以發展出來
[269.06-271.06] 所以這是我們很期待的一個方向
[271.06-274.06] 那我們來看產業
[274.06-276.06] 產業現在我們看到了
[276.06-285.06] 現在這算是毛澤勳在4月30號國會山莊跟矽谷論壇上面闡述的一個議題
[285.06-288.06] 他提到的事情是現在才開始而已
[288.06-293.06] 但是我的確可以看到因為總體經濟跟中美貿易的關係
[294.06-297.06] 產業上資本市場的一個投資朋友會覺得很擔憂
[297.06-300.06] 但是以我們在產業界的角色我們看到的是
[300.06-302.06] 這個是一個剛開始的驅動
[302.06-309.06] 因為我們看到了現在是感知AI跟生成式AI在這幾年已經陸續已經逐步在建構
[309.06-312.06] 尤其現在生成式AI從2023年
[312.06-316.06] 2022年23年都陸續開始做很多人基礎建設
[316.06-319.06] 所以生成式AI的建設完成之後
[319.06-322.06] 就開始會往AI的20AI走
[322.06-324.06] 這個其實如果各位有興趣的話
[324.06-330.06] 各位有興趣可以看一下他在4月30號那個視頻
[330.06-332.06] 闡述的蠻清楚的
[332.06-335.06] 就我們在業界的業界在耕耘的一個設備上
[335.06-340.06] 也可以從裡面得到很多對未來很清楚的知識跟期待
[340.06-346.06] 而且現在看起來這有點像1985年代電腦生產
[346.06-349.06] 廣際網路生產的時代的變化
[349.06-352.06] 那個步驟目標方向幾乎基本上是一致的
[352.06-356.06] 所以我覺得各位可以比較放心在中長期的趨勢來說
[356.06-357.06] 他是不用擔心的
[357.06-358.06] 他不是泡沫
[358.06-361.06] 他是一個很清楚的現在進行式
[361.06-364.06] 很清楚現在正在往這邊發展的一個方向
[364.06-370.06] 那我們在去年法術會的時候就分享一個資訊
[370.06-372.06] 跟很多投資朋友分享
[372.06-376.06] 台灣這一條的西部黃金廊道是非常非常的重要的
[376.06-380.06] 從去年4月30號我們在法術會才有產出這個論述
[380.06-381.06] 事實上從現在進行的這個論述來講的話
[382.06-385.06] 我們現在回推去年整體的狀況的確也是
[385.06-389.06] 從晶圓製造、仙金製程到仙金盟裝
[389.06-391.06] 都是全世界最重要的重鎮
[391.06-393.06] 那G2C呢
[393.06-398.06] G2C北重、土城、林口、新竹、台中
[398.06-399.06] 我們都有G2C的
[399.06-402.06] 都在服務這些西部廊道很重要的客戶
[402.06-404.06] 從方劇場的客戶到歐盛場的客戶
[404.06-408.06] 都是一個很重要的一個我們服務的對象
[408.06-410.06] 所以我們都是採用就近服務
[410.06-412.06] 協助客戶加速
[412.06-415.06] 開發新的製程的一個角色
[415.06-418.06] 那從台積電在
[418.06-420.06] 我們很重要的客戶台積電在去年
[420.06-422.06] 也分享方劇2.0的議題
[422.06-424.06] 那我們也在方劇2.0上看到
[424.06-426.06] 我們從2022年有一個感受
[426.06-428.06] 很強烈的感受
[428.06-430.06] 到現在2025年
[430.06-432.06] 這感受越來越清楚
[432.06-433.06] 也很明顯
[433.06-435.06] 就是晶圓大廠向下展覽這個事情
[435.06-438.06] 是不斷的趨勢
[438.06-440.06] 尤其在上個禮拜
[440.06-441.06] 在
[442.06-444.06] 客戶在技術任何有宣布
[444.06-446.06] 也提到一件事情就是
[446.06-448.06] 方劇2.0開始做整合
[448.06-450.06] 這也是從兩年前發生的事情
[450.06-452.06] 所以我們在業界的
[452.06-454.06] 產業界裡面的一個
[454.06-456.06] 各公司
[456.06-458.06] 只要在這個site裡面的公司
[458.06-460.06] 都會有很強的感受是
[460.06-462.06] 從方劇先進製程開始往下到
[462.06-464.06] Germans Package
[464.06-466.06] 再往下他開始往測試端種
[466.06-468.06] 因為他是不得不的
[468.06-470.06] 為什麼是因為經費太貴
[470.06-472.06] 所以他必須才做這些整合
[472.06-474.06] 然後我們也看到另外一個
[474.06-476.06] 從去年
[476.06-478.06] 至少從去年年初開始
[478.06-480.06] 我們看到Ocean的廠從原本的FanLoud
[480.06-482.06] 一直想要往上耕耘到2.3D
[482.06-484.06] 2.5D的一個發展
[484.06-486.06] 從原本的可能是
[486.06-488.06] Freeship FanLoud 2.3D 2.5D
[488.06-490.06] 去發展
[490.06-492.06] 這個趨勢也沒有變
[492.06-494.06] 因為他們也很多我們的客戶也想要
[494.06-496.06] 從這邊去往上去爭取
[496.06-498.06] 更高附加價值的晶片封裝技術
[498.06-500.06] 他們也用這個技術
[500.06-502.06] 開始跟晶圓大廠
[502.06-504.06] 有些互相有不同的賽道
[504.06-506.06] 那當然另外一個方面
[506.06-508.06] 像在2024年的時候
[508.06-510.06] 我們也看到我們的Ocean廠是
[510.06-512.06] 開始銜接晶圓大廠的T-Light的
[512.06-514.06] 一個製程的分配
[514.06-516.06] 他開始去做一些
[516.06-518.06] 做一些外包動作
[518.06-520.06] 這也可以傳出
[520.06-522.06] 可以看到我們在方劇2.0的議題
[522.06-524.06] 讓大家更清楚
[524.06-526.06] 接下來世界是多元化
[526.06-528.06] 這個多元化代表機會很多
[528.06-530.06] 有什麼機會呢
[530.06-532.06] 我們從方劇2.0的經營大廠
[532.06-534.06] 或者從Ocean的資本支出
[534.06-536.06] 都是我們爭取的對象
[536.06-538.06] 以G2C的角色來說
[538.06-540.06] 我們跟Ocean廠已經經營了四五十年
[540.06-542.06] 所以我們也是一個很重要的合作夥伴
[542.06-544.06] 我們跟方劇廠也是一個很重要的合作夥伴
[544.06-546.06] 所以這些所有的賽道
[546.06-548.06] 都是我們現在正在努力的
[548.06-550.06] 在這次的開發
[550.06-552.06] 我們可以說是
[552.06-554.06] 我們有機會
[554.06-556.06] 我們可以說是
[556.06-558.06] 我們可以說是
[558.06-560.06] 我們可以說是
[560.06-562.06] 我們可以說是
[562.06-564.06] 這是我們上個禮拜
[564.06-566.06] 我們客戶在技術訓練場
[566.06-568.06] 揭露的一個資訊
[568.06-570.06] 以身為
[570.06-572.06] 我們跟他合作的設備上來說
[572.06-574.06] 我會覺得非常高興
[574.06-576.06] 因為他們很正式去告訴大家說
[576.06-578.06] 世界長什麼樣子
[578.06-580.06] 他要去哪裡
[580.06-582.06] 這件事情讓我們更有感覺
[582.06-584.06] 而不是去猜測
[584.06-586.06] 他已經很明確告訴我們
[586.06-587.66] 在Covas他的
[587.66-590.54] 2026年它整個Kegel是80%
[590.54-592.54] XYC是100%
[592.54-595.74] 那它的測試它也是Kegel是80%
[595.74-596.54] 很清楚
[596.54-597.50] 那這個清楚之外
[597.50-599.50] 其實我們想要看到更深入的東西
[599.50-601.50] 我們看了有幾個面向
[601.50-603.50] 我們覺得非常非常興奮
[603.50-605.50] 第一個是我們看左下角這邊
[605.50-606.86] 它也在產出到COVAX
[606.86-608.86] 從原本的critical size
[608.86-610.86] 從3.3倍到9.5倍的變化
[610.86-614.06] 再到2027年才會有9.5倍的變化
[614.06-614.86] 這代表什麼
[614.86-618.94] 代表它的chip單價越來越高
[618.94-619.98] 越來越難做
[619.98-621.50] 越來越難做代表另外一件事情
[621.50-623.10] 是疊帶速度會加快
[623.10-625.50] 那身在其中賽局的設備商
[625.50-628.54] 能不能跟著這個技術去疊帶
[628.54-629.58] 這是很重要的事情
[629.58-632.46] 我們回去看前段五大設備商
[632.46-634.54] 五大設備商其實在20幾年
[634.54-636.54] 就開始跟著客戶不斷疊帶
[636.54-639.26] 這個疊帶如果跟得上的廠商
[639.26-641.50] 它會跟著成長
[641.50-642.54] 很快速的成長
[642.54-643.90] 那我們來看自己
[643.90-644.78] 台灣這幾大設備商
[644.78-647.34] 是不是有能力跟上這些客戶
[647.34-648.30] 我們重要的客戶
[648.30-649.50] 在做這麼快的疊帶
[649.50-652.14] 這是一個需要非常清楚
[652.14-654.22] 被注意跟論述的
[654.22-656.30] 那我們看右上方
[656.30-657.98] 左下方是COVAX
[657.98-659.82] 那右上方我們看到另外一個
[659.82-663.02] 我們一再討論的論述是說
[663.02-667.34] 接下來它開始有SOW的一個應用
[667.34-668.06] 應用在哪裡
[668.06-668.86] 應用在車用
[668.86-671.18] 現在的確現在車用的市場
[671.18-673.26] 並沒有特別好
[673.26-674.62] 但是大家也會看到
[674.78-676.22] 現在的車用的經驗
[676.22-677.34] 都可以知道接下來自駕車
[677.34-678.62] 也是另外一種機器人
[678.62-681.18] 那它需要的是更整合性的晶片
[681.18-682.46] 這單一個晶片上
[682.46-685.02] 它包含做了CHOOP
[685.02-686.30] 做了COVAX
[686.30-687.26] 做了SOW
[687.26-688.22] 也做了什麼
[688.22-690.14] 也做了很多的載滿的製程都在裡面
[690.14-691.42] 一次性把它做好
[691.42-693.42] 這個單價是最
[693.42-697.82] 在看它的一個技術論壇上的一個分享
[697.82-700.86] 我們就覺得這個世界看起來看得到了
[700.86-703.42] 而不是像現在我們自己覺得是在一個罷端
[703.42-704.62] 已經看已經告訴大家
[704.78-706.06] 它有一個MILESTONE
[706.06-707.34] 這MILESTONE很具體
[707.34-709.90] 所以我們會覺得
[709.90-711.18] 不僅止於COVAX
[711.18-712.46] 不僅止於SOW
[712.46-713.74] 它的成長速度
[713.74-715.02] 我們回來看自己
[715.02-716.30] 我是不是在這個賽道上
[716.30-718.86] 而不是客戶在哪
[718.86-721.42] 所以我們回來解釋自己的確
[721.42-723.98] 我們都在這幾個賽道上跟各位分享
[723.98-726.54] 那回來至勝
[726.54-731.66] 我們在2023年得到量產能資源獎之後
[731.66-733.90] 至上2024年也得到它的一個
[733.90-734.62] 另外一個夏威夷的獎項
[734.78-737.34] 那也代表客戶對我們的一個期待
[737.34-738.62] 希望我們可以跟得上
[738.62-741.18] 這也是我覺得現在
[741.18-742.46] 我們重要的客戶們
[742.46-745.02] 他在談到在地化生產
[745.02-746.30] 在地化採購的思維
[746.30-747.58] 其實影響會很大
[747.58-751.42] 但是他這也延伸到另外一個思維
[751.42-755.26] 就是說我們的基本的構面
[755.26-756.54] 跟基本的資源
[756.54-760.38] 不足夠支撐到客戶需要的未來發展
[760.38-761.66] 這是一個很重要的事情
[761.66-764.22] 所以我們現在很強調是我們在人工程師的
[764.78-766.06] 能力上的一個準備
[766.06-768.62] 來面對客戶下一個世代或下兩個世代
[768.62-772.46] 他在上個禮拜的基礎論壇提到
[772.46-773.74] 2026 2027
[773.74-776.30] 還沒提到2029 2030
[776.30-777.58] 他放生提到2027的時候
[777.58-778.86] 我們要做很多事情
[778.86-781.42] 所以這點是台灣的設備商
[781.42-785.26] 目前至少現在在台面上這幾家設備商
[785.26-786.54] 能不能跟得上
[786.54-787.82] 這是一個重要議題
[787.82-791.66] 現在員工跟家族支股其實非常穩定
[791.66-794.22] 因為這個穩定會讓整個經營層非常穩定
[794.78-797.34] 策略上的執行會很統一
[797.34-798.62] 步調會統一
[798.62-801.18] 尤其是現在我們在居土系的角色
[801.18-807.58] 我們居土系現在除了是股權有互相持股之外
[807.58-812.70] 我們Franklin總經理也在軍淘擔任執行長
[812.70-813.98] 在軍淮擔任執行長
[813.98-816.54] 這個在整個策略上的步調
[816.54-817.82] 調整速度會比較快
[817.82-822.94] 這個也是我們現在面對我們很多家大型客戶
[822.94-824.22] 我們覺得我們可以很快才能步調的原因
[824.78-827.34] 有幾個例子
[827.34-829.90] 藉由今天法說會跟各位分享
[829.90-833.74] 第一個其實現在看在4月2號之後
[833.74-836.30] 關稅的狀態變化很大很劇烈
[836.30-840.14] 其實每個禮拜都有新的新聞出來
[840.14-841.42] 甚至每幾天都有新的新聞出來
[841.42-843.98] 我們來看我們自己
[843.98-846.54] 先跟各位分享一下自身本身
[846.54-850.38] 自身本身絕大部分交易是以台幣Fov交易為主
[850.38-854.22] 所以影響光是一個Fov交易影響不大
[854.78-856.06] 我們去看過去三年
[856.06-861.18] 我們直接交美國的贈品大概0.2到0.5%
[861.18-865.02] 這個影響非常非常小
[865.02-868.86] 就直接對美國的一個關稅狀態
[868.86-870.14] 我們來看匯率
[870.14-872.70] 匯率我們去看到現在為止
[872.70-876.54] 我們含一定未消美金單
[876.54-879.10] 交易金額大概占了10%左右
[879.10-880.38] 一成左右
[880.38-884.22] 這一成左右假設匯率每升值1%左右
[884.78-886.06] 這個影響大概0.6%
[886.06-889.90] 0.4%到0.7%之間的一個毛利率
[889.90-892.46] 所以影響其實很小
[892.46-896.30] 所以我們想要藉由今天這個場合跟各位分享
[896.30-900.14] 我們在目前的全球貿易的一個關稅壓力的匯率波動上
[900.14-902.70] 我們應該是相對影響比較小的公司
[902.70-907.82] 尤其在目前我們在跟我們的關鍵客戶業交易匯率
[907.82-909.10] 還是以在地化匯率為主
[909.10-910.38] 也是屬於共同利益
[910.38-914.22] 所以對我們財報影響會很小
[914.78-921.18] 除了這個之外我們來看幾個營業的一個目標
[921.18-925.02] 跟我們現在跟著領先客戶的企業發展的狀態
[925.02-927.58] 第一個我們看到了四大PSP場
[927.58-930.14] 它的資本支出還是沒有停
[930.14-931.42] 卡片行還是沒有停
[931.42-932.70] 它沒有停
[932.70-935.26] 對我們來說其實信心度也是足夠的
[935.26-937.82] 再加上我們的客戶在上禮拜的一些分享
[937.82-940.38] 我們更清楚我們走對來路是對的
[940.38-941.66] 縱使它的短期的波動
[941.66-944.22] 的確有可能因為短期的波動影響到
[944.78-946.06] 我們市場的信心
[946.06-949.90] 但是在整體的一個業界的設備產業來看的話
[949.90-951.18] 我們是穩穩跟著走
[951.18-955.02] 因為設備今天不會說叫就叫停就停
[955.02-956.30] 不會反應壞了
[956.30-957.58] 那以將來我們來看一下
[957.58-961.42] 第一個是2.5D的LFPS Package
[961.42-962.70] 它需求性沒有太大的改變
[962.70-963.98] 太大的變化
[963.98-967.82] 那短期的震盪我們覺得那面反而就是一個會有一個
[967.82-970.38] 因為隨著客戶的產務氣口
[970.38-971.66] 隨著客戶的母音費
[971.66-974.22] 今天跟明天可能會稍微往前拉往後退
[974.78-977.34] 這是對我們來說我們會覺得很正常
[977.34-978.62] 這配合客戶母音費的變化
[978.62-979.90] 所以我們覺得還好
[979.90-983.74] 那第二個重要點是我除了面對到客戶
[983.74-987.58] 可能也因為有2.5D的先進封裝的一個調配
[987.58-990.14] 產能調配變慢變快的狀態
[990.14-991.42] 我有沒有其他機會
[991.42-992.70] 有沒有進去呢
[992.70-996.54] 第一個機會是我們現在在有很多的一個新的機會
[996.54-997.82] 第一個跟各位分享是
[997.82-1000.38] 我們在除泡上除泡
[1000.38-1004.22] Devoid的技術我們現在已經進到Oxygen上
[1004.78-1007.34] Oxygen已經認證過我們的設備
[1007.34-1009.90] 所以我覺得這是五星的製程站點
[1009.90-1011.18] 我們剛剛分享到
[1011.18-1015.02] Fungi 2.0從上的Fungi上下的Oxygen上
[1015.02-1017.58] 那我們在Oxygen上有什麼經營的成果
[1017.58-1018.86] 我們第一個成果就是
[1018.86-1022.70] 我們在Devoid的技術已經認證在今年開始做銷售
[1022.70-1026.54] 所以我們可以看到我有新增的站點增加
[1026.54-1032.94] 而不是既有了站點受到客戶的交貨的變動影響
[1032.94-1033.90] 這個沒有做
[1033.90-1034.78] 這個影響就相對比較大
[1034.78-1035.50] 比較小
[1035.50-1037.98] 然後第二個我們跟著客戶在長期
[1037.98-1039.90] 拿WeaverFoam的一個開發
[1039.90-1041.82] 這個是一個比較Long-term
[1041.82-1043.74] 可能是3到5年的一個趨勢
[1043.74-1048.30] 那我們從既有我們了解了WeaverFoam的一個技術發展
[1048.30-1050.14] 我們也懂WeaverFoam
[1050.14-1052.70] 然後第二個我們懂Glass Subtract
[1052.70-1057.50] 所以我們是一個進口跟退口手的一個設備商
[1057.50-1059.90] 我們了解2.5D包裝
[1059.90-1061.34] 我們也了解玻璃怎麼運用
[1061.34-1063.58] 所以我們現在跟客戶在努力在開發
[1063.58-1064.22] 但也是
[1064.22-1068.54] 但是這個也要看我們本身有沒有足夠資源的上來
[1068.54-1072.54] 我還是強調這一塊我們要展現在工程資源投入的狀態
[1072.54-1076.78] 讓客戶有信心才是真正有意義的
[1076.78-1079.98] 那我們來看整個財務的回顧
[1079.98-1082.78] 二五年Q1我們來看一件事情就是
[1082.78-1085.18] 我們整體的一個YOY
[1085.18-1088.78] 因為設備商它的出貨高高低低
[1088.78-1090.06] 因為我們跟客戶的Modem
[1090.06-1092.38] 所以我常常建議客戶來看YOY
[1092.38-1093.02] 各位是同...
[1093.02-1093.66] 各位是同...
[1093.66-1094.14] 各位是同...
[1094.22-1096.78] 各位資本市場的一個朋友來看YOY
[1096.78-1099.18] 我也比較知道說我們成長的狀態如何
[1099.18-1102.70] 那以整體的Q1 YOY是21.5%
[1102.70-1104.70] 那各位可能會比較好奇的是
[1104.70-1106.70] 為什麼營業費用會變高
[1106.70-1108.70] 呼應到剛我跟各位分享一件事情就是
[1108.70-1114.70] 我們在工程能力從去年開始會有加大人力的一個佈局
[1114.70-1116.06] 所以我們在工程能力的佈局
[1116.06-1117.50] 我們從20...
[1117.50-1118.94] 我們這三年
[1118.94-1120.78] 我可以分享一個數字給各位
[1120.78-1122.54] 我們從這三年我們的人力
[1122.54-1124.06] 工程能力增加三幾%
[1124.22-1129.82] 這個目的是為了準備下一個世代
[1129.82-1133.18] 或是跟著客戶可以疊代的一個工程能力
[1133.18-1136.06] 因為一個問題是工程能力不今天準備好
[1136.06-1137.66] 明天就可以發酵
[1137.66-1140.14] 所以我們藉由這三年累積下來的能力
[1140.14-1141.82] 累積下來的工程的一個背景
[1141.82-1144.70] 讓我們可以準備面對客戶接下來一個
[1144.70-1148.30] 接下來的3D IC的疊代
[1148.30-1151.74] 然後再來就是可能是INFO 2.0D的疊代
[1151.74-1154.06] 再過來就是NORMAL EFFORM的疊代
[1154.22-1156.78] 這是我們在面對的一個狀態
[1156.78-1158.78] 毛利率跟各位分享是
[1158.78-1161.90] 從2023、2024的時候
[1161.90-1164.78] 我們已經佔上40%的一個二比均毛利率了
[1164.78-1168.54] 我們在2025年Q1大概是43%
[1168.54-1172.14] 當然這個也會跟隨著我們的出貨的變化調整
[1172.14-1177.26] 但是基本上不會影響到平均毛利率
[1177.26-1179.18] 這是我們看到的一個現象
[1179.18-1181.58] 所以我們在產業跟產品組合的改變
[1181.58-1184.06] 的確也讓我們看到整個毛利率
[1184.22-1186.78] 滿這五年變化的一個狀態
[1186.78-1190.06] 營收組成的部分
[1190.06-1192.06] 我們在2024年的時候
[1192.06-1194.46] 半導體在我們營收比率大概35%
[1194.46-1195.74] 2024年
[1195.74-1198.30] 我們在2023年大概佔57%
[1198.30-1201.18] 所以就可以看到2023、2024是一個很劇烈的
[1201.18-1203.74] KEGGER是將近翻倍、翻倍的狀態
[1203.74-1205.98] 那我們在2025年Q1
[1205.98-1208.54] 從35%到已經拉到40%
[1208.54-1211.90] 所以它當然會讓我們的整個毛利率變化
[1211.90-1214.06] 會朝向正向的趨勢來發展
[1214.22-1219.34] 從這張圖我們可以看到
[1219.34-1223.18] 全世界全時大的AllSales場都是居土系的合作伴
[1223.18-1227.02] 我們也期待AllSales場在Foundation 2.0的議題之下
[1227.02-1228.94] 打一手往2.5G發展去耕耘
[1228.94-1229.90] 我們有沒有機會
[1229.90-1234.70] 這是靠我們的居土系聯盟的一個努力的力道
[1234.70-1241.90] 至少從幾年前開始我們開始在注意一件事情
[1241.90-1244.14] 我們不會純然去注意半數的
[1244.22-1251.90] 因為我們有一個很積極的產業分類
[1251.90-1254.46] 我們從這個均衡的角度看到
[1254.46-1258.30] 我覺得蠻值得驕傲的事情就是
[1258.30-1260.86] 我們的產業都不劃到AI的領域
[1260.86-1262.14] 怎麼說呢
[1262.14-1268.54] 我們從3D IC的SOIC到HTML
[1268.54-1269.82] 我們本身就有設備在裡面
[1269.82-1271.34] 在跟客戶做開發
[1271.34-1272.94] 而且陸續在佈局
[1272.94-1274.06] 陸續在跟著發酵
[1274.22-1278.06] 當然從前兩年的CoreOS之外
[1278.06-1279.98] 我們在去年
[1279.98-1281.26] 算是今年吧
[1281.26-1284.46] 今年我們在Final Test上的Brainin
[1284.46-1285.74] 也有一些好的消息
[1285.74-1288.70] 當然它短時間不會馬上有太大的營收
[1288.70-1290.86] 但是至少它在Brainin的技術上
[1290.86-1292.14] 我們也被認證了
[1292.14-1293.42] 被認證通過之後
[1293.42-1296.86] 我們也期待我們的客戶可以在Final Test上
[1296.86-1297.90] 可以開始發酵
[1297.90-1299.82] 發酵對我們來說也是另外一個
[1299.82-1302.38] 很好的資本支出的受益的一個角色
[1302.38-1303.66] 各位也知道我們在Final Test上的工程師
[1303.66-1304.06] 我們也有很多的工作人員在Final Test上可以開始發酵
[1304.22-1306.78] 所以很清楚資政一直在
[1306.78-1308.86] 我們在PCB領域耕耘很久
[1308.86-1310.62] 那PCB又分兩大塊
[1310.62-1311.90] 我們把它切成兩大塊
[1311.90-1313.90] 一大塊叫做傳統PCB
[1313.90-1315.74] 一個叫先進製程的PCB
[1315.74-1319.58] 先進製程的PCB叫HDI跟IC Subtrade
[1319.58-1320.86] 那我們在IC Subtrade
[1320.86-1323.42] 我們也是主力的設備有印章
[1323.42-1324.38] 我們在HDI
[1324.38-1326.62] 我們在2025年
[1326.62-1328.30] 2024年第三季之後
[1328.30-1329.50] HDI的
[1329.50-1333.66] 因為受到China Plus One跟Taiwan Plus One的議題影響
[1333.66-1336.22] 讓很多的Google Supply Chain往泰國移動
[1336.22-1340.06] 也讓我們受惠到因為泰國移動的狀態
[1340.06-1343.26] 衍生了我們拿到很多新的資本支出
[1343.26-1345.82] 所以各位可以看到我們在2024年
[1345.82-1349.98] 我們大於50%都是在AI這個晶片的生產鏈過程當中
[1349.98-1351.58] 發生的資本支出
[1351.58-1355.42] 我們也會更清楚更聚焦在往這個領域去發展
[1355.42-1358.30] 接下來比較軟性
[1358.30-1361.82] 就是我們在今年12屆的公司製品兼
[1361.82-1363.58] 我們已經到6到50%
[1363.66-1366.22] 的一個區間了
[1366.22-1367.50] 那我們認為
[1367.50-1370.06] 我們一定會努力到前面回升
[1370.06-1372.62] 為什麼我們就從這個角度
[1372.62-1373.90] 總經理也希望說
[1373.90-1375.18] 我們不要專注
[1375.18-1376.46] 不要太專注專注於技術
[1376.46-1379.02] 我們連公司自己的透明度也要來討論
[1379.02-1380.30] 各位要知道
[1380.30-1381.58] ESG的議題我們自己有投入
[1381.58-1384.14] 這些我們都要更清楚展現
[1384.14-1386.70] 展現給各位資本資產的朋友
[1386.70-1387.98] 更了解我們
[1387.98-1389.26] 而不是一直在錄出技術
[1389.26-1393.10] 那我們可以看到從2024年
[1393.66-1398.78] 公司自己的一個整個方向去更清楚的揭露
[1398.78-1401.34] 更透明的去面對資本市場
[1401.34-1403.90] 所以這點各位可以看到我們的成果
[1403.90-1406.46] 這是我們剛上個月的成果
[1406.46-1410.30] 那另外一個是我們在上一季度的法術會
[1410.30-1411.58] 跟很多投資朋友分享
[1411.58-1415.42] 我們會在2025年會針對
[1415.42-1417.98] 針對Advanced Packaging的設備
[1417.98-1420.54] 進行14067的探索經驗證
[1420.54-1424.38] 目的也是為了搭配我們重要的客戶
[1424.38-1425.66] 論述到2030年
[1425.66-1428.22] 2030年他要做RE100
[1428.22-1430.78] 2050年要做經營碳排
[1430.78-1432.06] 我們必須要先把這些準備好
[1432.06-1433.34] 才能跟他Temple E走
[1433.34-1437.18] 所以我們在今年可能會有很多ESG的議題
[1437.18-1438.46] 可能會準備
[1438.46-1443.58] 然後這張是跟各位分享是我們居土區聯盟
[1443.58-1446.14] 我們會跟著客戶
[1446.14-1448.70] 也必然要跟著客戶到海外發展
