[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 订阅 转发 打赏支持明镜与点点栏目
[150.00-179.98] 订阅 转发 打赏支持明镜与点点栏目
[180.00-209.98] 订阅 转发 打赏支持明镜与点点栏目
[210.00-239.98] 订阅 转发 打赏支持明镜与点点栏目
[240.00-269.98] 订阅 转发 打赏支持明镜与点点栏目
[270.00-271.74] 增加的一個營收增加
[660.50-662.30] 全球的銷售據點
[662.30-663.84] 大概有37個
[663.84-667.16] 那比較特殊的是在美國跟義大利這邊
[667.16-668.18] 這是我們兩個
[668.18-669.22] 一個美國發展市場
[669.22-670.50] 製造中心
[670.50-673.06] 義大利是我們樂舉的一間公司
[673.06-674.34] 那大概都是為了變成
[674.34-675.36] 踩在這邊
[675.36-678.42] 在地化當時做的一個投資
[680.22-681.50] 全球的市場
[681.50-682.78] 25個
[682.78-683.80] 那我因為
[683.80-684.82] 13個
[684.82-685.86] 事業品的板塊
[685.90-686.92] 去
[686.92-689.22] 分攤整個
[689.22-690.26] 生產基地
[690.26-692.30] 那我這邊大概就大陸就兩個
[692.30-693.58] 一個在長壽
[693.58-694.86] 一個在
[694.86-696.66] 華南的珠海這邊
[696.66-698.44] 然後在台灣等部這樣
[698.44-701.00] 那其他各個事業部他們有
[701.00-702.54] 所謂的生產品的
[702.54-703.30] 還有
[703.30-706.64] 電子材料他們需要的是分條跟土骨廠
[706.64-712.78] 所以全球的生產基地總共是25個
[712.78-715.08] 那我們的核心技術大概是
[715.08-715.86] 幾個重點
[715.86-718.68] 我們本身就是做數值合成的
[718.68-719.96] 就是我們把
[719.96-723.02] 上游的基礎的材料
[723.02-724.82] 像花樣數值啦
[724.82-728.14] 分體啦這些東西我們把它拼接成一個高分子
[728.14-729.68] 大概是
[729.68-730.96] 廣去體這樣
[730.96-733.02] 然後再經過配方技術
[733.02-733.78] 然後再去
[733.78-736.60] 我們還加上我們會有清密組合的
[736.60-738.38] 三個核心技術來
[738.38-740.70] 構成整個長期的產業力群
[740.70-744.54] 所以我們分類幾個產業都成數值板塊
[744.54-745.82] 然後光固化板塊
[745.86-747.40] 低色列入板
[747.40-749.96] 新能源跟光電半導體
[749.96-751.50] 都可以涉掠
[751.50-754.82] 只是說我們要銷售的產品是要用
[754.82-757.12] 原材料還是要用產品
[757.12-759.18] 非地主流的產品來
[759.18-763.02] 來做展現這樣而已
[763.02-765.82] 那其實我們當地主要還是做
[765.82-767.88] 整個材料建築
[767.88-769.16] 那我們過來的
[769.16-770.70] 領發的方向大概有幾個
[770.70-773.76] 一個是已經期間我們投入的生命材料
[773.76-775.82] 那現在主要還是做一些快篩
[775.86-777.90] 還有一些
[777.90-780.22] 那電子材料這邊
[780.22-782.78] 聚焦下一世代的一些
[782.78-784.82] 高明高速的機材
[784.82-786.36] 還有一些
[786.36-788.66] 特殊的感光型的材料
[788.66-790.70] 那先進構裝材料這邊
[790.70-792.76] 是做一些比較
[792.76-795.06] CoreWAS的這些類型的東西
[795.06-797.62] 液態風風膠 底填膠
[797.62-801.20] 那我們也對未來ESG的方向做一些
[801.20-803.26] 放量性的材料
[803.26-805.82] 像風力儲能 電池 新能源這邊
[805.86-807.40] 還有
[807.40-809.96] 比較環保型的水性 UV
[809.96-811.74] 還有1500這些
[811.74-813.54] 較低氨的一些
[813.54-815.34] 一些功能型的材料
[815.34-817.38] 還有比較高功能型的
[817.38-819.18] 類似材料像活炭
[819.18-822.76] 還有茶化以及高溫紙質的這種材料
[822.76-828.90] 我們公司都是未來10年的方向
[828.90-832.48] 那國際認證上面我們做了許多的認證
[832.48-833.76] 其實就是為了
[833.76-835.82] 跟國際在海對建築必須要有
[835.86-837.40] 一些收納證跟
[837.40-839.18] 專制入門票
[839.18-841.50] 大概就是這幾個
[841.50-846.36] 那緊接著我大概介紹一下
[846.36-848.14] 所謂的關固化材料
[848.14-849.42] 它的技術特色
[849.42-850.96] 還有它的產業鏈
[850.96-851.74] 還有我們
[851.74-856.08] 我這邊的銷售資訊跟整合的收藏基地的概況
[856.08-860.18] 關固化材料這個技術大概是50年前
[860.18-863.26] 從瑞士西巴格里登名出來的
[863.26-865.82] 那一開始是說用光線去
[865.86-870.46] 照光然後能夠讓地體變成物體的一個過程
[870.46-873.80] 那後來就廣泛的被應用在所謂的
[873.80-874.82] 無氣土料
[874.82-876.36] 印刷油墨
[876.36-877.38] 膠紋劑
[877.38-878.66] 後來在
[878.66-881.22] PCB板上被應用上
[881.22-883.02] 等於是整個
[883.02-885.32] 用光來做一些
[885.32-888.90] 一些應用性的材料的一個呈現
[888.90-891.72] 所以關固化材料本身就有一些性能
[891.72-895.82] 經濟環保高效的一個特色就是說
[895.86-898.42] 以前我們早期的土料是從
[898.42-900.46] 液體變固體你要去烘乾
[900.46-903.80] 那可能需要一些烘箱烘到的能流水道
[903.80-906.36] 那我們這種關固化材料大概就是
[906.36-908.14] 光底罩
[908.14-908.92] 就變成一個骨
[908.92-910.96] 而且還有
[910.96-913.02] 非常有特性
[913.02-914.54] 那在接下來
[914.54-919.16] 介紹完關固化材料之後我介紹它的產業鏈
[919.16-922.48] 現在上個的材料大概是
[922.48-924.54] 石化業就是大概是
[924.54-925.82] 氯氮多鉛純鋰
[925.86-927.90] 這種材料
[927.90-931.74] 像其他像台穌南亞長春都是我們的
[931.74-933.54] 煉料工藏
[933.54-934.82] 然後我們
[934.82-937.12] 把它合成出一些特定的
[937.12-938.92] 單體分數值之後
[938.92-940.70] 我們再加入光泥發進
[940.70-943.52] 它就變成一個關固化的一個配方
[943.52-945.32] 那關固化的配方之後
[945.32-947.10] 你就要去找適合的燈泥
[947.10-949.16] 像早期就是用拱燈
[949.16-950.70] 後來用武器燈
[950.70-954.02] 在我們現在都會用的就是燈泥
[954.02-955.82] 那現在我們在研究的是一種
[955.86-962.00] 早期我們應用的光源大概在210奈米到360奈米這個光源
[962.00-964.82] 那現在會往更低波長的
[964.82-965.84] 電子樹
[965.84-967.38] 更高波長的
[967.38-970.20] 那種核外光在這裡建造
[970.20-973.26] 那所以我們主動的工藝主要就是
[973.26-975.32] 最右手邊這幾個
[975.32-977.36] 印刷包裝
[977.36-978.38] 日化產品
[978.38-980.94] 還有找三星家電的那種
[980.94-982.74] 我們看到的那種
[982.74-983.76] 一種
[983.76-985.82] 比較亮光型的東西就是
[985.86-986.88] 都是這種東西
[986.88-987.90] 還有
[987.90-990.72] 應該女生用的那種
[990.72-993.54] 化妝品的盒子上面那種看起來亮晶晶的東西
[993.54-995.08] 其實它不是金屬
[995.08-996.36] 它就是塑膠件
[996.36-999.42] 經過光固化的東西去把它轉換成
[999.42-1001.48] 鍍金的一個東西
[1001.48-1005.32] 那當然建築成像印刷電路板跟最新的3DA
[1005.32-1007.10] 新能源都會用到
[1007.10-1010.70] 就是說它光固化的材料它涵蓋的範圍很廣
[1010.70-1013.50] 但是現在它還是有它的美景
[1013.50-1015.82] 就是說它因為它光固化所以它走出
[1015.86-1017.14] 外的這個比較困難
[1017.14-1017.90] 所以
[1017.90-1024.06] 我們看到這幾個產業比較多的大概都還是在室內使用
[1024.06-1027.38] 那我這邊的光固化材料大概就是
[1027.38-1028.14] 一直在成長
[1028.14-1029.42] 主要是
[1029.42-1030.96] 我們等於是站在
[1030.96-1034.80] 整個企業角度的ESG的治理跟
[1034.80-1037.88] 不管是我們這一階的材料工程商跟我們
[1037.88-1039.16] 下一階的
[1039.16-1039.92] 產品
[1039.92-1041.98] 應用都會談到這個東西
[1041.98-1043.76] 所以這個東西就是說
[1043.76-1045.82] 有些傳統的容器型的
[1045.86-1048.42] 或是比較高污染性的
[1048.42-1051.50] 可以轉到光固化的大家都會
[1051.50-1053.54] 在這幾年未來應該
[1053.54-1054.82] 都會陸續去往
[1054.82-1056.62] 往下往這個去轉
[1056.62-1059.18] 那所以看出突然我從
[1059.18-1060.70] 2022年比較不準
[1060.70-1063.02] 2022年因為那一年是疫情
[1063.02-1064.30] 我缺掉
[1064.30-1067.88] 整個客戶恐慌期的買家的overbooking
[1067.88-1069.66] 所以2022年會跌下來
[1069.66-1073.26] 但是現在這兩年看起來還是持續的在成長
[1075.86-1080.46] 那我現在有三個生產部份分別在高雄的陸域
[1080.46-1084.06] 那成江口的成熟的定基開發區跟珠海
[1084.06-1085.08] 高蘭島
[1085.08-1087.64] 那我這邊的產量大概是
[1087.64-1089.18] 12萬噸
[1089.18-1091.98] 我也可以生產光固化毒藥大概7000噸
[1091.98-1093.26] 會有三個
[1093.26-1097.88] 那所以有時候遇到中美邦運的問題的時候我們就從陸域組織出
[1097.88-1101.72] 用這樣的方式來解決整個
[1101.72-1102.74] 稅者的問題
[1102.74-1105.82] 那在接下來介紹一下
[1105.86-1108.94] 這個市場的趨勢跟展望
[1108.94-1111.24] 光固化毒藥拿到我們分整幾個方面
[1111.24-1114.30] 就是說它本身的那個發展趨勢以及
[1114.30-1120.96] 我們的比較大的市場中國市場海外市場跟貴人的展望
[1120.96-1123.52] 首先光固化毒藥它本身就有它的優勢
[1123.52-1125.06] 就是說在一些
[1125.06-1126.34] 比較
[1126.34-1132.22] 小型的布置裡的投資不要太大然後前進下跌提升的產業
[1132.22-1133.26] 通常
[1133.26-1134.54] 最近的趨勢就是
[1134.54-1135.30] 光固化毒藥
[1135.30-1135.82] 因為它不用
[1135.82-1139.66] 太多的投資而且它的產力不用太大
[1139.66-1142.98] 比方說一條原來的容器型毒孵線它可能要25米
[1142.98-1145.04] 光固化的可能5米就夠了
[1145.04-1148.36] 整個效能是相差很多的
[1148.36-1152.72] 那第二個是說因為它可以節能又可以環保
[1152.72-1155.78] 而且它在整個生產法規上它不具有
[1155.78-1157.32] 容器型的
[1157.32-1157.84] 危險
[1157.84-1159.88] 所以它是所謂的一磅瓶
[1159.88-1162.70] 所以應該會增加整個產地的
[1162.70-1165.78] 需求會比較多於它的Vitical
[1165.82-1167.36] 那再來就是簡單的浪潮
[1167.36-1170.18] 這個是我們的一開始
[1170.18-1172.74] 光固化會開始增長的一個
[1172.74-1174.26] 一個起始點
[1174.26-1178.62] 那所以我們最後預測就是說從整個
[1178.62-1181.44] 不管是歐美的資料或是
[1181.44-1184.26] 亞洲這邊資料看起來都是在
[1184.26-1189.38] Central的一個市場的增長
[1189.38-1190.66] 那中國市場
[1190.66-1194.74] 其實是我們的母親地我們在中國市場中需要大概是35%
[1194.74-1201.40] 就是說我們大概在中國市場是一個比較有一個品牌的一個工藝商
[1201.40-1205.50] 那其實中國現在面臨的問題就是它比較內捲
[1205.50-1208.82] 內捲之外就是它遇到美國的打壓
[1208.82-1212.14] 但是我覺得中國還是會
[1212.14-1216.76] 它不變成所謂的製造工中心它也會變成工藝中心
[1216.76-1219.82] 它的工藝創造聯發他們現在
[1219.82-1221.62] 急需要找到他們新的出口
[1221.62-1224.70] 那我們光固化應該是在他們這個風口上
[1224.74-1227.30] 比較好的一個方向
[1227.30-1230.62] 因為它還是有幾個優點像監獄檢查
[1230.62-1231.90] 智慧製造
[1231.90-1232.94] 應用擴展
[1232.94-1236.78] 然後用到風電其實當然達德書裡面的風電
[1236.78-1238.06] 然後性能感
[1238.06-1239.58] 還有其他的一些
[1239.58-1243.42] 像一些車輛口特別的應用都是它們出的
[1243.42-1246.50] 然後再來就是所謂的一些電子電的模
[1246.50-1248.04] 電動車以及
[1248.04-1249.82] 功能性的模彩這都是
[1249.82-1251.88] UV的一個強項
[1251.88-1254.70] 那右手邊這張我現在可以看到說我在中國的
[1254.74-1257.30] 對 humanity scope
[1257.30-1260.88] 一個嘴巴
[1260.88-1262.44] festa
[1262.44-1264.04] rolled joined
[1264.04-1265.38] C innocence
[1265.38-1266.26] 素稱
[1266.26-1266.82] 太靠
[1266.82-1269.84] особ的
[1269.84-1270.52] 把這個
[1270.52-1271.34] 但是
[1271.34-1272.98] 我們 island
[1272.98-1274.06] 事件
[1274.06-1274.42] 來 니
[1274.42-1274.98] 對
[1274.98-1275.74] 做
[1275.74-1277.02] Kaita
[1277.02-1278.30] 封 lasted
[1278.30-1279.82] 日
[1279.82-1280.18] 好
[1280.18-1280.76] 來
[1280.76-1281.62] 也
[1281.62-1282.54] 就
[1282.54-1283.50] 在
[1283.50-1284.10] 日
[1284.10-1284.40] 這
[1284.40-1287.84] 企業都還是深耕在歐洲的一個總部
[1287.84-1292.12] 所以歐洲這邊我們就以深耕歐洲的總部來
[1292.12-1294.92] 來擴大我們的銷售
[1294.92-1297.48] 那美洲這邊我們是建立整個
[1297.48-1298.80] 這個地方企業中心
[1298.80-1303.28] 就是說在美國就是他們當地這些去
[1303.28-1305.00] 去做更好的服務
[1305.00-1307.72] 那當地我看起來是還沒那麼快
[1307.72-1311.60] 但是他也是會接著中國這一波
[1311.60-1314.40] 可能因為之前的拜登的政策
[1314.40-1317.56] 往上面移動的時候會有一些降起來
[1317.56-1320.64] 但是這邊主要還是那些生命
[1320.64-1321.88] 比較少
[1321.88-1326.40] 那新興市場比較著重還是在拉美這個部分
[1326.40-1329.20] 拉美但尤其是那個
[1329.20-1332.40] 那個巴西這邊市場會比較穩定
[1332.40-1335.40] 那最主要是最後是其他國
[1335.40-1337.44] 海外發展的有需發展的
[1337.44-1339.20] 做研究過程這邊
[1339.20-1340.76] 也都有參加
[1340.76-1341.56] 許多聯盟
[1341.56-1344.20] 跟整個規格的資歷
[1344.20-1347.96] 來帶領我們在海外的一個市場後盤
[1347.96-1353.16] 其實光顧外來的展望是
[1353.16-1355.96] 還是趨於樂觀的
[1355.96-1358.44] 就是說第一個他掌握了永續住民的議題
[1358.44-1359.48] 是能夠知道的
[1359.48-1361.24] 第二個就是說
[1361.24-1364.12] 在某些產業上還是
[1364.12-1365.68] 中國市場還是有
[1365.68-1367.76] 中國製造還是有一定的領導地位
[1367.76-1369.68] 那第三就是我們
[1369.68-1371.44] 第三我們在
[1371.44-1374.08] 美洲以及我們公司的策略
[1374.08-1375.92] 當然亞洲邊的一個市佔率
[1375.92-1379.28] 以及印度市場的市佔率
[1379.28-1383.08] 最後就是說我們通過了材料改善的特性
[1383.08-1385.68] 再搭配上這些傳統轉
[1385.68-1387.56] 轉智能製造的這一塊
[1387.56-1390.96] 我們應該很多東西可以去接觸
[1390.96-1392.48] 像家庭劑啊
[1392.48-1393.76] 金屬用的塑料
[1393.76-1396.08] 還有其所謂的電子膜
[1396.08-1398.16] 新的女生電腦車
[1398.16-1401.28] 所以大概以上的介紹是這幾個部分
[1401.44-1402.88] 謝謝大家
[1461.44-1463.60] 有什麼想要分享的
[1463.60-1466.20] 還是有什麼想要跟我們分享的
[1466.20-1469.00] 其實國新又可能有衝突
[1469.00-1472.80] 因為他做的渠道跟我們渠道這邊
[1472.80-1474.64] 我們不太衝突到
[1474.64-1477.40] 那至於他要擴展
[1477.40-1479.20] 他可能有他的想法
[1479.20-1481.32] 但我們也是持續在擴展
[1481.32-1483.52] 就是說我們今年在
[1483.52-1484.84] 蘇州材料展那邊
[1484.84-1485.88] 還會再擴一萬多
[1485.88-1486.96] 大概是六月
[1486.96-1490.28] 所以我們總產能量會到達13萬多
[1490.28-1491.20] 所以我們也一直有接觸
[1491.44-1495.48] 那其实这种产能其实大概是这么看
[1495.48-1497.58] 就是说我们是要比较反应
[1497.58-1499.72] 做某些特别的商品的刷产
[1499.72-1502.56] 那如果说我们想要变成角度
[1502.56-1504.26] 我们还会对产生这个说
[1504.26-1507.40] 想说我今天今年40万个
[1507.40-1509.18] 然后我一直在做进化改善
[1509.18-1511.00] 还可以多28的话
[1511.00-1513.00] 实际上我们产品就10万个
[1513.00-1515.00] 所以以现在来说
[1515.00-1517.50] 跟国际化这边不会有太大的分别
[1517.50-1520.40] 但是就是您说的
[1520.40-1521.94] 就是说这个报价上
[1521.94-1524.96] 因为整个市场的
[1524.96-1527.92] 就是说我们大陆报价是卷吧
[1527.92-1528.70] 为人卷
[1528.70-1530.62] 那国际跟我们的不一样
[1530.62-1532.92] 是我两个比较主力的工程在大陆
[1532.92-1534.22] 所以我们大陆的原价上
[1534.22-1534.94] 看全世界
[1534.94-1538.42] 那国际它比较倾向于台湾的原材料
[1538.42-1542.14] 所以我们不太能太大的分别
[1542.14-1544.38] 不好意思
[1544.38-1545.18] 再绝问一下
[1545.18-1546.36] 所以这个主要是因为
[1546.36-1548.88] 我们面对的market不一样
[1548.88-1550.38] 还是说它的产品
[1550.38-1551.88] 的用途不一样
[1551.88-1553.52] 大致就不一样
[1553.52-1555.66] 它比较倾向油工
[1555.66-1558.70] 然后我们比较倾向油工
[1558.70-1559.50] 油工也比较倾向
[1559.50-1560.66] 还有商业性
[1560.66-1562.46] 不太一样
[1562.46-1563.38] 谢谢
[1571.34-1573.02] 我们分享一下我们
[1573.02-1575.22] 刚才提到我们下游的
[1575.22-1579.78] 大概有一个大幅的那个
[1579.78-1580.38] 第二个就是
[1580.38-1581.38] 说科威科文
[1581.38-1582.58] 很精确的
[1582.58-1583.58] 是在想说是说
[1583.58-1584.58] 刚才有提到
[1584.58-1586.38] 你这一段题来讲
[1586.38-1587.78] 那么大一小条
[1587.78-1590.78] 有没有一个竞争者的差异
[1590.78-1591.18] 是什么
[1591.18-1593.34] 毕竟相对于其实地
[1593.34-1594.86] 那个其实地来讲
[1594.86-1597.78] 做的产品还是比较当中一点
[1597.78-1599.66] 那可以你们分享一下
[1599.66-1602.34] 确切的这个差异的基本点
[1602.34-1602.90] 到底是什么
[1602.90-1606.46] 其实我们卖的东西
[1606.46-1608.38] 都是一般的所谓的特用品的
[1608.38-1609.38] 为主
[1609.38-1610.22] 但长短之后
[1610.38-1611.38] 其实是有的
[1611.38-1612.58] 其实重点还是在那
[1612.58-1615.38] 就是市值的配方的协作
[1615.38-1616.46] 我们下游的客户
[1616.46-1617.90] 产出我们的差异性
[1617.90-1620.06] 然后像你刚刚说的光影发电
[1620.06-1621.42] 其实光影发电
[1621.42-1623.62] 因为它是一个特专业的分子
[1623.62-1625.58] 所以现在光影发电
[1625.58-1627.74] 在大陆很多工艺上都出来
[1627.74-1629.02] 所以光影发电这个市场
[1629.02-1630.86] 其实我们会去把它看成
[1630.86-1633.38] 它已经被整个的端平了
[1633.38-1635.30] 那我们整个行业的竞争力
[1635.30-1637.34] 在于我们的技术团队
[1637.34-1640.34] 是对于整个我们服务的产业的
[1640.38-1643.58] 客户做出差异化的配方组合
[1643.58-1644.10] 所以我们说
[1644.10-1646.78] 我们不是在卖一个所谓的材料
[1646.78-1648.90] 我们是卖一个解决方案
[1648.90-1652.22] 我们是这样来经营我们的差异
[1652.22-1653.58] 但是你问的说
[1653.58-1655.82] 所谓的占比其实是很精确
[1655.82-1657.86] 因为每一家厂商
[1657.86-1659.30] 它面对的市场
[1659.30-1661.62] 跟它想要去进攻的市场
[1661.62-1662.06] 大概一样
[1662.06-1663.66] 像我这边来说
[1663.66-1666.18] 我油莫大概占短度50
[1666.18-1668.26] 然后主要大概短值20
[1668.26-1670.10] 然后电子就大概短度30
[1670.38-1672.50] 但是这样的比较非常分享
[1677.50-1678.90] 可以跟我们分享一下
[1678.90-1683.18] 就是说我们包括在路由的扩张
[1683.18-1686.58] 说我们今年还有这个路由的扩张
[1686.58-1690.02] 让这几个这点扩张会不会不便宜
[1690.02-1691.38] 我想它针对了
[1691.38-1692.66] 或许市场在谈判
[1692.66-1694.46] 导导产品的差异是怎么样
[1694.46-1696.34] 所以根据这两个
[1696.34-1699.06] 让我们扩张的这个
[1699.06-1700.34] 都能看到的
[1700.38-1701.78] 是什么样的
[1701.78-1707.26] 就是我们本来那个产区的产能
[1707.26-1711.50] 已经比较老旧的
[1711.50-1713.18] 所以我们都换了
[1713.18-1715.18] 从12000我们想要加到
[1715.18-1717.26] 大概是2万8000
[1717.26-1719.78] 这个面对的市场是欧美
[1719.78-1721.90] 以及南美这个板块的市场
[1721.90-1725.78] 就是面对中国关税的问题
[1725.78-1727.14] 这个板块
[1727.14-1730.06] 那苏州这个一万多主要是
[1730.38-1732.10] 我们的一个扩张
[1732.10-1734.10] 看向中国的成果
[1734.10-1736.14] 那应用上的扩展
[1736.14-1737.54] 让我们是
[1737.54-1740.62] 要乐观来做一个真正的一个投资
[1740.62-1741.78] 不好意思
[1741.78-1743.18] 那我再想
[1743.18-1746.58] 刚才我们提到我们的分拆
[1746.58-1748.98] 配方协作这边大概是什么
[1748.98-1750.98] 主要说配方协作
[1750.98-1752.98] 可以把它理解成
[1752.98-1754.98] 我们当客户
[1754.98-1756.98] 单体我们做我们的讲话
[1756.98-1758.98] 就有五个提示
[1758.98-1760.18] 因此地我们就要做了这些东西
[1760.38-1763.38] 我们就外面买到外面客户做一套
[1763.38-1764.98] 不是都是我们自己来
[1764.98-1766.18] 都是我们自己做的
[1766.18-1768.58] 就是我们用客户
[1768.58-1770.58] 他会开出一个他需求的规格
[1770.58-1773.18] 然后要什么样的
[1773.18-1773.94] 后续
