[0.00-14.00] 向午好,各位投資先進,接下來介紹誠信實業股份有限公司的發展展望,請下一頁。
[561.18-564.26] 確保整個經濟是獲利可行的
[564.50-566.82] 那redesign的這個最後呢
[567.06-568.86] 可能我們要墊補的就是
[569.12-573.22] 它的製造程序是不是過去沒有的欠缺的
[573.46-575.78] 我們有一段空白的落差去墊補
[576.28-579.36] 或者是它廢棄物必須要規格化
[579.62-581.92] 不可以混雜其他的東西
[582.42-584.74] 以及給使用客戶使用的
[585.04-586.82] 使用客戶有沒有一些
[587.08-588.62] 規格必須要
[588.88-590.92] 加以明確化的定定
[591.18-592.46] 防止他不能用
[592.72-596.04] 那接下來就是銷售通路的建立以及
[596.30-597.58] 場外加工的
[597.84-598.60] 部分
[598.86-602.44] 從A廢棄物經過加工給B客戶使用
[602.70-603.46] 下一步
[603.98-604.50] 下一頁
[615.04-617.60] 很幸運實驗主要有一個
[617.86-621.18] 循環經濟的技術顧問的服務
[621.44-623.74] 的生意模式以及五項
[624.00-628.10] 循環系列的再生原物料的產品
[628.34-633.46] 循環經濟的技術顧問服務是一個提供
[633.72-638.08] 工程顧問服務以及研發顧問服務的一個
[638.34-640.64] 委託顧問案的接案儀式
[640.90-643.20] 那接下來細粉細錠產品
[643.46-644.74] 球型二氧化鋅
[645.04-647.60] 氧化生物分解劑產品
[647.86-650.92] 金屬粉產品以及碳乙氯產品
[651.18-655.28] 這些都是原創專業去開發出來的
[655.54-657.84] 以廢棄物原料的再生產品
[658.10-659.62] 那這幾個產品
[660.14-661.94] 百分之百來自廢棄物
[662.70-663.22] 下一頁
[668.08-668.58] 首先
[668.84-670.90] 顧問服務的介紹
[671.14-671.66] 下一頁
[675.04-677.86] 循環經濟的技術顧問
[678.36-680.42] 裡面包含幾個關鍵的
[680.66-681.18] 過程
[681.44-683.22] 第一個過程是廢棄物
[683.48-685.28] 跟資源物的體檢
[685.78-690.14] 資源物的體檢不明失意就是把廢棄物裡面的
[690.40-692.18] 有價值的部分
[692.44-694.50] 的物質給體檢出來
[694.74-696.54] 然後我們需要去了解
[696.80-700.12] 他可能在產品市場上
[700.38-703.96] 可能可以怎麼規劃跟銷售以及他的單價
[703.96-708.32] 然後在這個單價之下我們尋找可以加工的技術
[708.82-709.60] 成本和
[709.84-710.36] 划算
[710.62-711.90] 的加工技術
[712.16-714.96] 那這裡面需要透過技術整合
[715.22-716.24] 把科技導入
[716.50-718.80] 以及製成設備導入
[719.06-722.14] 那如果有銜接不起來的地方
[722.40-725.46] 我們要用關鍵技術的開發來去做電
[725.98-727.52] 整個完成了之後
[727.76-732.38] 在實際上的循環經濟的生產製造的這個部分
[732.64-733.40] 如果
[733.40-736.72] 委託的客戶他沒有空間
[736.98-740.06] 沒有工廠或是沒有能力代操作
[740.32-743.64] 操作我們也可以提供代操作的這樣的服務
[743.90-746.46] 那以及整個案子做完之後
[746.72-748.76] 協助相關的模擬認證
[749.02-752.60] 以上是技術部門的服務幾個階段
[752.86-754.64] 跟服務的內容
[754.90-755.68] 下一頁
[757.46-760.54] 接下來介紹的是細粉細錠產品
[760.80-763.36] 他主要是用在煉鋼的
[763.66-764.42] 深溫劑
[764.68-765.44] 下一頁
[767.76-769.04] 請把它
[769.28-771.60] 按出來還是他就長這樣
[773.12-774.40] 這是BDF
[775.18-780.04] 循環製造的細錠系列的產品
[780.30-783.12] 他在煉鋼上起一個深溫的功效
[783.36-785.92] 可以幫助煉鋼節省成本效益
[786.70-791.30] 那這個原料經過評檢調整配方混煉成型單照
[791.56-793.36] 變成是一個求定性的
[793.66-794.42] 的形狀
[794.68-798.78] 那這中間有一個簡報他沒有列出來的一個部門
[799.28-800.82] 我們稍微口述
[801.34-809.52] 就是細菌包含太陽能或是半導體都有細菌元細菌錠相關的製造程序
[809.78-811.06] 他會切片
[811.32-812.86] 變成細菌片
[813.36-816.18] 給半導體或太陽能使用會產生一些細泥
[816.70-819.76] 那這個細泥過去是部份的配器物處理
[820.28-823.36] 那我們加工完細錠之後
[823.66-825.96] 這些細錠供應給煉鋼廠
[826.22-829.28] 以前煉鋼廠是進口細鐵
[829.54-834.16] 有誠信製造的細錠這樣的循環的再生料之後
[834.40-837.48] 煉鋼廠的進口細鐵的數量
[837.74-838.24] 就被
[838.76-841.84] 誠信做出來的細錠優先取代
[842.08-843.62] 減少進口量
[843.88-846.44] 在細菌產生的這個細泥呢
[846.70-850.02] 誠信以前也是收售
[850.28-851.30] 現在是用
[851.56-853.36] 買的方式去買到這個細泥
[853.60-858.52] 也就是說這整個循環供應鏈已經到一個相當成熟的狀態
[858.78-861.34] 那配器物已經變成了資源物
[861.84-862.36] 下一頁
[865.44-868.76] 下一個是球型二氧化矽產品
[869.02-872.60] 他的用途是作為電子陶瓷的填充粉
[872.86-873.62] 塗料粉
[873.88-875.92] 功能塑膠的填充料
[876.44-877.20] 下一頁
[879.76-881.56] 球型二氧化矽粉
[881.82-883.36] 他是一個回收
[883.40-887.00] 半導體封裝製成的廢邊料
[887.00-890.20] 而老的再生料產品
[890.20-892.00] 半導體IC製成
[892.00-895.40] 它在整個封裝的過程
[895.40-898.70] 會有一個流道射出去封裝膠
[898.70-902.20] 把它IC給附膜起來
[902.20-905.40] 這個過程流道所殘留的膠
[905.40-908.70] 會在成品之後才切下來
[908.70-911.50] 變成封裝膠邊料
[911.50-913.50] 這個封裝膠邊料
[913.50-917.30] 會送到成信委託成信處理
[917.30-922.30] 再利用成為再生球型二氧化矽粉
[922.30-924.90] 整個球型二氧化矽粉
[924.90-926.90] 從封裝膠來的
[926.90-929.90] 可以得到百分之百的回收
[929.90-931.70] 被封裝膠邊料
[931.70-935.40] 一年大概可以達3000噸到5000噸之間
[935.40-939.40] 成信現在的收售的再利用許可額度
[939.40-941.40] 大概在一年3000噸左右
[941.40-944.40] 我們這樣子的加工製造
[944.40-947.40] 可以把原本在封裝膠邊料裡面的
[947.40-949.40] 除型二氧化矽粉
[949.40-954.40] 原本去氛化爐或是其他的更低階的區塊
[954.40-957.40] 可以善用除型二氧化矽
[957.40-960.40] 它的規格以及它的高純度
[960.40-963.40] 低膨脹係數等等這些特性可以保留
[963.40-967.40] 可以回用到封裝裡面
[967.40-969.40] 等一下在這個部分
[969.40-971.20] 會在整個
[971.20-973.20] 我們的產品優勢
[973.20-975.20] 再特別再加以介紹
[975.20-976.20] 下一頁
[979.20-981.20] 氧化生物分解劑產品
[981.20-985.20] 它是用在PP跟PE塑膠裡面的
[985.20-987.20] 添加的功能性努力
[987.20-990.20] 能夠讓PP跟PE塑膠
[990.20-991.20] 在使用之後
[991.20-994.20] 在大自然裡面氧化生物分解
[994.20-995.20] 下一頁
[998.20-999.20] 氧化生物分解劑
[999.20-1001.20] 它是一個配方劑
[1001.20-1005.20] 這是一個功能性努力的添加配方
[1005.20-1009.20] 氧化生物分解劑添加在製品裡面
[1009.20-1012.20] 比如說用在塑膠地膜
[1012.20-1014.20] 在農業使用上
[1014.20-1015.20] 使用之後
[1015.20-1018.20] 這個膜就會氧化生物分解
[1018.20-1020.20] 不會有塑膠微粒
[1020.20-1022.20] 在這樣的整個的過程
[1022.20-1024.20] 如果沒有回收
[1024.20-1029.20] 也不會造成塑膠微粒危害土壤的這樣的副作用
[1029.20-1031.20] 使用在農業裡
[1031.20-1033.20] 可以讓農業
[1033.20-1038.20] 避免回收大量的沾染泥土的沸塑膠
[1038.20-1042.20] 也可以節省沸塑膠地膜回收的這些成本
[1042.20-1045.20] 基本上氧化生物分解的塑膠
[1045.20-1047.20] 這個配方劑
[1047.20-1049.20] 在整個市場需求上
[1049.20-1052.20] 尤其是大陸
[1052.20-1054.20] 它的農業的需求量
[1054.20-1056.20] 這些設備的
[1056.20-1059.20] 這些流物料的農業種植化肥
[1059.20-1060.20] 還有地膜的需求量
[1061.20-1064.20] 日與日矩增的狀況之下
[1064.20-1068.20] 它有很好的潛力市場的發展空間
[1068.20-1069.20] 下一頁
[1072.20-1073.20] 金屎粉產品
[1073.20-1076.20] 主要用途是工業填充粉
[1076.20-1079.20] 超光粉以及礦石粉用途
[1079.20-1080.20] 下一頁
[1082.20-1085.20] 金屎粉產品主要來自
[1085.20-1089.20] 晶圓蓋工廠的化學機械研磨污泥
[1089.20-1092.20] 我們簡稱CMP污泥
[1092.20-1095.20] 我們跟晶圓蓋工廠之間
[1095.20-1098.20] 有一個委託輕浮處理的
[1098.20-1100.20] 合作的訂單關係
[1100.20-1104.20] 我們要求晶圓蓋工廠做分管分流
[1104.20-1107.20] 將活化蓋污泥跟CMP污泥
[1107.20-1108.20] 一語區隔
[1108.20-1112.20] 誠信提供專輔CMP污泥的
[1112.20-1114.20] 再生循環的加工製造
[1114.20-1118.20] CMP污泥經過一系列的加工程序
[1118.20-1120.20] 會產生同化合物產品
[1120.20-1122.20] 以及金屎粉產品
[1122.20-1125.20] 金屎粉產品由於具有
[1125.20-1128.20] 低碳耐膜抗菌抗靜鏈的
[1128.20-1133.20] 百分之百來自CMP研磨污泥的循環材料
[1133.20-1135.20] 廣泛的可以應用在
[1135.20-1138.20] 淨材、橡膠、塑膠塗料、
[1138.20-1143.20] 濫乳材料等等的礦石粉的添加劑使用
[1144.20-1146.20] 隨著半導體廠
[1146.20-1148.20] 它在凝配器上
[1148.20-1150.20] 追求指標
[1150.20-1153.20] 希望能夠一直提升的狀況之下
[1153.20-1157.20] 半導體廠所在建置的投資國家
[1157.20-1161.20] 我們也會把CMP污泥凝配器的
[1161.20-1164.20] 製造技術複製到海外
[1164.20-1166.20] 跟隨著晶圓帶工廠
[1166.20-1168.20] 它在海外的投資佈局
[1168.20-1170.20] 我們也拓展我們
[1170.20-1174.20] 污泥凝配器技術的海外佈局
[1174.20-1175.20] 下一頁
[1178.20-1182.20] 碳乳液產品主要體帶焦炭
[1182.20-1184.20] 在鏈缸裡面起到一個
[1184.20-1187.20] 升溫輔料的功能
[1187.20-1189.20] 下一頁
[1191.20-1195.20] 在晶圓封裝IC製造
[1195.20-1199.20] 或者是面板等這些電子
[1199.20-1202.20] 或者是IC製造的產品
[1202.20-1205.20] 都需要運送裡面有一個
[1205.20-1207.20] 抗靜電的鋁質包材
[1207.20-1209.20] 也就是鋁箔包
[1209.20-1210.20] 除了這個之外
[1210.20-1214.20] 醫生是因為空氣潔淨的需求
[1214.20-1218.20] 會有很多活性碳值的吸附的材料
[1218.20-1220.20] 比如說活性碳濾網
[1220.20-1222.20] 鋁質包材跟濾網
[1222.20-1226.20] 都是小量的事業配器物
[1226.20-1228.20] 這些配器物
[1228.20-1232.20] 目前都是以去氛化爐去化為主
[1232.20-1234.20] 在面板封裝
[1234.20-1236.20] 或者是晶圓帶工
[1236.20-1238.20] 他們的永續目標
[1238.20-1240.20] 追求零廢氣的狀況
[1240.20-1242.20] 去氛化爐的這個狀況
[1242.20-1244.20] 是希望被限制
[1244.20-1246.20] 而且越來越少
[1246.20-1250.20] 所以我們公司在這個產品的部分
[1250.20-1253.20] 幫它做再生循環的設計
[1253.20-1255.20] 客製化一個新的技術
[1255.20-1257.20] 做出碳乳液
[1257.20-1259.20] 這樣的特殊規格的產品
[1259.20-1261.20] 讓這個規格
[1261.20-1263.20] 能夠經過這樣的加工程序
[1263.20-1266.20] 過稅等等
[1266.20-1268.20] 像是整理、照例
[1268.20-1271.20] 還有品質檢驗、包裝倉儲等等
[1271.20-1275.20] 作為煉缸、升溫劑、輔料去使用
[1275.20-1277.20] 這樣子的專業成型技術
[1277.20-1280.20] 可以成功的把原本要去氛化爐的
[1280.20-1283.20] 這幾個小量多元的廢氣物
[1283.20-1286.20] 經過成型的碳乳液的加工
[1286.20-1288.20] 以及碳棒的加工程序
[1288.20-1292.20] 做成可以給煉缸廠使用的再生材料
[1292.20-1294.20] 面板封裝跟晶圓帶工程序
[1294.20-1297.20] 我們已經都往執照方面去談
[1297.20-1299.20] 業務合作的規劃
[1299.20-1301.20] 這個正在進行中
[1301.20-1303.20] 下一頁
[1303.20-1307.20] 以上有五個產品跟一個顧問服務
[1307.20-1310.20] 我們做一個對照表
[1310.20-1314.20] 投資先進如果對於材料的來源
[1314.20-1317.20] 以及做出來的再生產品其他的去處
[1317.20-1320.20] 有先後衍接的問題
[1320.20-1322.20] 我們會先進去做一個對照表
[1322.20-1324.20] 然後再進行進行的
[1324.20-1328.20] 這些的疑問可以藉由參照表去比對
[1328.20-1329.20] 下一頁
[1332.20-1337.20] 整個我們的產品來自再生材料
[1337.20-1342.20] 用一個成型的碳碳的廢氣物
[1342.20-1346.20] 做到產品整個的物質流的狀況
[1346.20-1349.20] 來加以介紹成型的特色
[1349.20-1351.20] 首先我們從細產業
[1351.20-1353.20] 從動脈工業
[1353.20-1356.20] 紅色的部分來看
[1356.20-1357.20] 金屬矽
[1357.20-1360.20] 它是一個矽晶圓製造的顏料
[1360.20-1362.20] 它會變成矽粉
[1362.20-1364.20] 然後變成多晶矽
[1364.20-1366.20] 或者是矽晶棒
[1366.20-1369.20] 然後供應給半導體晶圓
[1369.20-1371.20] 或是太陽能晶圓
[1371.20-1374.20] 去做晶片的切割
[1374.20-1376.20] 變成晶片來使用
[1376.20-1379.20] 我們就看到IC晶片
[1379.20-1381.20] 以及太陽能的電磁片
[1381.20-1383.20] 這樣子來看
[1383.20-1385.20] 整個產品出來
[1385.20-1388.20] 整個紅色的加工過程會有邊角料
[1388.20-1394.20] 也就是矽泥以及矽屑等等的這些會產出來
[1394.20-1396.20] 產生的矽泥
[1396.20-1400.20] 成矽就是把它再經過挑剪
[1400.20-1403.20] 規格化做成矽錠以及矽粒
[1403.20-1407.20] 矽粒可以重新回到矽粉
[1407.20-1409.20] 再去找多晶、單晶等等
[1409.20-1412.20] 然後矽粉錠就跨界到了煉鋼
[1412.20-1414.20] 去做煉鋼的輔料
[1414.20-1418.20] 這就是誠信在整個動脈工業
[1418.20-1422.20] 所反向的逆向回收的靜脈工業這邊
[1422.20-1427.20] 所扮演的關鍵回用循環的角色的一個典範時機
[1427.20-1429.20] 下一頁
[1431.20-1435.20] 我們的客戶群包含晶圓代工廠
[1435.20-1437.20] 包含封裝廠
[1437.20-1441.20] 包含之前的太陽能的切片廠
[1441.20-1447.20] 以及建材、煉鋼廠、化學肥料公司
[1447.20-1449.20] 還有國外的耐火工廠
[1449.20-1456.20] 還有細錠、金屬性、漲晶廠等等
[1456.20-1461.20] 我們提供各面向的半導體產業客戶
[1461.20-1465.20] 把他的廢棄物銜接到各個跨界的
[1465.20-1467.20] 傳產裡面的用途領域去
[1467.20-1471.20] 這樣的物質流可以銜接出晶圓的工廠
[1471.20-1473.20] 或者是封裝廠
[1473.20-1475.20] 它的永續循環的概念
[1475.20-1480.20] 可以符合未來10年、20年的晶圓承諾
[1480.20-1482.20] 下一頁
[1484.20-1487.20] 產業概況以及市場地位
[1487.20-1491.20] 我們等一下會講一下STGS的部分
[1491.20-1495.20] 以及我們在台灣具有產品的競爭優勢
[1495.20-1497.20] 下一頁
[1498.20-1500.20] 聯合國永續發展目標
[1501.20-1503.20] 就是STGS
[1503.20-1507.20] 在第12項負責任的生產消費循環
[1507.20-1513.20] 我們是聚焦在所謂零廢棄工業循環的這一塊
[1513.20-1515.20] 廢棄物把它變成原料
[1515.20-1519.20] 加工製造成產品銷售給客戶使用
[1519.20-1523.20] 這樣的責任延伸的綠色的工藝鏈的部分
[1523.20-1526.20] 可以讓我們的原料永無不絕
[1526.20-1530.20] 另外也藉由這樣原料的工藝循環庇護的部分
[1530.20-1533.20] 我們可以減少對大自然的破壞
[1533.20-1536.20] 在13.7.6變遷策略
[1536.20-1538.20] 14.海洋生態
[1538.20-1540.20] 15.陸域生態
[1540.20-1542.20] 我們都會有間接的構陷
[1542.20-1546.20] 所以誠信循環經濟的產業的投入
[1546.20-1551.20] 可以符合整個人類社會永續發展的目標
[1551.20-1554.20] 具有產業趨勢的發展前景
[1554.20-1555.20] 下一頁
[1558.20-1559.20] 接下來
[1559.20-1560.20] 在產品優勢的部分
[1560.20-1565.20] 我們在封裝膠回用的目標上面
[1565.20-1568.20] 剛才介紹IC的封裝
[1568.20-1571.20] 我們會有封裝廢邊料
[1571.20-1573.20] 這個邊料的材料
[1573.20-1577.20] 其實跟封裝在IC晶片上的封裝膠是一樣
[1577.20-1580.20] 只是因為它在流道上被長切掉
[1580.20-1583.20] 所以我們現在有一個很大的優勢
[1583.20-1585.20] 就是跟封裝長談
[1585.20-1587.20] 這個材料是一樣的材料
[1587.20-1589.20] 如果我們能夠與回收
[1589.20-1594.20] 能不能再回封印到封裝去使用
[1594.20-1596.20] 現在看到的封閉回路
[1596.20-1598.20] 是從封裝廠出來
[1598.20-1601.20] 經過膠條的分類回收
[1601.20-1603.20] 再到再機動廠來加工
[1603.20-1606.20] 變成再生球型二氧化矽粉
[1606.20-1608.20] 再封印給膠餅的材料商
[1608.20-1611.20] 做成膠餅再供應給封裝廠
[1611.20-1612.20] 這樣子的回用
[1612.20-1616.20] 可以把整個再生材料提升到
[1616.20-1618.20] 封印半導體等級的電子集的產品
[1618.20-1621.20] 成分成分
[1621.20-1625.20] 是一個從搖籃到搖籃的近鏡循環
[1625.20-1628.20] 誠信在這裡面扮演的角色
[1628.20-1631.20] 就是膠條的氫運
[1631.20-1633.20] 我們有乙氫的質照
[1633.20-1636.20] 誠信扮演的是再利用通案許可的
[1636.20-1640.20] 通案的再利用質照
[1640.20-1643.20] 我們已經完成了再生球型二氧化矽粉的
[1643.20-1645.20] 相關環保認證
[1645.20-1648.20] 在誠信的再生料的探圖機上
[1648.20-1650.20] 我們可以看到
[1650.20-1652.20] 在這個地區的太陽光
[1652.20-1653.20] 我們可以看到
[1653.20-1655.20] 太陽光的太陽光
[1655.20-1657.20] 在太陽光的太陽光中
[1657.20-1659.20] 會有一個超過1.28公斤
[1659.20-1661.20] 每公斤的二氧化碳
[1661.20-1663.20] 每公斤的材料
[1663.20-1665.20] 相當是新的
[1665.20-1668.20] 太陽光的太陽光的25.4%
[1668.20-1671.20] 它的低碳優勢相當的明顯
[1671.20-1673.20] 這個樣子的低碳的材料
[1673.20-1675.20] 供應給膠餅廠
[1675.20-1677.20] 不僅膠餅廠就近採用
[1677.20-1681.20] 它的採購減碳的方針非常明確
[1681.20-1684.20] 而且這個封裝膠可以直接使用在
[1684.20-1687.20] IC晶片上供應給下輪的
[1687.20-1690.20] 比如說手機或是電腦大廠
[1690.20-1694.20] 所以減碳可以直接跟著到產品裡面去
[1694.20-1698.20] 這個減碳是符合封裝廠所謂的
[1698.20-1701.20] 採購重要的方針的
[1701.20-1703.20] 吻合這樣的需求
[1703.20-1705.20] 所以我們的產品優勢就在
[1705.20-1707.20] 我們把回收的
[1707.20-1711.20] 當成是一個正面生產製造的製造程序
[1711.20-1716.20] 然後可以跟原本封裝的材料去做整合
[1716.20-1718.20] 下一頁
[1720.20-1723.20] 這個是我們從搖籃到搖籃
[1723.20-1725.20] 封裝膠盔用材料的
[1725.20-1727.20] 這樣子的目標之下
[1727.20-1730.20] 所進行的推廣跟活動
[1730.20-1732.20] 在2019年
[1732.20-1736.20] 我們參加封裝廠封裝膠條的技術提案
[1737.20-1738.20] 成功
[1738.20-1741.20] 2020年我們跟封裝廠簽署了
[1741.20-1744.20] 封裝膠合作備忘物新建廠
[1744.20-1748.20] 2021年我們申請再利用許可核准
[1748.20-1751.20] 2022年我們跟脫模膠廠開發
[1751.20-1754.20] 再生二氧化矽回用做脫模膠
[1754.20-1757.20] 供應給封裝廠做脫模
[1757.20-1760.20] 已經完成驗證導入封裝廠使用
[1760.20-1764.20] 2024年我們通案核准增量到
[1764.20-1766.20] 可以覆蓋到全台灣的封裝廠的物品
[1766.20-1771.20] 2025年我們跟封裝廠跟封裝材料廠
[1771.20-1775.20] 膠餅廠跟誠信會有綠色封裝膠餅
[1775.20-1778.20] 這樣子的共同驗證過程
[1778.20-1782.20] 我們預計2027年能夠導入封裝正式使用
[1782.20-1783.20] 下一個
[1787.20-1790.20] 這個是封裝膠回用球型二氧化矽
[1790.20-1793.20] 它的產品的顯微鏡
[1793.20-1796.20] 具有很好的材料的物性
[1796.20-1801.20] 它已經獲得了膠餅材料廠的初步驗證
[1801.20-1807.20] 現在驗證的膠餅再送到封裝廠去做上線驗證中
[1807.20-1809.20] 如果這樣子做的話
[1809.20-1814.20] 全台灣的封裝廠估計有一年3000到5000噸的廢封膠
