[0.00-4.64] 好的 現場各位貴賓 目前的時間是2點30分
[4.64-9.68] 那我們6288連家光電的法輪說明會正式開始
[279.60-282.16] 前車燈再來是尾燈
[282.16-286.00] 然後還有特殊照明各占20%
[286.00-291.12] 汽車銷售量其實過去幾年一直不斷的成長
[291.12-296.24] 待會大家可以看得到整個生產跟銷售量成長的比例
[296.24-299.20] 第二項就是其實照明還有其他東西的成長
[299.36-301.92] 還有整個車子的功能越來越多
[301.92-305.76] 所以所用的電子設備材料都越來越多
[305.76-310.88] 種類跟數量不斷的提升
[310.88-314.72] 那利用車燈來展現一輛車的特殊性
[314.72-319.84] 像大家都可以看到像Tesla GM很多車子都有很好的設計
[319.84-323.68] 而主要他們吸引人的是車燈
[323.68-326.24] 尾燈呢是一輛車的靈魂
[326.24-329.20] 所以我們公司主要以往的收入來源是
[329.36-333.20] 以後照燈為主慢慢增加了前照燈
[333.20-337.04] 現在的車燈不但是有照明的功能
[337.04-339.60] 而且也跟路人有很多的互動
[339.60-343.44] 所以車聯網這些變成是一個重要的趨勢
[343.44-346.00] 也讓我們帶來營收的增加
[346.00-352.40] 全球的銷售水準我們跟客人之間的關係越來越緊密
[352.40-356.24] 所以大家可以看到左邊的是我們跟Megadon之間的合作
[356.24-358.80] 過去幾年的一個模糊的情況
[359.36-364.48] 慢慢慢慢可以看到他們給我們的訂單有很大幅度的成長
[364.48-368.32] 那右邊這個是Fovie & Hella
[368.32-370.88] 他是一個德國公司後來被法國公司併了
[370.88-373.44] 現在是一個合資的公司
[373.44-381.12] 他們對我們的營收也是有很大的貢獻跟非常大幅度的成長
[381.12-383.68] 所以未來幾年我們的成長主要是第一項
[383.68-387.52] 我們的關鍵客戶給我們的訂單很穩定以外
[387.52-388.80] 一直有大幅度的成長
[389.36-393.20] 第二項是我們的客戶越來越增加
[393.20-397.04] 像最近我們又增加了兩個世界大廠
[397.04-399.60] 已經開始跟我們下未來的訂單
[399.60-403.44] 所以這個也是我們第二個成長的動力
[403.44-407.28] 第三項是我們的一直重視新產品的研發
[407.28-409.84] 所以我們的新技術不斷的提升
[409.84-413.68] 我們的新產品一直被客人design 設計進去
[413.68-418.80] 所以這個也是未來幾年會看得到我們的業績不斷的大幅增長
[419.36-423.20] 成長
[423.20-425.76] 跟各位分享的是目前為止
[425.76-430.88] 我們公司的前五大客戶
[430.88-432.16] 第一名是Megadon
[432.16-441.12] 基本上他是全世界在2024年全球前百大汽車電子零組件的第三名
[441.12-443.68] 第二大是Kela
[443.68-447.52] 他基本上是全世界汽車電子零組件第九名
[447.52-448.80] 但是同時是車燈銷售的第四名
[449.36-451.92] 他在2024年全球上售第三名
[451.92-454.48] 接著是Flexingate
[454.48-458.32] 是汽車電子零組件100大裡面
[458.32-459.60] 第36名
[459.60-462.16] 後面兩個Sanli跟Koido
[462.16-466.00] Koido是全球車燈第一名的供應商
[466.00-468.56] 他們的美國廠叫做NAL
[468.56-472.40] 跟我們已經有合作跟有訂單
[472.40-476.24] 第四個合作夥伴是韓國的Sanli
[476.24-478.80] 他們是全球車燈第五名的供應商
[478.80-482.64] 所以我們合作的對象都是全世界排名前幾名
[482.64-486.48] 這個會讓我們的成長有很穩定的一個把握
[486.48-490.96] 同時不管付款條件或者是新產品的趨勢
[490.96-499.28] 這些客人都是領導整個產業的一個前鋒
[499.28-501.84] 好那我們公司到目前為止
[501.84-505.68] 車用的模組已經出貨7400萬組
[505.68-508.24] 而我們的產品已經被裝到
[508.80-511.36] 1567萬輛車上了
[511.36-513.92] 有些車子用了我們64個模組
[513.92-516.48] 有些車子用我們32個模組
[516.48-520.32] 基本上已經很高興就是一個臺灣的小公司
[520.32-524.16] 已經在世界各國有1567萬輛的車子
[524.16-525.44] 是我們的產品
[525.44-528.00] 是我們臺灣的產品
[528.00-533.12] 北美有前五大的最受歡迎的皮卡
[533.12-536.96] 其中有三項是廉價提供服務的
[536.96-538.24] 一個是福特
[538.24-538.76] 福特有
[538.80-543.92] F150是全世界最早出售的一個卡車
[543.92-545.20] 那我們公司很榮幸
[545.20-547.00] 我們做了F系列
[547.00-550.32] F150 F250都是我們公司的產品
[550.32-554.16] 再來就是GM的Pickup Truck
[554.16-554.92] 也是皮卡
[554.92-558.26] 然後再來就是GM另外一個系列
[558.26-559.80] Cera這個系列
[559.80-563.88] 所以我們公司的市占率之所以可以節節高升
[563.88-568.24] 也是應該拜這幾家公司給我們長期訂單的關係
[568.80-570.08] 我們有些車子呢
[570.34-572.12] 正常來講大概是
[572.38-575.20] 三年到五年是一輛車正常的壽命
[575.46-577.76] 就同一個訂單你要做三年到五年
[578.02-582.88] 但是我們公司很開心就是我們也做到好幾輛車超過10年
[582.88-585.18] 其中有一輛車已經做了13年
[585.44-588.00] 現在客人就幫我們延長3.6年
[588.00-590.04] 所以應該會做到快要17年
[590.30-592.10] 所以車真就有這個優點
[592.36-593.88] 就是訂單是長期的
[596.70-598.24] 那給大家看一下就是
[598.80-601.62] 五大最受歡迎的皮卡裡面
[601.88-606.22] 這三款是我們公司提供產品給客人的
[611.60-612.12] 好
[612.36-613.90] 那其實我們公司
[614.16-616.20] 剛剛那個都是傳統的皮卡
[616.20-619.02] 傳統的那個燃油車
[619.28-621.32] 我們除了燃油車有做以外
[621.32-623.38] 我們也做了很多的電動車
[623.38-624.66] 不管是Tesla
[624.92-625.68] Rivian
[625.68-626.70] 那個Cadillac
[626.96-627.48] Porsche
[627.72-628.50] 還有Fisca
[628.50-629.52] 我們都有出
[629.78-631.58] 我們都有做這個ODM
[631.82-633.10] 就是幫他們設計
[633.36-635.42] 然後量產
[636.44-639.26] 所以不管是燃油車賣得好
[639.50-641.04] 或者是電動車賣得好
[641.30-643.10] 其實我們公司都會受惠
[644.88-646.94] 今天要去跟各位分享的是
[647.18-650.00] 這輛車是非常有名的GM Cadillac的
[650.26-652.56] 是全世界最貴的電動車
[652.82-655.90] 一輛電動車是32萬美金
[656.14-657.94] 所以我想要跟各位分享一下
[658.50-660.30] 這輛車代表我們公司的實力
[660.80-665.42] GM從來沒有一輛車外面的車燈給一家公司全包
[665.92-669.26] 多半都是要給三家公司來分開設計
[669.50-671.04] 可是我們公司非常榮幸
[671.30-673.86] 這輛車全部大家看得到的燈具
[674.12-676.42] 外部的燈具都是我們公司的
[676.68-677.96] 設計跟量產
[678.22-679.74] 所以我要跟各位分享一下
[688.50-694.64] 外部的車全部都是我們公司的產品
[694.90-696.94] 它好像沒有動
[697.20-699.26] 怎麼樣把它轉過去
[699.50-700.54] 請等一下
[713.34-714.62] 請等一下
[718.50-730.54] 請稍微等我們一下
[742.82-744.10] 可以了
[744.36-745.90] 放大
[748.50-754.64] 請大家觀賞一下所有這些動態的燈
[754.90-757.46] 通過我們公司的研發團隊做的設計
[757.72-760.02] 所有這些
[778.50-785.92] 萊塞
[791.04-793.86] 因為它 Auspicious
[797.18-800.52] 非常� unjust
[804.62-808.14] &%$%
[808.50-814.90] 好
[814.90-816.88] 所以刚刚这个就是
[816.88-819.60] 代表客人对我们的信任
[819.60-823.02] 跟愿意给我们尝试
[823.02-824.28] 非常新的
[824.28-825.84] 非常前瞻性的技术
[825.84-827.62] 好
[827.62-830.34] 接下去可以跟各位分享的是
[830.34-832.26] 过去2019年的时候
[832.26-833.62] 每6.2辆新车
[833.62-835.12] 就有一辆是我们的产品
[835.12-838.48] 那过去几年因为各种因素
[838.48-840.70] 我们其实的市占率
[840.70-842.12] 有一点点往下滑
[842.12-844.02] 但是到了2025年
[844.02-846.00] 现在是每6.5辆新车
[846.00-847.76] 就有一辆车是我们公司的产品
[847.76-850.70] 所以又回到我们的市场占有率
[850.70-854.24] 好
[854.24-856.12] 那我们可以看一下
[856.12-858.96] 就是2020年到2024年
[858.96-859.86] 整个的
[859.86-862.28] 全球汽车的销售量
[862.28-864.06] 有很大的突破
[864.06-865.96] 从7719万辆
[865.96-867.98] 现在2024年是
[867.98-870.20] 9155万辆
[870.20-871.64] 主要还是因为
[871.64-874.32] 正开发国家越来越多人
[874.32-875.72] 有能力买车子
[875.72-876.88] 尤其在中国
[876.88-878.38] 很多的电动车
[878.38-880.02] 它的价格比较优惠
[880.02-881.94] 已经有很多人可以买得起
[881.94-885.24] 所以这个是主要的成长的来源
[885.24-886.76] 至于欧美先进国家
[886.76-888.50] 其实他们大概是持平的
[888.50-890.82] 甚至有些国家是有小小的衰退
[890.82-894.64] 好
[894.64-895.82] 那未来5年
[895.82-896.82] 这个是
[897.98-902.24] Global Mobility他们做的一个统计
[902.24-904.98] 他们预估
[904.98-906.30] 传统车灯
[906.30-906.84] 对不起
[906.84-910.58] 传统车会从6000万辆掉到4000万辆
[910.58-911.30] 然后呢
[911.30-913.26] 就是电动车会
[913.26-917.72] 从1510万辆到4500万辆
[917.72-920.46] 然后其他的那个混合动力车
[920.46-922.06] 大概小幅度成长
[922.06-923.86] 但是大家都可以知道
[923.86-926.54] 最近川普总统当选之后
[926.54-927.98] 他一直鼓励大家
[927.98-930.28] 不见得要用电动车
[930.28-933.36] 而且他觉得减碳的这件事情
[933.36-934.86] 不是那么急迫
[934.86-936.56] 所以我们公司认为
[936.56-939.28] 应该会是小幅度的降低
[939.28-943.20] 但是不会是这么明显的降到
[943.20-946.86] 2029年只有4000万辆车
[946.86-948.34] 但是不管是电动车
[948.34-949.70] 或者是传统燃料车
[949.70-952.22] 其实客人都会很乐意
[952.22-956.48] 让我们设计新产品跟让我们量产
[956.48-957.56] 那我们公司未来
[957.98-960.86] 还在建设新车 reunification
[960.86-961.88] 那么首先就讲一下
[961.88-963.28] 在刚才那个 뭐
[963.28-963.88] адно
[963.88-964.92] 在加拿大
[964.92-966.08] 唱宝 replaced
[966.08-966.88] 就是朝鲜有的
[966.88-968.42] мы有出wię野本的
[968.42-969.92] 一个 Very fabric
[969.92-971.06] 特意在那边
[971.06-972.70] 有� 버介绝
[972.70-973.50] 在下车的厂
[973.50-974.18] 可以大概也是
[974.18-987.78] 比较倒计的
[987.98-989.98] 我們的儀表板也變成是一個趨勢
[989.98-993.48] 我們也有這樣的一個供貨能力
[993.48-997.98] 所以這五類產品都是我們未來成長的動能
[999.48-1003.48] 接下去跟各位分享的是我們的研發跟生產
[1005.48-1010.98] 我們公司一直覺得一個企業要永續經營一定要核心技術能力
[1010.98-1014.48] 所以跟同行走出差異性
[1014.48-1018.98] 所以我們有第一項就是我們有LED封裝的能力
[1018.98-1022.98] 對於我們的模組而言我們有缺質整合的利基
[1022.98-1024.98] 第二個我們有很強的光學團隊
[1024.98-1027.98] 再來我們有熱流分析的能力
[1027.98-1031.48] 我們有機構模具設計的能力
[1031.48-1033.48] 電子電路設計的能力
[1033.48-1036.98] 還有軟韌體設計的團隊
[1036.98-1040.48] 然後還有我們可以自己認證檢測
[1040.48-1042.98] 像一輛車常常光是檢測費用
[1042.98-1043.98] 你如果要委託外面
[1043.98-1049.48] 外面的光亮實驗室去做要可能1500萬1600萬的測試費用
[1049.48-1051.98] 但是我們拿了客人的這樣的測試費用以後
[1051.98-1055.48] 自己內部測可能我們只要付400萬500萬委外
[1055.48-1057.48] 其他都是內部自己可以測
[1057.48-1060.48] 就可以有這一類的獲利能力
[1060.48-1062.48] 還有加速研發
[1062.48-1064.98] 所以基本上我們公司的強項在於
[1064.98-1066.98] 我們掌握了關鍵技術
[1066.98-1069.98] 就是車燈光接電熱這些關鍵技術
[1069.98-1072.48] 另外我們的產品一直有專利
[1072.48-1073.98] 可以我們有跟別人
[1073.98-1075.48] 有一個差異化
[1075.48-1076.98] 除此之外我們可以快速的
[1076.98-1080.98] 根據客人的需求做出客製化的設計
[1082.48-1083.98] 我們重視專利
[1083.98-1086.98] 因為唯有專利可以保護我們自己跟我們的客戶
[1086.98-1089.48] 所以我們不斷的不管在精力設計
[1089.48-1090.48] 模組設計
[1090.48-1091.98] 封裝元件
[1091.98-1092.98] 還有應用產品
[1092.98-1094.48] 都有不同的專利
[1094.48-1097.48] 目前為止我們已經拿到的專利
[1097.48-1098.98] 有146件
[1098.98-1102.48] 然後有正在申請中的有89件
[1102.48-1103.98] 這個是
[1103.98-1105.48] 大家可以看得到每一季
[1105.48-1106.98] 我們都不斷的增加
[1106.98-1109.48] 我們的專利的技術的取得
[1111.98-1113.48] 聯想關鍵覺得很重要是
[1113.48-1115.98] 不能給客人只有一兩樣產品
[1115.98-1117.98] 因為這樣客人對我們的依賴度
[1117.98-1118.98] 黏著度
[1118.98-1119.98] 需求度
[1119.98-1121.48] 不會持續增加
[1121.48-1124.48] 所以我們希望我們可以提供的是
[1124.48-1126.48] 一站式的ODM的服務
[1126.48-1128.48] 那包括的是
[1128.48-1130.48] 我們提供整輛車
[1130.48-1132.48] 多元化各種燈具
[1132.48-1133.98] 包括頭燈尾燈
[1133.98-1134.98] 柵欄燈
[1134.98-1135.98] 標誌燈
[1135.98-1136.98] 門把燈
[1136.98-1138.98] 後照燈等等
[1138.98-1140.98] 然後同時
[1140.98-1141.98] 未來車上
[1141.98-1143.98] 越來越多用mini-OD display
[1143.98-1145.98] 這也是我們新的領域
[1145.98-1149.98] 可以為我們增加很多的營收來源
[1149.98-1152.98] 另外就是我們公司內部有自己維持的
[1152.98-1154.98] 光暖標準實驗室
[1154.98-1159.98] 跟EMI EMC的認證的實驗室
[1159.98-1161.98] 最後就是我們也提供的是
[1161.98-1163.98] 除了光源以外
[1163.98-1165.98] 我們還提供了ECU驅動
[1165.98-1168.98] 電路的驅動的服務
[1168.98-1170.98] 所以這樣完整的一站式服務
[1170.98-1174.98] 讓客人對我們的依賴度越來越強
[1174.98-1176.98] 滿意度越來越高
[1180.98-1182.98] 我們過去幾年來
[1182.98-1185.98] 因為專心做好車燈的一個趨勢
[1185.98-1187.98] 叫做Uniflex的系列
[1187.98-1189.98] 就是Uniform
[1189.98-1190.98] 很均勻
[1190.98-1192.98] Flexible就是很流行型
[1192.98-1194.98] 有彈性的設計
[1194.98-1196.98] 所以我們在世界各國
[1196.98-1198.98] 拿到不同的專利
[1198.98-1200.98] 同時也為我們帶來
[1200.98-1203.98] 真正實質上的新的訂單
[1203.98-1204.98] 在新的車上
[1204.98-1207.98] 所以上面大家可以看得到是我們的專利
[1207.98-1210.98] 每一年都有推出不同的新的專利
[1210.98-1212.98] 下面都是我們因為這些專利
[1212.98-1214.98] 而取得到的訂單
[1214.98-1216.98] 持續的在增加
[1216.98-1217.98] 我們還有未來幾年
[1217.98-1219.98] 都可以看得到很多新車
[1219.98-1221.98] 是用我們這些專利的技術來做的
[1222.98-1224.98] 所以專利很重要
[1224.98-1225.98] 我覺得臺灣企業
[1225.98-1226.98] 規模不見得大
[1226.98-1228.98] 但是因為我們有創新的能量
[1228.98-1231.98] 讓世界各國會對我們寡默相看
[1231.98-1235.98] 然後同時會對我們的長期合作
[1235.98-1239.98] 抱著很大的決心
[1241.98-1243.98] 我們原建過去幾年
[1243.98-1245.98] 就是從自己需要的一些LED
[1245.98-1247.98] 在做開發為主
[1247.98-1250.98] 所以有讓公司有垂直整合的利基
[1250.98-1252.98] 同時這些LED
[1252.98-1255.98] 也賣給汽車業相關的客戶
[1255.98-1259.98] 未來幾年我們還會持續這樣子進行
[1261.98-1265.98] 目前為止我們臺灣總部的產能的利用率
[1265.98-1268.98] 大概都大概在100%左右
[1268.98-1271.98] 未來的訂單看起來2026年還會增加
[1271.98-1273.98] 我們會以轉到自動化
[1273.98-1276.98] 而不增加人甚至減少人
[1276.98-1277.98] 來提升我們的產能
[1277.98-1279.98] 同時降低我們的成本
[1282.98-1286.98] 東玩廠也一樣大概在今年都是超過
[1286.98-1288.98] 大概都在100%左右
[1288.98-1291.98] 但是2026年會超過100%
[1291.98-1294.98] 我們也是陸續最近都在轉自動化
[1294.98-1299.98] 東玩廠已經減少了十幾%的人力
[1299.98-1302.98] 可是營收其實一直在增加中
[1304.98-1307.98] 那我們在墨西哥之所以回去設廠
[1307.98-1310.98] 一方面當然是客人對我們的期許
[1310.98-1311.98] 因為客人在墨西哥
[1311.98-1313.98] 都有很大的廠
[1313.98-1315.98] 而且過去幾年一直在擴廠
[1315.98-1317.98] 那我們也看過
[1317.98-1321.98] 就是說我們如果出給歐美比較近以外
[1321.98-1323.98] 我們先講到歐洲
[1323.98-1327.98] 我們現在比較大的訂單是在德國跟義大利
[1327.98-1331.98] 大概會需要有18000公里的海運
[1331.98-1336.98] 那如果是墨西哥港過去就是10000公里左右
[1336.98-1338.98] 所以大家可以看得到省下
[1338.98-1341.98] 差別差了大概70%左右
[1341.98-1343.98] 所以我們可以知道
[1343.98-1347.98] 如果墨西哥設廠以後供應給客人
[1347.98-1349.98] 還有供應給歐洲的客戶
[1349.98-1351.98] 北美的客人跟歐洲客戶
[1351.98-1354.98] 其實是可以省下不少的運費跟時間
[1354.98-1357.98] 跟所備的材料
[1357.98-1359.98] 那我們在墨西哥廠
[1359.98-1361.98] 我們選了一個地點
[1361.98-1365.98] 最主要是因為我們是在客戶旁邊
[1365.98-1368.98] 讓客人可以跟我們合作
[1368.98-1370.98] 首先我們旁邊就有Megana
[1371.98-1374.98] 我們去過那裡25分鐘就會到
[1374.98-1376.98] 所以幾乎是很近的
[1376.98-1377.98] 客人很開心
[1377.98-1382.98] 因為這樣的方式將來可以密切合作
[1382.98-1385.98] 然後再來就是Hela有兩個廠
[1385.98-1387.98] 再來就是NAL就是Coido
[1387.98-1390.98] 然後Sandy是韓國公司
[1390.98-1392.98] Valeo是華國公司
[1392.98-1394.98] ZKW是澳洲公司
[1394.98-1396.98] 所以其實說真的
[1396.98-1398.98] 不管關稅的情形怎樣
[1398.98-1400.98] 我們其實這個廠
[1400.98-1402.98] 遠比我們的客人小多了
[1402.98-1405.98] 他們都覺得我們這個廠他們很快
[1405.98-1407.98] 就可以讓我們滿了
[1407.98-1410.98] 還在問我們第二期什麼時候可以開始蓋
[1410.98-1413.98] 所以基本上我們租給客人以後
[1413.98-1416.98] 他們每一家都在很多國家有廠
[1416.98-1419.98] 不管是關稅的情形如何
[1419.98-1423.98] 如果多半他們不見得必須回銷到美國來
[1423.98-1427.98] 何況他們的主要客人很多是
[1427.98-1430.98] 美國的前三大客人還有Tesla
[1430.98-1431.98] Rivian這些客戶
[1431.98-1435.98] 都是川普總統想要保護的汽車廠
[1435.98-1437.98] 所以基本上我們在這邊設廠
[1437.98-1440.98] 其實是未來一片光明
[1444.98-1446.98] 所以基於這樣的原因
[1446.98-1450.98] 我們就有今年度就進行我們的動土典禮
[1450.98-1454.98] 今年的2月12號我們在我們這個Correctoral
[1454.98-1460.98] 這邊這個城市做了這個設廠的動土典禮
[1460.98-1464.98] 那很高興我們的建商還有政府單位都派人參加
[1464.98-1468.98] 還有很重要是我們的客戶都派高階來參與
[1468.98-1474.98] 然後就代表他們對這個廠的重視跟肯定
[1474.98-1478.98] 然後演講他們說每個公司派一位演講
[1478.98-1480.98] 我們將來要栽培的是
[1480.98-1483.98] 我們在北美的總經理郭坤樺先生
[1483.98-1486.98] 所以由他來做這個演講
[1486.98-1488.98] 然後得到非常多的肯定
[1488.98-1490.98] 更多人理解臺灣
[1490.98-1492.98] 然後我們就開始做這個
[1492.98-1494.98] 好 那我們墨西哥廠
[1494.98-1496.98] 這是一個示意圖
[1496.98-1498.98] 將來蓋起來是長這個樣子
[1498.98-1500.98] 現在正在蓋
[1500.98-1506.98] 那我們出貨的地方會是長成這個樣子
[1510.98-1513.98] 我們的一個里程碑呢
[1513.98-1518.98] 就是在2024年我們就開始做這個
[1518.98-1520.98] 我們的簽約儀式
[1520.98-1525.98] 然後希望在今年度的9到10月可以落成
[1525.98-1528.98] 接著我們就會拿汽車的認證
[1528.98-1529.98] 大概要花半年左右
[1529.98-1532.98] 拿到IATF16949的認證
[1532.98-1534.98] 那我們的訂單
[1534.98-1537.98] 答應客人是在2026年第三季
[1537.98-1540.98] 大概9月到10月開始出貨
[1540.98-1545.98] 那這些訂單其實今年度會先在中國生產
[1545.98-1549.98] 然後才明年度轉到墨西哥大量量產
[1549.98-1552.98] 這個顯示客人對於
[1552.98-1554.98] 跟我們長期合作的決心
[1554.98-1556.98] 因為他們願意配合我們
[1556.98-1559.98] 我們墨西哥廠還沒蓋好以前
[1559.98-1561.98] 先讓我們在其他地方生產
[1561.98-1565.98] 然後到時候再轉到墨西哥量產
[1569.98-1572.98] 好 所以我們在過去幾年
[1572.98-1574.98] 受了這個疫情的影響
[1574.98-1577.98] 還有我們有很多新事業部的成立
[1577.98-1579.98] 都花了不少的費用
[1579.98-1582.98] 那主要還有一項就是我們的墨西哥廠
[1582.98-1584.98] 當時設置的時候2019年
[1584.98-1588.98] 那時候其實是客人一片看好
[1588.98-1591.98] 也對我們的墨西哥廠有很多合作的案子
[1591.98-1593.98] 但是很不幸2022年
[1593.98-1596.98] 2020年就有疫情
[1596.98-1598.98] 客人其實都是輪流觀賞
[1598.98-1599.98] 甚至裁員
[1599.98-1602.98] 所以他們就沒有給我們足夠的訂單
[1602.98-1605.98] 說實話在那過去三四年
[1605.98-1607.98] 我們非常非常辛苦
[1607.98-1608.98] 因為一個廠只有
[1608.98-1609.98] 一個廠只有
[1609.98-1611.98] 30%機器駕動率
[1611.98-1614.98] 所以墨西哥廠其實對我們整個集團的獲利
[1614.98-1616.98] 帶來很大的影響
[1616.98-1618.98] 但是今年度我們看得到第一季
[1618.98-1620.98] 它已經很接近break even
[1620.98-1623.98] 所以我們未來看得到每一個廠
[1623.98-1627.98] 都能夠對公司的營收跟獲利帶來貢獻
[1627.98-1631.98] 那我們公司如果要獲利要一直不斷的成長
[1631.98-1633.98] 首先第一項就是
[1633.98-1636.98] 我們會有很先進的研發技術
[1636.98-1638.98] 然後設計進去新車裡頭
[1638.98-1641.98] 那自己選的元件都是自己有把握
[1641.98-1643.98] 而且量比較大
[1643.98-1646.98] 價格比較能夠控制的元件
[1646.98-1648.98] 所以這是我們的利基
[1648.98-1650.98] ODM的角色
[1650.98-1655.98] 第二項就是我們最近一直比較成功的導入自動化
[1655.98-1658.98] 過去幾年我們花了很多時間在摸索
[1658.98-1660.98] 所以我們導入自動化
[1660.98-1662.98] 機器人還有一些AI的軟體的導入
[1662.98-1665.98] 會降低我們的成本
[1665.98-1667.98] 第三項就是我們所在地的
[1668.98-1670.98] 都是在客人附近
[1670.98-1672.98] 那就可以減少包材的浪費
[1672.98-1675.98] 還有運費跟碳的排放
[1675.98-1679.98] 第四項是我們的庫存可以降低
[1679.98-1683.98] 過去在一兩年前我們其實有碰到一段時間是
[1683.98-1687.98] 客人下的訂單突然間他們營收賣的數量降低
[1687.98-1690.98] 因為他們被中國的汽車廠所取代
[1690.98-1693.98] 以至於他們就很慢拿貨
[1693.98-1696.98] 或者是新車往後延量產
[1696.98-1698.98] 造成我們的庫存壓力很大
[1698.98-1701.98] 有一段時間我們的庫存在23億左右
[1701.98-1704.98] 那現在已經回到正常大概18億左右
[1704.98-1708.98] 那對於一個公司4億多的營收
[1708.98-1709.98] 其實這個是正常
[1709.98-1711.98] 尤其我們的戰線很長
[1711.98-1714.98] 我們從臺灣備料生產完
[1714.98-1716.98] 然後要漂洋過海到加州
[1716.98-1718.98] 然後再傳到密西根
[1718.98-1720.98] 然後分散給客人
[1720.98-1722.98] 其實這個路途很遙遠
[1722.98-1726.98] 所以將來我們每個地方都是就近服務客人
[1726.98-1728.98] 我們的庫存的時間就可以降低
[1728.98-1729.98] 可以比較短
[1729.98-1732.98] 現金的周轉會比較好
[1732.98-1735.98] 另外就是我們設計進去的東西
[1735.98-1739.98] 越來越共用的材料越來越量力越大
[1739.98-1741.98] 所以我們的採購越來越有power
[1741.98-1743.98] 可以降低我們的材料成本
[1743.98-1748.98] 除此之外就是透過我們的節能產品
[1748.98-1752.98] 也漸漸的能夠透過業務的多元化
[1752.98-1754.98] 我們做的產品越來越多樣
[1754.98-1755.98] 越智能
[1755.98-1756.98] 那這個也是會讓我們從製造上來
[1756.98-1757.98] 讓我們從製造上來
[1757.98-1762.98] 我們原來的產品是每樣都要自己備料生產
[1762.98-1764.98] 我們慢慢變成系統整個廠商
[1764.98-1766.98] 有些東西就是拿別人的一起來
[1766.98-1770.98] 合起來以後變成一個大系統服務客人
[1770.98-1772.98] 我們的營收就可以增加
[1772.98-1775.98] 而且比較走向不是重資產的投資
[1777.98-1781.98] 接下來跟各位分享的是ESG永續經營
[1781.98-1783.98] 我們公司在這一塊做得比較早
[1783.98-1785.98] 所以過去幾年很感謝得到很多團體的
[1785.98-1787.98] 很多團體的肯定
