[0.00-5.80] 大家好,非常欢迎参加乔春金属的投资人座谈会
[369.38-372.44] 那这个是我们最佳的解决方案
[372.44-375.00] 那桥村在全球厨房
[375.00-376.54] 卫浴产业中
[376.54-378.34] 装饰设备新压柱
[378.34-380.64] 零组件的领导制造商
[380.64-381.92] 那我们在
[381.92-383.96] 上面这个图我们是依照
[383.96-387.28] 产品类别来区分的营收占比
[387.28-390.36] 那在2024年的部分
[390.36-392.40] 那个
[392.40-397.02] 那个水龙头的零配件的营收占比是
[397.02-398.30] 55%
[398.30-400.34] 那组装件的部分是
[400.34-401.36] 36%
[401.36-403.16] 那其他是9%
[403.16-407.26] 那下面这个图的话是以材质别来区分我们的营收占比
[407.26-409.30] 那2024年的话
[409.30-410.58] 我们的
[410.58-412.38] 新制的零配件
[412.38-413.92] 有78%
[413.96-418.06] 那如果是铜还有其他的零配件的话是22%
[418.06-420.10] 那这一页可以看出来
[420.10-422.40] 我们桥村在新制品占
[422.40-423.94] 零配件的
[423.94-426.00] 营收总额超过7成
[426.00-428.30] 那可以凸显出我们桥村主要
[428.30-429.06] 专注在
[429.06-431.36] 新制品的这一块的领域
[435.72-439.56] 一个是从新制品到全方位的解决方案
[439.56-442.64] 那为什么会提出这个方案主要有个背景
[442.64-443.66] 就是说
[443.96-446.00] 新的原料的成本
[446.00-448.06] 它是铜的三分之一而已
[448.06-451.90] 那还有加上目前全球对于营用水的法规
[451.90-453.68] 越来越严谨了
[453.68-456.50] 那新替代铜制品的这个趋势
[456.50-458.04] 它也从美国
[458.04-461.62] 拓展到欧洲还有亚洲的水龙头的市场
[461.62-463.92] 那我们桥村有几个利基
[463.92-465.72] 第一个就是桥村我们
[465.72-471.86] 桥村自1990年代就开始投入了新产品的研发与制造
[471.86-473.92] 那桥村也专精在新制成的
[473.92-476.48] 还有桥村的产品良率稳定
[476.48-478.02] 生产周期也快
[478.02-481.34] 那桥村还跟全球的知名微裕品牌
[481.34-485.44] 在新制品解决方案上有一个紧密的合作关系
[485.44-487.24] 所以我们展望未来
[487.24-490.82] 新它替代铜制品的趋势是持续增加中的
[490.82-495.42] 所以我们希望我们桥村可以成为全方位的一个解决方案的提供者
[495.42-501.32] 这个是一个最佳的解决方案
[501.32-503.62] 那因为现在的
[503.62-505.66] 水法规越来越严谨了
[505.66-507.46] 那
[507.46-510.02] 它也开始寻求最佳的方案
[510.02-512.84] 那桥村提出的方案就是
[512.84-517.44] 以那个新材质结合制品
[517.44-518.98] 那在低迁
[518.98-520.78] 无签筒
[520.78-525.12] 低迁无签筒的制品相较于一般的铜制品来看的话
[525.12-526.14] 它的成本
[526.14-529.48] 大概会增加3%到13%
[529.48-532.80] 那桥村的新材质结合制品的部分的话
[532.80-533.58] 它会较一般
[533.58-534.86] 同质品
[534.86-538.44] 成本大概减少20%到40%
[538.44-542.80] 那如果相较于低迁无签筒的制品来看的话
[542.80-544.58] 可以节约成本大概
[544.58-552.52] 会有23%到53%之间
[552.52-553.80] 这个就是我们
[553.80-556.36] 新模组产品设计的一个
[556.36-558.42] 解决的方案
[558.42-563.28] 那我们就是因应欧美它陆续制定的饮用水的
[563.28-566.36] 饮用水的法规还有低迁含量的标准
[566.36-572.50] 解决方案就是由铜转新的水龙头的产品的结构
[572.50-574.28] 我们就是用锌
[574.28-578.12] 锌压住为金属外观造型件
[578.12-580.18] 然后我们配合一个独立
[580.18-583.76] 独立的弹性水路来一个设计的组装
[583.76-586.32] 然后让水不会去接触到铅
[586.32-588.62] 或者是那个镍的金属
[588.62-593.24] 那可以100%符合饮用水法规还有低迁含量标准的规定
[593.28-595.84] 然后兼具着安全捷径
[595.84-597.38] 造型又美观
[597.38-600.70] 而且同时产品的整体的成本可以
[600.70-603.00] 节省超过20%
[603.00-607.62] 那这类型的设计在北美市场目前的覆盖率
[607.62-611.20] 在厨房水龙头的部分的覆盖率有超过八成了
[611.20-614.78] 那脸盆的部分的覆盖率有超过六成
[614.78-618.88] 那目前欧洲市场这类型的产品的覆盖率不到两成
[618.88-621.96] 那我们预期在五年内这个产品的覆盖率
[621.96-623.24] 应该可以超过五成
[623.28-629.94] 那日本市场目前也开始出动这类型的产品的结构的转换
[629.94-635.56] 就是同转型的转换
[635.56-637.62] 那侨村它致力于
[637.62-640.18] 成为一个全方位服务的提供者
[640.18-642.22] 那我们执行的目标有三项
[642.22-645.30] 第一个就是我们会去提升新制品
[645.30-647.60] 解决方案的市占率
[647.60-650.42] 接下来我们会以新制品来解决方案
[650.42-653.24] 我们就是以新制品解决方案为基础
[653.24-656.56] 来跨足主策成品制造的服务
[656.56-658.88] 然后最后可以达成
[658.88-662.46] 客户可以一站购主的需求
[662.46-664.50] 我们估计
[664.50-667.32] 侨村在厨房
[667.32-668.60] 位域
[668.60-673.72] 产业装饰设备零组件这个市场的市占率目前不到4%
[673.72-676.28] 那我们期望可以未来可以
[676.28-680.38] 超过10%
[680.38-683.20] 然后以下就是我开始介绍一下我们的一些
[683.24-684.52] 发展的策略
[684.52-688.88] 那首先先介绍一下我们制造能力的发展的策略
[688.88-691.18] 那以制造能力发展策略来讲
[691.18-693.48] 我们会从外观件
[693.48-696.80] 的零组件延伸扩展到我们的功能组装
[696.80-698.86] 功能件的产品的制造
[698.86-700.40] 那我们希望可以
[700.40-701.92] 专注发展成为
[701.92-703.46] 新同
[703.46-706.02] 新同塑胶的一个
[706.02-709.60] 零组件产品的一个全方位的服务提供者
[709.60-713.20] 那同时我们也希望可以从OEM的零组件的
[713.24-714.52] 供应商
[714.52-717.84] 提升到ODM的成品供应商
[717.84-721.68] 这是我们的制造能力发展的策略
[721.68-724.50] 那接下来我报告一下我们的
[724.50-727.84] 制程自动化的策略的蓝图
[727.84-730.40] 那以制造能力发展策略来
[730.40-733.98] 讲我们会首先采用单一工站自动化
[733.98-735.26] 然后
[735.26-738.84] 然后接下来结合各单一工站自动化
[738.84-742.42] 再成为一个模组工站的自动化
[742.42-743.20] 再连接到
[743.20-745.24] 我们一个产线的自动化
[745.24-748.84] 那期望说这个产线可以达成充分可视
[748.84-752.68] 然后也可以有可追溯性还有透明度
[752.68-754.98] 然后让我们的营运效率可以优化
[754.98-756.26] 然后另外透过
[756.26-758.04] 整合控制以及资讯
[758.04-758.82] 可以
[758.82-762.92] 完成我们需要的任务
[762.92-767.26] 那这个是我们组装能力的发展的里程碑
[767.26-772.64] 那在组装能力发展的方面
[773.20-775.24] 我们会有什么样的方式去做
[775.24-778.32] 调出的是以零件制程能力为基础
[778.32-781.14] 然后我们强化了我们工艺链的管理
[781.14-785.24] 然后我们由零组件制造能力延伸到组装成品
[785.24-787.28] 然后来培养我们
[787.28-788.82] 产品的测试能力
[788.82-790.60] 然后累积到我们
[790.60-793.42] 产品的一个上市认证的能力
[793.42-797.00] 然后我们会搭配这个结构平台的开发
[797.00-799.06] 还有组装产线的开发
[799.06-802.64] 来逐步构建各类水龙头的组装的功能
[802.64-804.44] 包含了脸盆的龙头
[804.44-806.22] 厨房的龙头以及
[806.22-810.84] 淋浴的龙头
[810.84-812.12] 然后我们就是
[812.12-814.92] 最后可以就是成为客户
[814.92-821.32] 期望的一个解决方案的提供者
[821.32-824.92] 那以下这个是最近五年的营运的绩效
[824.92-829.00] 营收金额营业利益毛利率以及营业利益率
[829.00-830.80] 那我们2024年
[830.80-831.82] 也四季结束
[831.82-832.34] 那跟
[832.34-833.62] 2023年相当
[833.62-835.16] 营收持平
[835.16-839.50] 就是有大概两年度都平均约有75亿元
[839.50-843.10] 那2024年的销售产品的组合较佳
[843.10-844.62] 所以我们毛利率有
[844.62-845.90] 提升
[845.90-847.44] 那营业利益是
[847.44-848.72] 5.07亿
[848.72-850.52] 然后相较于20
[850.52-856.40] 23年增加了1.68亿
[856.40-859.22] 那这是最近五年度的
[859.22-860.50] 美股盈余
[860.50-862.30] 2020是亏损的
[862.34-864.14] -0.47元
[864.14-866.70] 那2021是2.48
[866.70-868.48] 然后2020是3.68
[868.48-870.02] 2023年1.57
[870.02-877.44] 那去年的字节字节的美股盈余是2.72元
[877.44-879.50] 这是低度的水利
[879.50-885.12] 那可以请各位参阅
[885.12-888.20] 这是最近五年度的水利表
[888.20-892.04] 请各位参阅
[892.34-898.22] 那接下来是最近五年度的资产负债表
[898.22-899.76] 然后我们
[899.76-906.42] 我们如果来看银行存款银行借款的部分我们在2021年算是最高点有
[906.42-907.70] 将近58亿
[907.70-911.02] 那2024年减少到16.7亿
[911.02-912.82] 那我们一直有在做
[912.82-916.40] 积极的还款
[916.40-919.22] 固定资产在
[919.22-922.30] 2022年有大幅的减少主要是我们去
[922.34-926.94] 出售市政路的办公室
[926.94-930.28] 那接下来我们看一下主要的财务指标
[930.28-932.84] 这个是美股净值以及负债比率
[932.84-935.14] 那负债比率的部分有
[935.14-940.52] 有逐年下降主要是因为我们有在积极的偿还借款
[940.52-941.54] 那
[941.54-948.20] 2024年的美股净值是40元
[948.20-952.30] 那接下来这个是最近五年度的现金流量表
[952.34-960.02] 那我们平均在最近2022到2024年这三年平均营业活动大概都有进现金
[960.02-962.06] 流入16亿元左右
[962.06-965.40] 那2024年是进现金流入12.6
[965.40-971.54] 12.1
[971.54-973.58] 那这是我们最近几年的
[973.58-977.18] 鼓励的配发状况
[977.18-978.46] 请各位参阅
[982.34-983.88] 那以上报告
[983.88-985.66] 那各位有
[985.66-986.44] 请问有个
[986.44-988.74] 请问各位有任何问题吗
[988.74-992.32] 如果没有问题的话我们今天的座谈会就到此结束
[992.32-997.44] 然后谢谢各位投资先进递领我们公司参加投资人座谈会
[997.44-997.96] 谢谢
