以下是重排的段落式逐字稿：。[1821.58-1823.18] 是比较合理的成长。[1823.18-1825.40] 未来年成长率。[1825.40-1826.88] 我估计。[1826.88-1828.58] 可能。[1828.58-1830.66] 大概是10到20之间。

[1830.66-1832.38] 我们估计可能在10到20之间。[1832.38-1833.44] 年复合成长率。[1833.44-1836.40] 那就台湾跟美国。[1836.40-1838.70] 那当然就是如果被我们抓到一个大市场。[1838.70-1839.66] 就有可能上去。[1839.66-1840.86] 但我们目前来看。
[1997.44-1999.96] 美国这个市场其实并不认识望准是什么。[1999.96-2001.20] 所以我们希望藉由这个模式。[2001.20-2003.64] 让这些医生认识望准的产品。[2003.64-2005.60] 那我发现台湾这边有一个公司。[2005.60-2006.44] 产品也不错。[2006.44-2007.80] 西游交产品也不错。

[2007.80-2008.68] 再有这方式。[2008.68-2010.80] 我们希望可以去接一些代工的单。[2010.80-2013.72] 那主要的营收大会来自于这些代工的单。[2013.72-2017.28] 但目前我希望透过这方式先进入到这个市场。[2017.36-2018.18] 中国猜猜。[2018.36-2020.44] 千万不要 нашего意念。

[2020.54-2022.12] 在 Hope pump一些。[2022.12-2023.10] 除了 牡丹。[2023.10-2024.58] 可以进行造型。[2024.58-2037.42] 让这些股票总是agog。[2037.42-2039.08] 这是我们来看的。[2039.08-2040.42] 我们紧急着çeup。

[2040.48-2041.92] 在封面是这里。[2041.92-2044.82] 这个是我们�장和我们的东西。[2044.82-2046.32] 那我们也已经툐替了。[2046.64-2047.34] 10分付。[2047.36-2055.56] 大家还有没有什么问题。[2055.56-2058.04] 如果没有等一下可能会后我会留下来。

[2058.04-2060.16] 大家公开场合都比较不好意思。[2060.16-2061.40] 会后我会留下来。[2061.40-2062.64] 大家还可以做交流。[2062.64-2064.92] 因为像很多都是一些老朋友老面孔。[2064.92-2066.76] 大家还算有点熟。[2066.76-2071.16] 如果大家没有进一步问题的话。

[2071.16-2073.02] 我们今天法说会到这边结束。[2073.02-2075.30] 在会后公司也会留在现场。[2075.30-2076.34] 跟各位做交流。[2076.34-2078.62] 最后敬祝各位投资顺利身体健康。[2078.62-2079.00] 谢谢。[2079.00-2080.34] 谢谢大家。
